species	cell_hits
Synallaxis albescens_Pale-breasted Spinetail	85
Tersina viridis_Swallow Tanager	85
Xenops minutus_Plain Xenops	85
Anthracothorax nigricollis_Black-throated Mango	84
Anthus hellmayri_Hellmayr's Pipit	84
Chlorophanes spiza_Green Honeycreeper	84
Mesembrinibis cayennensis_Green Ibis	84
Molothrus oryzivorus_Giant Cowbird	84
Porphyriops melanops_Spot-flanked Gallinule	84
Psarocolius decumanus_Crested Oropendola	84
Psittacara leucophthalmus_White-eyed Parakeet	84
Ramphocaenus melanurus_Long-billed Gnatwren	84
Taraba major_Great Antshrike	84
Turdus albicollis_White-necked Thrush	84
Anas crecca_Green-winged Teal	83
Arundinicola leucocephala_White-headed Marsh Tyrant	83
Cnemotriccus fuscatus_Fuscous Flycatcher	83
Coccyzus minor_Mangrove Cuckoo	83
Heliomaster longirostris_Long-billed Starthroat	83
Leptopogon amaurocephalus_Sepia-capped Flycatcher	83
Tachycineta leucopyga_Chilean Swallow	83
Theristicus caudatus_Buff-necked Ibis	83
Turdus leucomelas_Pale-breasted Thrush	83
Agelasticus thilius_Yellow-winged Blackbird	82
Fulica armillata_Red-gartered Coot	82
Tachycineta albiventer_White-winged Swallow	82
Trogon rufus_Black-throated Trogon	82
Xema sabini_Sabine's Gull	82
Ammodramus humeralis_Grassland Sparrow	81
Calidris subruficollis_Buff-breasted Sandpiper	81
Charadrius modestus_Rufous-chested Dotterel	81
Eudocimus albus_White Ibis	81
Hemithraupis guira_Guira Tanager	81
Hydropsalis torquata_Scissor-tailed Nightjar	81
Vireo olivaceus_Red-eyed Vireo	81
Amazona farinosa_Mealy Parrot	80
Buteo nitidus_Gray-lined Hawk	80
Capsiempis flaveola_Yellow Tyrannulet	80
Chroicocephalus maculipennis_Brown-hooded Gull	80
Cygnus melancoryphus_Black-necked Swan	80
Hydroprogne caspia_Caspian Tern	80
Laterallus melanophaius_Rufous-sided Crake	80
Lophonetta specularioides_Crested Duck	80
Agriornis montanus_Black-billed Shrike-Tyrant	79
Amazonetta brasiliensis_Brazilian Teal	79
Busarellus nigricollis_Black-collared Hawk	79
Circus buffoni_Long-winged Harrier	79
Dendrocygna viduata_White-faced Whistling-Duck	79
Dromococcyx phasianellus_Pheasant Cuckoo	79
Elaenia chiriquensis_Lesser Elaenia	79
Emberizoides herbicola_Wedge-tailed Grass-Finch	79
Mionectes oleagineus_Ochre-bellied Flycatcher	79
Nemosia pileata_Hooded Tanager	79
Saltator coerulescens_Blue-gray Saltator	79
Setophaga striata_Blackpoll Warbler	79
Sula nebouxii_Blue-footed Booby	79
Crotophaga sulcirostris_Groove-billed Ani	78
