species	cell_hits
Vireo gilvus_Warbling Vireo	32
Zenaida macroura_Mourning Dove	32
Aechmophorus occidentalis_Western Grebe	31
Amaurornis moluccana_Pale-vented Bush-hen	31
Anas gracilis_Gray Teal	31
Ardea intermedia_Intermediate Egret	31
Bombycilla cedrorum_Cedar Waxwing	31
Branta bernicla_Brant	31
Buteo jamaicensis_Red-tailed Hawk	31
Catharus guttatus_Hermit Thrush	31
Circus hudsonius_Northern Harrier	31
Corthylio calendula_Ruby-crowned Kinglet	31
Ducula pistrinaria_Island Imperial-Pigeon	31
Fulmarus glacialis_Northern Fulmar	31
Gallinago delicata_Wilson's Snipe	31
Geoffroyus heteroclitus_Singing Parrot	31
Geothlypis trichas_Common Yellowthroat	31
Haliaeetus leucogaster_White-bellied Sea-Eagle	31
Larus californicus_California Gull	31
Larus delawarensis_Ring-billed Gull	31
Larus heermanni_Heermann's Gull	31
Leiothlypis celata_Orange-crowned Warbler	31
Melospiza lincolnii_Lincoln's Sparrow	31
Passerculus sandwichensis_Savannah Sparrow	31
Pelecanus erythrorhynchos_American White Pelican	31
Polioptila caerulea_Blue-gray Gnatcatcher	31
Porzana carolina_Sora	31
Sayornis nigricans_Black Phoebe	31
Setophaga coronata_Yellow-rumped Warbler	31
Tachycineta bicolor_Tree Swallow	31
Tachycineta thalassina_Violet-green Swallow	31
Thalasseus elegans_Elegant Tern	31
Thryomanes bewickii_Bewick's Wren	31
Accipiter cooperii_Cooper's Hawk	30
Accipiter striatus_Sharp-shinned Hawk	30
Aechmophorus clarkii_Clark's Grebe	30
Aphelocoma californica_California Scrub-Jay	30
Ardenna carneipes_Flesh-footed Shearwater	30
Bubo virginianus_Great Horned Owl	30
Calidris virgata_Surfbird	30
Charadrius leschenaultii_Greater Sand-Plover	30
Charadrius nivosus_Snowy Plover	30
Coracina novaehollandiae_Black-faced Cuckooshrike	30
Elanus leucurus_White-tailed Kite	30
Euphagus cyanocephalus_Brewer's Blackbird	30
Fulica atra_Eurasian Coot	30
Geothlypis tolmiei_MacGillivray's Warbler	30
Glaucestrilda caerulescens_Lavender Waxbill	30
Icterus cucullatus_Hooded Oriole	30
Lalage leucomela_Varied Triller	30
Limnodromus griseus_Short-billed Dowitcher	30
Limosa fedoa_Marbled Godwit	30
Mniotilta varia_Black-and-white Warbler	30
Myiarchus cinerascens_Ash-throated Flycatcher	30
Numenius americanus_Long-billed Curlew	30
Passer montanus_Eurasian Tree Sparrow	30
Passerina caerulea_Blue Grosbeak	30
Petrochelidon pyrrhonota_Cliff Swallow	30
Pheucticus melanocephalus_Black-headed Grosbeak	30
Piranga ludoviciana_Western Tanager	30
Plegadis chihi_White-faced Ibis	30
Setophaga nigrescens_Black-throated Gray Warbler	30
Setophaga townsendi_Townsend's Warbler	30
Sternula antillarum_Least Tern	30
Tachybaptus novaehollandiae_Australasian Grebe	30
Tringa glareola_Wood Sandpiper	30
Tringa stagnatilis_Marsh Sandpiper	30
Troglodytes aedon_House Wren	30
Tyrannus vociferans_Cassin's Kingbird	30
Vireo cassinii_Cassin's Vireo	30
Acrocephalus australis_Australian Reed Warbler	29
Aeronautes saxatalis_White-throated Swift	29
Aimophila ruficeps_Rufous-crowned Sparrow	29
Aplonis metallica_Metallic Starling	29
Artamus leucorynchus_White-breasted Woodswallow	29
Aythya americana_Redhead	29
Caracara plancus_Crested Caracara	29
Chasiempis sclateri_Kauai Elepaio	29
Chondestes grammacus_Lark Sparrow	29
Coracina papuensis_White-bellied Cuckooshrike	29
Ducula rubricera_Red-knobbed Imperial-Pigeon	29
Egretta tricolor_Tricolored Heron	29
Eudocimus albus_White Ibis	29
Fregata magnificens_Magnificent Frigatebird	29
Haematopus bachmani_Black Oystercatcher	29
