species	cell_hits
Columba palumbus_Common Wood-Pigeon	319
Turdus viscivorus_Mistle Thrush	319
Linaria cannabina_Eurasian Linnet	318
Streptopelia turtur_European Turtle-Dove	318
Ardea purpurea_Purple Heron	316
Erithacus rubecula_European Robin	315
Chloris chloris_European Greenfinch	314
Surnia ulula_Northern Hawk Owl	314
Pluvialis apricaria_European Golden-Plover	313
Anthus hodgsoni_Olive-backed Pipit	312
Circus pygargus_Montagu's Harrier	312
Corvus monedula_Eurasian Jackdaw	312
Melanitta nigra_Common Scoter	312
Picus canus_Gray-headed Woodpecker	312
Clanga clanga_Greater Spotted Eagle	311
Locustella naevia_Common Grasshopper-Warbler	311
Calliope calliope_Siberian Rubythroat	310
Motacilla citreola_Citrine Wagtail	310
Somateria spectabilis_King Eider	307
Cinclus cinclus_White-throated Dipper	306
Gallinago stenura_Pin-tailed Snipe	305
Pinicola enucleator_Pine Grosbeak	305
Prunella collaris_Alpine Accentor	304
Porzana porzana_Spotted Crake	303
Netta rufina_Red-crested Pochard	301
Strix uralensis_Ural Owl	301
Sylvia borin_Garden Warbler	301
Acrocephalus schoenobaenus_Sedge Warbler	300
Lagopus lagopus_Willow Ptarmigan	298
Emberiza hortulana_Ortolan Bunting	297
Calidris subminuta_Long-toed Stint	295
Emberiza aureola_Yellow-breasted Bunting	294
Saxicola rubetra_Whinchat	293
Sylvia atricapilla_Eurasian Blackcap	293
Tadorna ferruginea_Ruddy Shelduck	293
Uria aalge_Common Murre	293
Perisoreus infaustus_Siberian Jay	291
Oriolus oriolus_Eurasian Golden Oriole	289
Ficedula hypoleuca_European Pied Flycatcher	288
Motacilla tschutschensis_Eastern Yellow Wagtail	288
Falco vespertinus_Red-footed Falcon	286
Rallus aquaticus_Water Rail	286
Strix nebulosa_Great Gray Owl	286
Cecropis daurica_Red-rumped Swallow	285
Phylloscopus fuscatus_Dusky Warbler	285
Phylloscopus sibilatrix_Wood Warbler	285
Lanius collurio_Red-backed Shrike	283
Otus scops_Eurasian Scops-Owl	281
Circus macrourus_Pallid Harrier	280
Monticola solitarius_Blue Rock-Thrush	280
Aythya nyroca_Ferruginous Duck	279
Cepphus grylle_Black Guillemot	278
Tetrastes bonasia_Hazel Grouse	278
Gavia adamsii_Yellow-billed Loon	277
Poecile cinctus_Gray-headed Chickadee	277
Curruca nisoria_Barred Warbler	276
Calidris ruficollis_Red-necked Stint	275
Circaetus gallicus_Short-toed Snake-Eagle	274
Cuculus optatus_Oriental Cuckoo	274
Pernis apivorus_European Honey-buzzard	273
Turdus eunomus_Dusky Thrush	273
Gelochelidon nilotica_Gull-billed Tern	271
Hieraaetus pennatus_Booted Eagle	271
Glaucidium passerinum_Eurasian Pygmy-Owl	270
Strix aluco_Tawny Owl	270
Anthus gustavi_Pechora Pipit	269
Histrionicus histrionicus_Harlequin Duck	269
Turdus obscurus_Eyebrowed Thrush	269
Columba oenas_Stock Dove	268
Galerida cristata_Crested Lark	268
Panurus biarmicus_Bearded Reedling	268
Loxia leucoptera_White-winged Crossbill	267
Lyrurus tetrix_Black Grouse	267
Prunella modularis_Dunnock	267
Acrocephalus arundinaceus_Great Reed Warbler	265
Aquila heliaca_Imperial Eagle	265
Streptopelia orientalis_Oriental Turtle-Dove	265
Emberiza citrinella_Yellowhammer	264
Poecile palustris_Marsh Tit	264
Anthus spinoletta_Water Pipit	263
Corvus cornix_Hooded Crow	263
Prunella montanella_Siberian Accentor	263
Thalasseus sandvicensis_Sandwich Tern	263
Numenius madagascariensis_Far Eastern Curlew	262
Ptyonoprogne rupestris_Eurasian Crag-Martin	262
Larus marinus_Great Black-backed Gull	261
Anthus campestris_Tawny Pipit	260
Calidris acuminata_Sharp-tailed Sandpiper	260
Emberiza leucocephalos_Pine Bunting	260
Xema sabini_Sabine's Gull	260
Phylloscopus trochiloides_Greenish Warbler	259
Stercorarius skua_Great Skua	259
Acrocephalus palustris_Marsh Warbler	258
Anthropoides virgo_Demoiselle Crane	258
Cyanistes cyanus_Azure Tit	258
Lanius cristatus_Brown Shrike	258
Pyrrhocorax pyrrhocorax_Red-billed Chough	256
Falco naumanni_Lesser Kestrel	255
Gavia immer_Common Loon	255
Hippolais icterina_Icterine Warbler	255
Locustella luscinioides_Savi's Warbler	255
Ficedula albicilla_Taiga Flycatcher	254
Luscinia megarhynchos_Common Nightingale	254
Muscicapa sibirica_Dark-sided Flycatcher	253
Turdus merula_Eurasian Blackbird	252
Buteo japonicus_Eastern Buzzard	251
Cinclus pallasii_Brown Dipper	251
Merops apiaster_European Bee-eater	251
Monticola saxatilis_Rufous-tailed Rock-Thrush	251
Apus pacificus_Pacific Swift	250
Ixobrychus minutus_Little Bittern	250
Calidris maritima_Purple Sandpiper	249
Plegadis falcinellus_Glossy Ibis	248
Acrocephalus dumetorum_Blyth's Reed Warbler	247
Anthus rubescens_American Pipit	247
Emberiza pallasi_Pallas's Bunting	247
Lanius borealis_Northern Shrike	246
Tringa brevipes_Gray-tailed Tattler	246
Ardenna grisea_Sooty Shearwater	245
Mareca falcata_Falcated Duck	244
Saxicola stejnegeri_Amur Stonechat	244
Phylloscopus proregulus_Pallas's Leaf Warbler	243
Turdus naumanni_Naumann's Thrush	243
Carpodacus sibiricus_Long-tailed Rosefinch	242
Tetrao urogallus_Western Capercaillie	242
Calandrella brachydactyla_Greater Short-toed Lark	240
Ficedula parva_Red-breasted Flycatcher	240
Gallinago media_Great Snipe	240
Oenanthe isabellina_Isabelline Wheatear	240
Saxicola rubicola_European Stonechat	240
Turdus torquatus_Ring Ouzel	240
Calidris tenuirostris_Great Knot	239
Cyanistes caeruleus_Eurasian Blue Tit	239
Pernis ptilorhynchus_Oriental Honey-buzzard	239
Zoothera aurea_White's Thrush	237
Linaria flavirostris_Twite	236
Hirundapus caudacutus_White-throated Needletail	235
Emberiza cioides_Meadow Bunting	234
Burhinus oedicnemus_Eurasian Thick-knee	232
Emberiza cia_Rock Bunting	232
Remiz pendulinus_Eurasian Penduline-Tit	232
Emberiza calandra_Corn Bunting	230
Emberiza fucata_Chestnut-eared Bunting	230
Anser caerulescens_Snow Goose	228
Chloris sinica_Oriental Greenfinch	228
Coracias garrulus_European Roller	228
Emberiza spodocephala_Black-faced Bunting	228
Fratercula arctica_Atlantic Puffin	228
Helopsaltes certhiola_Pallas's Grasshopper Warbler	228
Luscinia luscinia_Thrush Nightingale	228
Corvus dauuricus_Daurian Jackdaw	227
Lullula arborea_Wood Lark	227
Melanitta fusca_Velvet Scoter	227
Aquila nipalensis_Steppe Eagle	224
Otus sunia_Oriental Scops-Owl	224
Alca torda_Razorbill	223
Charadrius leschenaultii_Greater Sand-Plover	222
Glareola pratincola_Collared Pratincole	222
Muscicapa dauurica_Asian Brown Flycatcher	222
Aegypius monachus_Cinereous Vulture	221
Branta leucopsis_Barnacle Goose	221
Apus melba_Alpine Swift	220
Calidris melanotos_Pectoral Sandpiper	220
Chroicocephalus genei_Slender-billed Gull	220
Ciconia ciconia_White Stork	220
Petronia petronia_Rock Sparrow	219
Cettia cetti_Cetti's Warbler	218
Pastor roseus_Rosy Starling	218
Iduna caligata_Booted Warbler	217
Larvivora cyane_Siberian Blue Robin	216
Leucogeranus leucogeranus_Siberian Crane	216
Larus schistisagus_Slaty-backed Gull	215
Phylloscopus schwarzi_Radde's Warbler	215
Phoenicurus auroreus_Daurian Redstart	214
Oenanthe pleschanka_Pied Wheatear	213
Cyanopica cyanus_Azure-winged Magpie	212
Iduna pallida_Eastern Olivaceous Warbler	212
Muscicapa griseisticta_Gray-streaked Flycatcher	212
Acrocephalus orientalis_Oriental Reed Warbler	211
Circus spilonotus_Eastern Marsh-Harrier	211
Oenanthe deserti_Desert Wheatear	211
Alectoris chukar_Chukar	210
Cercotrichas galactotes_Rufous-tailed Scrub-Robin	210
Anas zonorhyncha_Eastern Spot-billed Duck	209
Ardeola ralloides_Squacco Heron	209
Falco amurensis_Amur Falcon	209
Lanius minor_Lesser Gray Shrike	208
Riparia diluta_Pale Sand Martin	208
Acrocephalus melanopogon_Moustached Warbler	207
Geokichla sibirica_Siberian Thrush	207
Larvivora sibilans_Rufous-tailed Robin	207
Acrocephalus agricola_Paddyfield Warbler	206
Accipiter gularis_Japanese Sparrowhawk	205
Circus melanoleucos_Pied Harrier	204
Perdix perdix_Gray Partridge	204
Zapornia parva_Little Crake	204
Butorides striata_Striated Heron	203
Acrocephalus bistrigiceps_Black-browed Reed Warbler	202
Ficedula mugimaki_Mugimaki Flycatcher	202
Lophophanes cristatus_Crested Tit	202
Melanocorypha calandra_Calandra Lark	202
Rallus indicus_Brown-cheeked Rail	202
Ichthyaetus melanocephalus_Mediterranean Gull	200
Melanitta americana_Black Scoter	200
Pyrrhocorax graculus_Yellow-billed Chough	200
Rhodostethia rosea_Ross's Gull	198
Antigone vipio_White-naped Crane	197
Hydrobates leucorhous_Leach's Storm-Petrel	197
Caprimulgus jotaka_Gray Nightjar	196
Pterocles orientalis_Black-bellied Sandgrouse	194
Turdus ruficollis_Red-throated Thrush	193
Merops persicus_Blue-cheeked Bee-eater	192
Turdus atrogularis_Black-throated Thrush	191
Locustella fluviatilis_River Warbler	190
