species	cell_hits
Recurvirostra americana_American Avocet	101
Setophaga tigrina_Cape May Warbler	101
Thalasseus maximus_Royal Tern	101
Aechmophorus occidentalis_Western Grebe	100
Empidonax traillii_Willow Flycatcher	99
Ixobrychus exilis_Least Bittern	99
Polioptila caerulea_Blue-gray Gnatcatcher	99
Ardenna tenuirostris_Short-tailed Shearwater	98
Icteria virens_Yellow-breasted Chat	98
Alca torda_Razorbill	97
Columbina passerina_Common Ground Dove	97
Myadestes townsendi_Townsend's Solitaire	97
Podiceps nigricollis_Eared Grebe	97
Sayornis phoebe_Eastern Phoebe	97
Sitta carolinensis_White-breasted Nuthatch	97
Fratercula arctica_Atlantic Puffin	96
Gelochelidon nilotica_Gull-billed Tern	96
Picoides arcticus_Black-backed Woodpecker	96
Selasphorus rufus_Rufous Hummingbird	96
Geothlypis tolmiei_MacGillivray's Warbler	95
Setophaga castanea_Bay-breasted Warbler	95
Charadrius wilsonia_Wilson's Plover	94
Sula leucogaster_Brown Booby	94
Egretta tricolor_Tricolored Heron	93
Rynchops niger_Black Skimmer	93
Vireo philadelphicus_Philadelphia Vireo	93
Spinus psaltria_Lesser Goldfinch	92
Chaetura vauxi_Vaux's Swift	91
Spatula cyanoptera_Cinnamon Teal	91
Strix nebulosa_Great Gray Owl	90
Charadrius hiaticula_Common Ringed Plover	89
Cyanocitta cristata_Blue Jay	89
Setophaga americana_Northern Parula	89
Setophaga fusca_Blackburnian Warbler	89
Sialia sialis_Eastern Bluebird	89
Troglodytes hiemalis_Winter Wren	89
Tyrannus verticalis_Western Kingbird	89
Zenaida asiatica_White-winged Dove	88
Fregata magnificens_Magnificent Frigatebird	87
Catharus fuscescens_Veery	86
Haematopus bachmani_Black Oystercatcher	86
Sturnella magna_Eastern Meadowlark	86
Haematopus palliatus_American Oystercatcher	85
Lanius ludovicianus_Loggerhead Shrike	85
Limosa lapponica_Bar-tailed Godwit	85
Lonchura punctulata_Scaly-breasted Munia	85
Pipilo maculatus_Spotted Towhee	85
Xanthocephalus xanthocephalus_Yellow-headed Blackbird	85
Charadrius nivosus_Snowy Plover	84
Nannopterum brasilianum_Neotropic Cormorant	84
Chondestes grammacus_Lark Sparrow	83
Contopus virens_Eastern Wood-Pewee	83
Eudocimus albus_White Ibis	83
Phoebastria nigripes_Black-footed Albatross	83
Sayornis nigricans_Black Phoebe	83
Setophaga pensylvanica_Chestnut-sided Warbler	83
Sialia currucoides_Mountain Bluebird	83
Cyanocitta stelleri_Steller's Jay	82
Pheucticus melanocephalus_Black-headed Grosbeak	82
Ardenna pacifica_Wedge-tailed Shearwater	81
Patagioenas fasciata_Band-tailed Pigeon	81
Tympanuchus phasianellus_Sharp-tailed Grouse	81
Aegolius acadicus_Northern Saw-whet Owl	80
Ammodramus savannarum_Grasshopper Sparrow	80
Elanus leucurus_White-tailed Kite	80
Numenius americanus_Long-billed Curlew	80
Plegadis chihi_White-faced Ibis	80
Athene cunicularia_Burrowing Owl	79
Empidonax difficilis_Pacific-slope Flycatcher	79
Strix varia_Barred Owl	79
Vireo cassinii_Cassin's Vireo	79
Egretta rufescens_Reddish Egret	78
Phoebastria immutabilis_Laysan Albatross	78
Piranga rubra_Summer Tanager	77
Thryomanes bewickii_Bewick's Wren	75
Coragyps atratus_Black Vulture	74
Phaethon lepturus_White-tailed Tropicbird	74
Quiscalus mexicanus_Great-tailed Grackle	74
Buteo swainsoni_Swainson's Hawk	73
Icterus bullockii_Bullock's Oriole	73
Motacilla tschutschensis_Eastern Yellow Wagtail	73
Tachybaptus dominicus_Least Grebe	73
Ardenna creatopus_Pink-footed Shearwater	72
Buteo lineatus_Red-shouldered Hawk	72
Myiarchus crinitus_Great Crested Flycatcher	72
Acridotheres tristis_Common Myna	71
Aechmophorus clarkii_Clark's Grebe	71
Caracara plancus_Crested Caracara	71
Cepphus columba_Pigeon Guillemot	71
Chaetura pelagica_Chimney Swift	71
Dolichonyx oryzivorus_Bobolink	71
Passerina amoena_Lazuli Bunting	71
Pyrocephalus rubinus_Vermilion Flycatcher	71
Sitta pygmaea_Pygmy Nuthatch	71
Troglodytes pacificus_Pacific Wren	71
Ammospiza leconteii_LeConte's Sparrow	70
Ammospiza nelsoni_Nelson's Sparrow	70
Chordeiles acutipennis_Lesser Nighthawk	70
Icterus spurius_Orchard Oriole	70
Salpinctes obsoletus_Rock Wren	70
Setophaga nigrescens_Black-throated Gray Warbler	70
Streptopelia chinensis_Spotted Dove	70
Calypte anna_Anna's Hummingbird	69
Glaucidium gnoma_Northern Pygmy-Owl	69
Psaltriparus minimus_Bushtit	69
Spiza americana_Dickcissel	69
Thalasseus sandvicensis_Sandwich Tern	69
Aeronautes saxatalis_White-throated Swift	68
Porphyrio martinica_Purple Gallinule	68
Empidonax oberholseri_Dusky Flycatcher	67
Melanerpes formicivorus_Acorn Woodpecker	67
Parkesia motacilla_Louisiana Waterthrush	67
Platalea ajaja_Roseate Spoonbill	66
Dendrocygna autumnalis_Black-bellied Whistling-Duck	65
Alauda arvensis_Eurasian Skylark	64
Buteo albonotatus_Zone-tailed Hawk	64
Falco mexicanus_Prairie Falcon	64
Mycteria americana_Wood Stork	64
Myiarchus cinerascens_Ash-throated Flycatcher	64
Vireo huttoni_Hutton's Vireo	64
Anhinga anhinga_Anhinga	63
Vireo flavifrons_Yellow-throated Vireo	63
Ardenna bulleri_Buller's Shearwater	62
Garrulax canorus_Chinese Hwamei	62
Horornis diphone_Japanese Bush Warbler	62
Passerina ciris_Painted Bunting	62
Zosterops japonicus_Warbling White-eye	62
Geopelia striata_Zebra Dove	61
Asio otus_Long-eared Owl	60
Branta sandvicensis_Hawaiian Goose	60
Coccyzus minor_Mangrove Cuckoo	60
Piranga olivacea_Scarlet Tanager	59
Protonotaria citrea_Prothonotary Warbler	59
Thalasseus elegans_Elegant Tern	59
Callipepla californica_California Quail	58
Catherpes mexicanus_Canyon Wren	58
Icterus cucullatus_Hooded Oriole	58
Phaethon aethereus_Red-billed Tropicbird	58
Sicalis flaveola_Saffron Finch	58
Vireo bellii_Bell's Vireo	58
Anous minutus_Black Noddy	57
Archilochus alexandri_Black-chinned Hummingbird	57
Tyrannus vociferans_Cassin's Kingbird	57
Columbina talpacoti_Ruddy Ground Dove	56
Dendragapus obscurus_Dusky Grouse	56
Onychoprion fuscatus_Sooty Tern	56
Parabuteo unicinctus_Harris's Hawk	56
Setophaga caerulescens_Black-throated Blue Warbler	56
Setophaga occidentalis_Hermit Warbler	56
Toxostoma rufum_Brown Thrasher	56
Aramus guarauna_Limpkin	55
Calidris acuminata_Sharp-tailed Sandpiper	55
Lonchura atricapilla_Chestnut Munia	55
Onychoprion aleuticus_Aleutian Tern	55
Calidris ptilocnemis_Rock Sandpiper	54
Gallus gallus_Red Junglefowl	54
Lagopus leucura_White-tailed Ptarmigan	54
Larus heermanni_Heermann's Gull	54
Leiothrix lutea_Red-billed Leiothrix	54
Megascops kennicottii_Western Screech-Owl	54
Sula sula_Red-footed Booby	54
Cypseloides niger_Black Swift	53
Myiarchus tyrannulus_Brown-crested Flycatcher	53
Phalacrocorax carbo_Great Cormorant	53
Puffinus puffinus_Manx Shearwater	53
Colinus virginianus_Northern Bobwhite	52
Dryobates scalaris_Ladder-backed Woodpecker	52
Estrilda astrild_Common Waxbill	52
Poecile rufescens_Chestnut-backed Chickadee	52
Anous stolidus_Brown Noddy	51
Plegadis falcinellus_Glossy Ibis	51
Pterodroma sandwichensis_Hawaiian Petrel	51
Sialia mexicana_Western Bluebird	51
Crotophaga ani_Smooth-billed Ani	50
Dendrocygna bicolor_Fulvous Whistling-Duck	50
Empidonax wrightii_Gray Flycatcher	50
Fulica alai_Hawaiian Coot	50
Leptotila verreauxi_White-tipped Dove	50
Pitangus sulphuratus_Great Kiskadee	50
Setophaga dominica_Yellow-throated Warbler	50
Stercorarius maccormicki_South Polar Skua	50
Sula dactylatra_Masked Booby	50
Aimophila ruficeps_Rufous-crowned Sparrow	49
Chloroceryle americana_Green Kingfisher	49
Coereba flaveola_Bananaquit	49
Crithagra mozambica_Yellow-fronted Canary	49
Glaucidium brasilianum_Ferruginous Pygmy-Owl	49
Pipilo chlorurus_Green-tailed Towhee	49
Sphyrapicus nuchalis_Red-naped Sapsucker	49
Volatinia jacarina_Blue-black Grassquit	49
Brachyramphus marmoratus_Marbled Murrelet	48
Buteo regalis_Ferruginous Hawk	48
Buteogallus anthracinus_Common Black Hawk	48
Drepanis coccinea_Iiwi	48
Larus occidentalis_Western Gull	48
Larus schistisagus_Slaty-backed Gull	48
Motacilla alba_White Wagtail	48
Padda oryzivora_Java Sparrow	48
Spizella breweri_Brewer's Sparrow	48
Tyrannus melancholicus_Tropical Kingbird	48
Aethia pusilla_Least Auklet	47
Dryocopus lineatus_Lineated Woodpecker	47
Icterus parisorum_Scott's Oriole	47
Megaceryle torquata_Ringed Kingfisher	47
Myiarchus tuberculifer_Dusky-capped Flycatcher	47
Nyctidromus albicollis_Common Pauraque	47
Phalaenoptilus nuttallii_Common Poorwill	47
Piaya cayana_Squirrel Cuckoo	47
