common_name,scientific_name,genus,family,order,category
Northern Bobwhite (Eastern),Colinus virginianus [virginianus Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Northern Bobwhite (graysoni/nigripectus),Colinus virginianus graysoni/nigripectus,Colinus,Odontophoridae,Galliformes,group (polytypic)
Northern Bobwhite (pectoralis Group),Colinus virginianus [pectoralis Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Northern Bobwhite (Masked),Colinus virginianus [coyoleos Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Black-throated Bobwhite,Colinus nigrogularis,Colinus,Odontophoridae,Galliformes,species
Spot-bellied Bobwhite,Colinus leucopogon,Colinus,Odontophoridae,Galliformes,species
Spot-bellied Bobwhite (White-breasted),Colinus leucopogon hypoleucus/incanus,Colinus,Odontophoridae,Galliformes,group (polytypic)
Spot-bellied Bobwhite (White-faced),Colinus leucopogon leucopogon,Colinus,Odontophoridae,Galliformes,group (monotypic)
Spot-bellied Bobwhite (Dark-chinned),Colinus leucopogon [sclateri Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Crested Bobwhite,Colinus cristatus,Colinus,Odontophoridae,Galliformes,species
Crested Bobwhite (Colombian),Colinus cristatus [cristatus Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Crested Bobwhite (Venezuelan),Colinus cristatus [parvicristatus Group],Colinus,Odontophoridae,Galliformes,group (polytypic)
Scaled Quail,Callipepla squamata,Callipepla,Odontophoridae,Galliformes,species
Northern Bobwhite x Scaled Quail (hybrid),Colinus virginianus x Callipepla squamata,Colinus,Odontophoridae,Galliformes,hybrid
Elegant Quail,Callipepla douglasii,Callipepla,Odontophoridae,Galliformes,species
California Quail,Callipepla californica,Callipepla,Odontophoridae,Galliformes,species
Northern Bobwhite x California Quail (hybrid),Colinus virginianus x Callipepla californica,Colinus,Odontophoridae,Galliformes,hybrid
Scaled x California Quail (hybrid),Callipepla squamata x californica,Callipepla,Odontophoridae,Galliformes,hybrid
Gambel's Quail,Callipepla gambelii,Callipepla,Odontophoridae,Galliformes,species
Scaled x Gambel's Quail (hybrid),Callipepla squamata x gambelii,Callipepla,Odontophoridae,Galliformes,hybrid
California x Gambel's Quail (hybrid),Callipepla californica x gambelii,Callipepla,Odontophoridae,Galliformes,hybrid
California/Gambel's Quail,Callipepla californica/gambelii,Callipepla,Odontophoridae,Galliformes,slash
Montezuma Quail,Cyrtonyx montezumae,Cyrtonyx,Odontophoridae,Galliformes,species
Montezuma Quail (Montezuma),Cyrtonyx montezumae [montezumae Group],Cyrtonyx,Odontophoridae,Galliformes,group (polytypic)
Montezuma Quail (Salle's),Cyrtonyx montezumae sallei/rowleyi,Cyrtonyx,Odontophoridae,Galliformes,group (polytypic)
Ocellated Quail,Cyrtonyx ocellatus,Cyrtonyx,Odontophoridae,Galliformes,species
Singing Quail,Dactylortyx thoracicus,Dactylortyx,Odontophoridae,Galliformes,species
Marbled Wood-Quail,Odontophorus gujanensis,Odontophorus,Odontophoridae,Galliformes,species
Spot-winged Wood-Quail,Odontophorus capueira,Odontophorus,Odontophoridae,Galliformes,species
Black-eared Wood-Quail,Odontophorus melanotis,Odontophorus,Odontophoridae,Galliformes,species
Black-fronted Wood-Quail,Odontophorus atrifrons,Odontophorus,Odontophoridae,Galliformes,species
Rufous-fronted Wood-Quail,Odontophorus erythrops,Odontophorus,Odontophoridae,Galliformes,species
Chestnut Wood-Quail,Odontophorus hyperythrus,Odontophorus,Odontophoridae,Galliformes,species
Dark-backed Wood-Quail,Odontophorus melanonotus,Odontophorus,Odontophoridae,Galliformes,species
Rufous-breasted Wood-Quail,Odontophorus speciosus,Odontophorus,Odontophoridae,Galliformes,species
Tacarcuna Wood-Quail,Odontophorus dialeucos,Odontophorus,Odontophoridae,Galliformes,species
Gorgeted Wood-Quail,Odontophorus strophium,Odontophorus,Odontophoridae,Galliformes,species
Venezuelan Wood-Quail,Odontophorus columbianus,Odontophorus,Odontophoridae,Galliformes,species
Black-breasted Wood-Quail,Odontophorus leucolaemus,Odontophorus,Odontophoridae,Galliformes,species
Pasco Wood-Quail (undescribed form),Odontophorus [undescribed form],Odontophorus,Odontophoridae,Galliformes,form
Stripe-faced Wood-Quail,Odontophorus balliviani,Odontophorus,Odontophoridae,Galliformes,species
Starred Wood-Quail,Odontophorus stellatus,Odontophorus,Odontophoridae,Galliformes,species
Spotted Wood-Quail,Odontophorus guttatus,Odontophorus,Odontophoridae,Galliformes,species
wood-quail sp.,Odontophorus sp.,Odontophorus,Odontophoridae,Galliformes,spuh
new world quail sp.,Odontophoridae sp.,Odontophoridae,Odontophoridae,Galliformes,spuh
Udzungwa Partridge,Xenoperdix udzungwensis,Xenoperdix,Phasianidae,Galliformes,species
Udzungwa Partridge (Udzungwa),Xenoperdix udzungwensis udzungwensis,Xenoperdix,Phasianidae,Galliformes,group (monotypic)
Udzungwa Partridge (Rubeho),Xenoperdix udzungwensis obscuratus,Xenoperdix,Phasianidae,Galliformes,group (monotypic)
Ferruginous Partridge,Caloperdix oculeus,Caloperdix,Phasianidae,Galliformes,species
Crested Partridge,Rollulus rouloul,Rollulus,Phasianidae,Galliformes,species
Black Partridge,Melanoperdix niger,Melanoperdix,Phasianidae,Galliformes,species
Hill Partridge,Arborophila torqueola,Arborophila,Phasianidae,Galliformes,species
Sichuan Partridge,Arborophila rufipectus,Arborophila,Phasianidae,Galliformes,species
Chestnut-breasted Partridge,Arborophila mandellii,Arborophila,Phasianidae,Galliformes,species
White-necklaced Partridge,Arborophila gingica,Arborophila,Phasianidae,Galliformes,species
Rufous-throated Partridge,Arborophila rufogularis,Arborophila,Phasianidae,Galliformes,species
Red-billed Partridge,Arborophila rubrirostris,Arborophila,Phasianidae,Galliformes,species
Chestnut-headed Partridge,Arborophila cambodiana,Arborophila,Phasianidae,Galliformes,species
Chestnut-headed Partridge (Siamese),Arborophila cambodiana diversa,Arborophila,Phasianidae,Galliformes,group (monotypic)
Chestnut-headed Partridge (Chestnut-headed),Arborophila cambodiana cambodiana/chandamonyi,Arborophila,Phasianidae,Galliformes,group (polytypic)
Hainan Partridge,Arborophila ardens,Arborophila,Phasianidae,Galliformes,species
Taiwan Partridge,Arborophila crudigularis,Arborophila,Phasianidae,Galliformes,species
White-cheeked Partridge,Arborophila atrogularis,Arborophila,Phasianidae,Galliformes,species
Bar-backed Partridge,Arborophila brunneopectus,Arborophila,Phasianidae,Galliformes,species
Orange-necked Partridge,Arborophila davidi,Arborophila,Phasianidae,Galliformes,species
Red-breasted Partridge,Arborophila hyperythra,Arborophila,Phasianidae,Galliformes,species
Malayan Partridge,Arborophila campbelli,Arborophila,Phasianidae,Galliformes,species
Roll's Partridge,Arborophila rolli,Arborophila,Phasianidae,Galliformes,species
Sumatran Partridge,Arborophila sumatrana,Arborophila,Phasianidae,Galliformes,species
Roll's/Sumatran Partridge,Arborophila rolli/sumatrana,Arborophila,Phasianidae,Galliformes,slash
Chestnut-bellied Partridge,Arborophila javanica,Arborophila,Phasianidae,Galliformes,species
Gray-breasted Partridge,Arborophila orientalis,Arborophila,Phasianidae,Galliformes,species
Snow Partridge,Lerwa lerwa,Lerwa,Phasianidae,Galliformes,species
Blood Pheasant,Ithaginis cruentus,Ithaginis,Phasianidae,Galliformes,species
Western Tragopan,Tragopan melanocephalus,Tragopan,Phasianidae,Galliformes,species
Satyr Tragopan,Tragopan satyra,Tragopan,Phasianidae,Galliformes,species
Blyth's Tragopan,Tragopan blythii,Tragopan,Phasianidae,Galliformes,species
Temminck's Tragopan,Tragopan temminckii,Tragopan,Phasianidae,Galliformes,species
Cabot's Tragopan,Tragopan caboti,Tragopan,Phasianidae,Galliformes,species
Chestnut-throated Monal-Partridge,Tetraophasis obscurus,Tetraophasis,Phasianidae,Galliformes,species
Buff-throated Monal-Partridge,Tetraophasis szechenyii,Tetraophasis,Phasianidae,Galliformes,species
Himalayan Monal,Lophophorus impejanus,Lophophorus,Phasianidae,Galliformes,species
Sclater's Monal,Lophophorus sclateri,Lophophorus,Phasianidae,Galliformes,species
Sclater's Monal (White-tailed),Lophophorus sclateri arunachalensis,Lophophorus,Phasianidae,Galliformes,group (monotypic)
Sclater's Monal (Band-tailed),Lophophorus sclateri sclateri/orientalis,Lophophorus,Phasianidae,Galliformes,group (polytypic)
Chinese Monal,Lophophorus lhuysii,Lophophorus,Phasianidae,Galliformes,species
Koklass Pheasant,Pucrasia macrolopha,Pucrasia,Phasianidae,Galliformes,species
Wild Turkey,Meleagris gallopavo,Meleagris,Phasianidae,Galliformes,species
Wild Turkey (Domestic type),Meleagris gallopavo (Domestic type),Meleagris,Phasianidae,Galliformes,domestic
Ocellated Turkey,Meleagris ocellata,Meleagris,Phasianidae,Galliformes,species
Ruffed Grouse,Bonasa umbellus,Bonasa,Phasianidae,Galliformes,species
Hazel Grouse,Tetrastes bonasia,Tetrastes,Phasianidae,Galliformes,species
Chinese Grouse,Tetrastes sewerzowi,Tetrastes,Phasianidae,Galliformes,species
Greater Sage-Grouse,Centrocercus urophasianus,Centrocercus,Phasianidae,Galliformes,species
Gunnison Sage-Grouse,Centrocercus minimus,Centrocercus,Phasianidae,Galliformes,species
Greater/Gunnison Sage-Grouse,Centrocercus urophasianus/minimus,Centrocercus,Phasianidae,Galliformes,slash
Dusky Grouse,Dendragapus obscurus,Dendragapus,Phasianidae,Galliformes,species
Sooty Grouse,Dendragapus fuliginosus,Dendragapus,Phasianidae,Galliformes,species
Dusky x Sooty Grouse (hybrid),Dendragapus obscurus x fuliginosus,Dendragapus,Phasianidae,Galliformes,hybrid
Dusky/Sooty Grouse,Dendragapus obscurus/fuliginosus,Dendragapus,Phasianidae,Galliformes,slash
Sharp-tailed Grouse,Tympanuchus phasianellus,Tympanuchus,Phasianidae,Galliformes,species
Greater Sage-Grouse x Sharp-tailed Grouse (hybrid),Centrocercus urophasianus x Tympanuchus phasianellus,Centrocercus,Phasianidae,Galliformes,hybrid
Dusky x Sharp-tailed Grouse (hybrid),Dendragapus obscurus x Tympanuchus phasianellus,Dendragapus,Phasianidae,Galliformes,hybrid
Greater Prairie-Chicken,Tympanuchus cupido,Tympanuchus,Phasianidae,Galliformes,species
Greater Prairie-Chicken (pinnatus),Tympanuchus cupido pinnatus,Tympanuchus,Phasianidae,Galliformes,group (monotypic)
Greater Prairie-Chicken (Heath Hen),Tympanuchus cupido cupido,Tympanuchus,Phasianidae,Galliformes,group (monotypic)
Greater Prairie-Chicken (Attwater's),Tympanuchus cupido attwateri,Tympanuchus,Phasianidae,Galliformes,group (monotypic)
Sharp-tailed Grouse x Greater Prairie-Chicken (hybrid),Tympanuchus phasianellus x cupido,Tympanuchus,Phasianidae,Galliformes,hybrid
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Tympanuchus,Phasianidae,Galliformes,species
Greater x Lesser Prairie-Chicken (hybrid),Tympanuchus cupido x pallidicinctus,Tympanuchus,Phasianidae,Galliformes,hybrid
Greater/Lesser Prairie-Chicken,Tympanuchus cupido/pallidicinctus,Tympanuchus,Phasianidae,Galliformes,slash
White-tailed Ptarmigan,Lagopus leucura,Lagopus,Phasianidae,Galliformes,species
Red Grouse,Lagopus scotica,Lagopus,Phasianidae,Galliformes,species
Willow Ptarmigan,Lagopus lagopus,Lagopus,Phasianidae,Galliformes,species
Rock Ptarmigan,Lagopus muta,Lagopus,Phasianidae,Galliformes,species
ptarmigan sp.,Lagopus sp.,Lagopus,Phasianidae,Galliformes,spuh
Siberian Grouse,Falcipennis falcipennis,Falcipennis,Phasianidae,Galliformes,species
Spruce Grouse,Canachites canadensis,Canachites,Phasianidae,Galliformes,species
Spruce Grouse (Spruce),Canachites canadensis [canadensis Group],Canachites,Phasianidae,Galliformes,group (polytypic)
Spruce Grouse (Franklin's),Canachites canadensis franklinii/isleibi,Canachites,Phasianidae,Galliformes,group (polytypic)
Spruce Grouse (Spruce x Franklin's),Canachites canadensis [canadensis Group] x franklinii/isleibi,Canachites,Phasianidae,Galliformes,intergrade
Ruffed/Spruce Grouse,Bonasa umbellus/Canachites canadensis,Bonasa,Phasianidae,Galliformes,slash
Western Capercaillie,Tetrao urogallus,Tetrao,Phasianidae,Galliformes,species
Black-billed Capercaillie,Tetrao urogalloides,Tetrao,Phasianidae,Galliformes,species
Western x Black-billed Capercaillie (hybrid),Tetrao urogallus x urogalloides,Tetrao,Phasianidae,Galliformes,hybrid
Western/Black-billed Capercaillie,Tetrao urogallus/urogalloides,Tetrao,Phasianidae,Galliformes,slash
Black Grouse,Lyrurus tetrix,Lyrurus,Phasianidae,Galliformes,species
Western Capercaillie x Black Grouse (hybrid),Tetrao urogallus x Lyrurus tetrix,Tetrao,Phasianidae,Galliformes,hybrid
Caucasian Grouse,Lyrurus mlokosiewiczi,Lyrurus,Phasianidae,Galliformes,species
grouse sp.,Tetraoninae sp.,Tetraoninae,Phasianidae,Galliformes,spuh
Long-billed Partridge,Rhizothera longirostris,Rhizothera,Phasianidae,Galliformes,species
Dulit Partridge,Rhizothera dulitensis,Rhizothera,Phasianidae,Galliformes,species
Tibetan Partridge,Perdix hodgsoniae,Perdix,Phasianidae,Galliformes,species
Gray Partridge,Perdix perdix,Perdix,Phasianidae,Galliformes,species
Daurian Partridge,Perdix dauurica,Perdix,Phasianidae,Galliformes,species
Copper Pheasant,Syrmaticus soemmerringii,Syrmaticus,Phasianidae,Galliformes,species
Reeves's Pheasant,Syrmaticus reevesii,Syrmaticus,Phasianidae,Galliformes,species
Mikado Pheasant,Syrmaticus mikado,Syrmaticus,Phasianidae,Galliformes,species
Elliot's Pheasant,Syrmaticus ellioti,Syrmaticus,Phasianidae,Galliformes,species
Mrs. Hume's Pheasant,Syrmaticus humiae,Syrmaticus,Phasianidae,Galliformes,species
Golden Pheasant,Chrysolophus pictus,Chrysolophus,Phasianidae,Galliformes,species
Golden Pheasant (Domestic type),Chrysolophus pictus (Domestic type),Chrysolophus,Phasianidae,Galliformes,domestic
Lady Amherst's Pheasant,Chrysolophus amherstiae,Chrysolophus,Phasianidae,Galliformes,species
Golden x Lady Amherst's Pheasant (hybrid),Chrysolophus pictus x amherstiae,Chrysolophus,Phasianidae,Galliformes,hybrid
Ring-necked Pheasant,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,species
Ring-necked Pheasant (Domestic type),Phasianus colchicus (Domestic type),Phasianus,Phasianidae,Galliformes,domestic
Green Pheasant,Phasianus versicolor,Phasianus,Phasianidae,Galliformes,species
Ring-necked x Green Pheasant (hybrid),Phasianus colchicus x versicolor,Phasianus,Phasianidae,Galliformes,hybrid
Ring-necked/Green Pheasant,Phasianus colchicus/versicolor,Phasianus,Phasianidae,Galliformes,slash
Cheer Pheasant,Catreus wallichii,Catreus,Phasianidae,Galliformes,species
Tibetan Eared-Pheasant,Crossoptilon harmani,Crossoptilon,Phasianidae,Galliformes,species
White Eared-Pheasant,Crossoptilon crossoptilon,Crossoptilon,Phasianidae,Galliformes,species
Tibetan x White Eared-Pheasant (hybrid),Crossoptilon harmani x crossoptilon,Crossoptilon,Phasianidae,Galliformes,hybrid
Tibetan/White Eared-Pheasant,Crossoptilon harmani/crossoptilon,Crossoptilon,Phasianidae,Galliformes,slash
Brown Eared-Pheasant,Crossoptilon mantchuricum,Crossoptilon,Phasianidae,Galliformes,species
Blue Eared-Pheasant,Crossoptilon auritum,Crossoptilon,Phasianidae,Galliformes,species
Edwards's Pheasant,Lophura edwardsi,Lophura,Phasianidae,Galliformes,species
Swinhoe's Pheasant,Lophura swinhoii,Lophura,Phasianidae,Galliformes,species
Bulwer's Pheasant,Lophura bulweri,Lophura,Phasianidae,Galliformes,species
Kalij Pheasant,Lophura leucomelanos,Lophura,Phasianidae,Galliformes,species
Silver Pheasant,Lophura nycthemera,Lophura,Phasianidae,Galliformes,species
Edwards's x Silver Pheasant (hybrid),Lophura edwardsi x nycthemera,Lophura,Phasianidae,Galliformes,hybrid
Kalij x Silver Pheasant (hybrid),Lophura leucomelanos x nycthemera,Lophura,Phasianidae,Galliformes,hybrid
Malayan Crestless Fireback,Lophura erythrophthalma,Lophura,Phasianidae,Galliformes,species
Bornean Crestless Fireback,Lophura pyronota,Lophura,Phasianidae,Galliformes,species
Siamese Fireback,Lophura diardi,Lophura,Phasianidae,Galliformes,species
Salvadori's Pheasant,Lophura inornata,Lophura,Phasianidae,Galliformes,species
Salvadori's Pheasant (Hoogerwerf's),Lophura inornata hoogerwerfi,Lophura,Phasianidae,Galliformes,group (monotypic)
Salvadori's Pheasant (Salvadori's),Lophura inornata inornata,Lophura,Phasianidae,Galliformes,group (monotypic)
Malayan Crested Fireback,Lophura rufa,Lophura,Phasianidae,Galliformes,species
Bornean Crested Fireback,Lophura ignita,Lophura,Phasianidae,Galliformes,species
Vietnamese Crested Argus,Rheinardia ocellata,Rheinardia,Phasianidae,Galliformes,species
Malayan Crested Argus,Rheinardia nigrescens,Rheinardia,Phasianidae,Galliformes,species
Great Argus,Argusianus argus,Argusianus,Phasianidae,Galliformes,species
Congo Peacock,Afropavo congensis,Afropavo,Phasianidae,Galliformes,species
Indian Peafowl,Pavo cristatus,Pavo,Phasianidae,Galliformes,species
Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),Pavo,Phasianidae,Galliformes,domestic
Green Peafowl,Pavo muticus,Pavo,Phasianidae,Galliformes,species
Indian x Green Peafowl (hybrid),Pavo cristatus x muticus,Pavo,Phasianidae,Galliformes,hybrid
Scaly-breasted Partridge,Tropicoperdix chloropus,Tropicoperdix,Phasianidae,Galliformes,species
Scaly-breasted Partridge (Tonkin),Tropicoperdix chloropus tonkinensis,Tropicoperdix,Phasianidae,Galliformes,group (monotypic)
Scaly-breasted Partridge (Green-legged),Tropicoperdix chloropus [chloropus Group],Tropicoperdix,Phasianidae,Galliformes,group (polytypic)
Chestnut-necklaced Partridge,Tropicoperdix charltonii,Tropicoperdix,Phasianidae,Galliformes,species
Sabah Partridge,Tropicoperdix graydoni,Tropicoperdix,Phasianidae,Galliformes,species
Arborophila/Tropicoperdix sp.,Arborophila/Tropicoperdix sp.,Arborophila/Tropicoperdix,Phasianidae,Galliformes,spuh
Crimson-headed Partridge,Haematortyx sanguiniceps,Haematortyx,Phasianidae,Galliformes,species
Red Spurfowl,Galloperdix spadicea,Galloperdix,Phasianidae,Galliformes,species
Painted Spurfowl,Galloperdix lunulata,Galloperdix,Phasianidae,Galliformes,species
Red/Painted Spurfowl,Galloperdix spadicea/lunulata,Galloperdix,Phasianidae,Galliformes,slash
Sri Lanka Spurfowl,Galloperdix bicalcarata,Galloperdix,Phasianidae,Galliformes,species
Palawan Peacock-Pheasant,Polyplectron napoleonis,Polyplectron,Phasianidae,Galliformes,species
Bornean Peacock-Pheasant,Polyplectron schleiermacheri,Polyplectron,Phasianidae,Galliformes,species
Malayan Peacock-Pheasant,Polyplectron malacense,Polyplectron,Phasianidae,Galliformes,species
Germain's Peacock-Pheasant,Polyplectron germaini,Polyplectron,Phasianidae,Galliformes,species
Hainan Peacock-Pheasant,Polyplectron katsumatae,Polyplectron,Phasianidae,Galliformes,species
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Polyplectron,Phasianidae,Galliformes,species
Mountain Peacock-Pheasant,Polyplectron inopinatum,Polyplectron,Phasianidae,Galliformes,species
Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum,Polyplectron,Phasianidae,Galliformes,species
pheasant sp.,Phasianidae sp. (pheasant sp.),Phasianidae,Phasianidae,Galliformes,spuh
Mountain Bamboo-Partridge,Bambusicola fytchii,Bambusicola,Phasianidae,Galliformes,species
Chinese Bamboo-Partridge,Bambusicola thoracicus,Bambusicola,Phasianidae,Galliformes,species
Taiwan Bamboo-Partridge,Bambusicola sonorivox,Bambusicola,Phasianidae,Galliformes,species
Chinese/Taiwan Bamboo-Partridge,Bambusicola thoracicus/sonorivox,Bambusicola,Phasianidae,Galliformes,slash
Green Junglefowl,Gallus varius,Gallus,Phasianidae,Galliformes,species
Red Junglefowl,Gallus gallus,Gallus,Phasianidae,Galliformes,species
Red Junglefowl (Domestic type),Gallus gallus (Domestic type),Gallus,Phasianidae,Galliformes,domestic
Gray Junglefowl,Gallus sonneratii,Gallus,Phasianidae,Galliformes,species
Sri Lanka Junglefowl,Gallus lafayettii,Gallus,Phasianidae,Galliformes,species
Latham's Francolin,Peliperdix lathami,Peliperdix,Phasianidae,Galliformes,species
Crested Francolin,Ortygornis sephaena,Ortygornis,Phasianidae,Galliformes,species
Crested Francolin (Kirk's),Ortygornis sephaena rovuma,Ortygornis,Phasianidae,Galliformes,group (monotypic)
Crested Francolin (Crested),Ortygornis sephaena [sephaena Group],Ortygornis,Phasianidae,Galliformes,group (polytypic)
Gray Francolin,Ortygornis pondicerianus,Ortygornis,Phasianidae,Galliformes,species
Swamp Francolin,Ortygornis gularis,Ortygornis,Phasianidae,Galliformes,species
Chinese Francolin,Francolinus pintadeanus,Francolinus,Phasianidae,Galliformes,species
Black Francolin,Francolinus francolinus,Francolinus,Phasianidae,Galliformes,species
Black Francolin (Western),Francolinus francolinus francolinus/arabistanicus,Francolinus,Phasianidae,Galliformes,group (polytypic)
Black Francolin (Eastern),Francolinus francolinus [henrici Group],Francolinus,Phasianidae,Galliformes,group (polytypic)
Painted Francolin,Francolinus pictus,Francolinus,Phasianidae,Galliformes,species
Coqui Francolin,Campocolinus coqui,Campocolinus,Phasianidae,Galliformes,species
Coqui Francolin (Plain-breasted),Campocolinus coqui [hubbardi Group],Campocolinus,Phasianidae,Galliformes,group (polytypic)
Coqui Francolin (Bar-breasted),Campocolinus coqui coqui,Campocolinus,Phasianidae,Galliformes,group (monotypic)
White-throated Francolin,Campocolinus albogularis,Campocolinus,Phasianidae,Galliformes,species
White-throated Francolin (White-throated),Campocolinus albogularis albogularis/buckleyi,Campocolinus,Phasianidae,Galliformes,group (polytypic)
White-throated Francolin (Chestnut-breasted),Campocolinus albogularis dewittei,Campocolinus,Phasianidae,Galliformes,group (monotypic)
Schlegel's Francolin,Campocolinus schlegelii,Campocolinus,Phasianidae,Galliformes,species
Ring-necked Francolin,Scleroptila streptophora,Scleroptila,Phasianidae,Galliformes,species
Red-winged Francolin,Scleroptila levaillantii,Scleroptila,Phasianidae,Galliformes,species
Finsch's Francolin,Scleroptila finschi,Scleroptila,Phasianidae,Galliformes,species
Moorland Francolin,Scleroptila psilolaema,Scleroptila,Phasianidae,Galliformes,species
Elgon Francolin,Scleroptila elgonensis,Scleroptila,Phasianidae,Galliformes,species
Gray-winged Francolin,Scleroptila afra,Scleroptila,Phasianidae,Galliformes,species
Orange River Francolin,Scleroptila gutturalis,Scleroptila,Phasianidae,Galliformes,species
Orange River Francolin (Archer's),Scleroptila gutturalis gutturalis/lorti,Scleroptila,Phasianidae,Galliformes,group (polytypic)
Orange River Francolin (Kunene),Scleroptila gutturalis jugularis,Scleroptila,Phasianidae,Galliformes,group (monotypic)
Orange River Francolin (Orange River),Scleroptila gutturalis levalliantoides,Scleroptila,Phasianidae,Galliformes,group (monotypic)
Shelley's Francolin,Scleroptila shelleyi,Scleroptila,Phasianidae,Galliformes,species
Whyte's Francolin,Scleroptila whytei,Scleroptila,Phasianidae,Galliformes,species
Shelley's/Whyte's Francolin,Scleroptila shelleyi/whytei,Scleroptila,Phasianidae,Galliformes,slash
Tibetan Snowcock,Tetraogallus tibetanus,Tetraogallus,Phasianidae,Galliformes,species
Altai Snowcock,Tetraogallus altaicus,Tetraogallus,Phasianidae,Galliformes,species
Caucasian Snowcock,Tetraogallus caucasicus,Tetraogallus,Phasianidae,Galliformes,species
Caspian Snowcock,Tetraogallus caspius,Tetraogallus,Phasianidae,Galliformes,species
Himalayan Snowcock,Tetraogallus himalayensis,Tetraogallus,Phasianidae,Galliformes,species
Tibetan/Himalayan Snowcock,Tetraogallus tibetanus/himalayensis,Tetraogallus,Phasianidae,Galliformes,slash
See-see Partridge,Ammoperdix griseogularis,Ammoperdix,Phasianidae,Galliformes,species
Sand Partridge,Ammoperdix heyi,Ammoperdix,Phasianidae,Galliformes,species
Brown Quail,Synoicus ypsilophorus,Synoicus,Phasianidae,Galliformes,species
Snow Mountain Quail,Synoicus monorthonyx,Synoicus,Phasianidae,Galliformes,species
Blue-breasted Quail,Synoicus chinensis,Synoicus,Phasianidae,Galliformes,species
Blue-breasted Quail (Domestic type),Synoicus chinensis (Domestic type),Synoicus,Phasianidae,Galliformes,domestic
Blue Quail,Synoicus adansonii,Synoicus,Phasianidae,Galliformes,species
Madagascar Partridge,Margaroperdix madagarensis,Margaroperdix,Phasianidae,Galliformes,species
Common Quail,Coturnix coturnix,Coturnix,Phasianidae,Galliformes,species
Japanese Quail,Coturnix japonica,Coturnix,Phasianidae,Galliformes,species
Japanese Quail (Domestic type),Coturnix japonica (Domestic type),Coturnix,Phasianidae,Galliformes,domestic
Harlequin Quail,Coturnix delegorguei,Coturnix,Phasianidae,Galliformes,species
Rain Quail,Coturnix coromandelica,Coturnix,Phasianidae,Galliformes,species
Common/Rain Quail,Coturnix coturnix/coromandelica,Coturnix,Phasianidae,Galliformes,slash
Stubble Quail,Coturnix pectoralis,Coturnix,Phasianidae,Galliformes,species
New Zealand Quail,Coturnix novaezelandiae,Coturnix,Phasianidae,Galliformes,species
old world quail sp.,Synoicus/Coturnix sp.,Synoicus/Coturnix,Phasianidae,Galliformes,spuh
Barbary Partridge,Alectoris barbara,Alectoris,Phasianidae,Galliformes,species
Arabian Partridge,Alectoris melanocephala,Alectoris,Phasianidae,Galliformes,species
Red-legged Partridge,Alectoris rufa,Alectoris,Phasianidae,Galliformes,species
Chukar,Alectoris chukar,Alectoris,Phasianidae,Galliformes,species
Rock Partridge,Alectoris graeca,Alectoris,Phasianidae,Galliformes,species
Rock Partridge (European),Alectoris graeca [graeca Group],Alectoris,Phasianidae,Galliformes,group (polytypic)
Rock Partridge (Sicilian),Alectoris graeca whitakeri,Alectoris,Phasianidae,Galliformes,group (monotypic)
Red-legged x Rock Partridge (hybrid),Alectoris rufa x graeca,Alectoris,Phasianidae,Galliformes,hybrid
Chukar x Rock Partridge (hybrid),Alectoris chukar x graeca,Alectoris,Phasianidae,Galliformes,hybrid
Red-legged/Rock Partridge,Alectoris rufa/graeca,Alectoris,Phasianidae,Galliformes,slash
Philby's Partridge,Alectoris philbyi,Alectoris,Phasianidae,Galliformes,species
Przevalski's Partridge,Alectoris magna,Alectoris,Phasianidae,Galliformes,species
Alectoris sp.,Alectoris sp.,Alectoris,Phasianidae,Galliformes,spuh
Jungle Bush-Quail,Perdicula asiatica,Perdicula,Phasianidae,Galliformes,species
Rock Bush-Quail,Perdicula argoondah,Perdicula,Phasianidae,Galliformes,species
Jungle/Rock Bush-Quail,Perdicula asiatica/argoondah,Perdicula,Phasianidae,Galliformes,slash
Painted Bush-Quail,Perdicula erythrorhyncha,Perdicula,Phasianidae,Galliformes,species
Manipur Bush-Quail,Perdicula manipurensis,Perdicula,Phasianidae,Galliformes,species
Himalayan Quail,Ophrysia superciliosa,Ophrysia,Phasianidae,Galliformes,species
Hartlaub's Spurfowl,Pternistis hartlaubi,Pternistis,Phasianidae,Galliformes,species
Mount Cameroon Spurfowl,Pternistis camerunensis,Pternistis,Phasianidae,Galliformes,species
Handsome Spurfowl,Pternistis nobilis,Pternistis,Phasianidae,Galliformes,species
Chestnut-naped Spurfowl,Pternistis castaneicollis,Pternistis,Phasianidae,Galliformes,species
Chestnut-naped Spurfowl (Northern),Pternistis castaneicollis castaneicollis,Pternistis,Phasianidae,Galliformes,group (monotypic)
Chestnut-naped Spurfowl (Black-fronted),Pternistis castaneicollis atrifrons,Pternistis,Phasianidae,Galliformes,group (monotypic)
Erckel's Spurfowl,Pternistis erckelii,Pternistis,Phasianidae,Galliformes,species
