Himatione sanguinea_Apapane
Nycticorax nycticorax_Black-crowned Night-Heron
Egretta caerulea_Little Blue Heron
Spatula clypeata_Northern Shoveler
Thryomanes bewickii_Bewick's Wren
Salpinctes obsoletus_Rock Wren
Aythya collaris_Ring-necked Duck
Amphispiza bilineata_Black-throated Sparrow
Chordeiles acutipennis_Lesser Nighthawk
Bombycilla cedrorum_Cedar Waxwing
Thalasseus maximus_Royal Tern
Rallus obsoletus_Ridgway's Rail
Recurvirostra americana_American Avocet
Tringa semipalmata_Willet
Sturnus vulgaris_European Starling
Plegadis chihi_White-faced Ibis
Aimophila ruficeps_Rufous-crowned Sparrow
Vireo gilvus_Warbling Vireo
Rallus limicola_Virginia Rail
Tyto alba_Barn Owl
Mimus polyglottos_Northern Mockingbird
Melozone crissalis_California Towhee
Phainopepla nitens_Phainopepla
Phalaenoptilus nuttallii_Common Poorwill
Icterus parisorum_Scott's Oriole
Aechmophorus occidentalis_Western Grebe
Xanthocephalus xanthocephalus_Yellow-headed Blackbird
Gelochelidon nilotica_Gull-billed Tern
Sayornis saya_Say's Phoebe
Spinus psaltria_Lesser Goldfinch
Egretta tricolor_Tricolored Heron
Leucophaeus atricilla_Laughing Gull
Piranga ludoviciana_Western Tanager
Pluvialis squatarola_Black-bellied Plover
Colaptes chrysoides_Gilded Flicker
Anas acuta_Northern Pintail
Limnodromus scolopaceus_Long-billed Dowitcher
Dryobates scalaris_Ladder-backed Woodpecker
Calypte costae_Costa's Hummingbird
Mareca americana_American Wigeon
Eremophila alpestris_Horned Lark
Sterna hirundo_Common Tern
Phalaropus fulicarius_Red Phalarope
Artemisiospiza belli_Bell's Sparrow
Streptopelia decaocto_Eurasian Collared-Dove
Larus californicus_California Gull
Anas crecca_Green-winged Teal
Polioptila caerulea_Blue-gray Gnatcatcher
Nannopterum auritum_Double-crested Cormorant
Podiceps nigricollis_Eared Grebe
Stercorarius pomarinus_Pomarine Jaeger
Calamospiza melanocorys_Lark Bunting
Spizella atrogularis_Black-chinned Sparrow
Anthus rubescens_American Pipit
Calypte anna_Anna's Hummingbird
Calidris alba_Sanderling
Buteo albonotatus_Zone-tailed Hawk
Numenius americanus_Long-billed Curlew
Sula sula_Red-footed Booby
Megascops kennicottii_Western Screech-Owl
Sayornis nigricans_Black Phoebe
Phalaropus lobatus_Red-necked Phalarope
Passerina amoena_Lazuli Bunting
Cistothorus palustris_Marsh Wren
Tyrannus vociferans_Cassin's Kingbird
Micrathene whitneyi_Elf Owl
Geothlypis trichas_Common Yellowthroat
Spizella pallida_Clay-colored Sparrow
Hydroprogne caspia_Caspian Tern
Setophaga coronata_Yellow-rumped Warbler
Campylorhynchus brunneicapillus_Cactus Wren
Sphyrapicus nuchalis_Red-naped Sapsucker
Larus heermanni_Heermann's Gull
Larus argentatus_Herring Gull
Paroaria capitata_Yellow-billed Cardinal
Hydrobates leucorhous_Leach's Storm-Petrel
Polioptila californica_California Gnatcatcher
Spizella passerina_Chipping Sparrow
Toxostoma lecontei_LeConte's Thrasher
Ardenna pacifica_Wedge-tailed Shearwater
Calidris minutilla_Least Sandpiper
Passerina caerulea_Blue Grosbeak
Bucephala albeola_Bufflehead
Falco peregrinus_Peregrine Falcon
Falco sparverius_American Kestrel
Tachycineta bicolor_Tree Swallow
Sicalis flaveola_Saffron Finch
Anas platyrhynchos_Mallard
Sternula antillarum_Least Tern
Egretta thula_Snowy Egret
Himantopus mexicanus_Black-necked Stilt
Phalaropus tricolor_Wilson's Phalarope
Hirundo rustica_Barn Swallow
Pterodroma cookii_Cook's Petrel
Spizella breweri_Brewer's Sparrow
Geothlypis tolmiei_MacGillivray's Warbler
Stercorarius parasiticus_Parasitic Jaeger
Thalasseus elegans_Elegant Tern
Egretta rufescens_Reddish Egret
Melospiza lincolnii_Lincoln's Sparrow
Empidonax wrightii_Gray Flycatcher
Troglodytes aedon_House Wren
Calidris mauri_Western Sandpiper
Vireo bellii_Bell's Vireo
Agelaius phoeniceus_Red-winged Blackbird
Sula nebouxii_Blue-footed Booby
Mareca strepera_Gadwall
Bucephala clangula_Common Goldeneye
Phoebastria nigripes_Black-footed Albatross
Buteo jamaicensis_Red-tailed Hawk
Limnodromus griseus_Short-billed Dowitcher
Sula leucogaster_Brown Booby
Numenius phaeopus_Whimbrel
Arenaria melanocephala_Black Turnstone
Ardea alba_Great Egret
Geothlypis beldingi_Belding's Yellowthroat
Setophaga nigrescens_Black-throated Gray Warbler
Circus hudsonius_Northern Harrier
Passerculus sandwichensis_Savannah Sparrow
Catharus guttatus_Hermit Thrush
Euphagus cyanocephalus_Brewer's Blackbird
Progne subis_Purple Martin
Ardea herodias_Great Blue Heron
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Auriparus flaviceps_Verdin
Columba livia_Rock Pigeon
Icterus cucullatus_Hooded Oriole
Gallinago delicata_Wilson's Snipe
Pooecetes gramineus_Vesper Sparrow
Falco columbarius_Merlin
Myiarchus cinerascens_Ash-throated Flycatcher
Stercorarius longicaudus_Long-tailed Jaeger
Charadrius semipalmatus_Semipalmated Plover
Xema sabini_Sabine's Gull
Sula dactylatra_Masked Booby
Cardinalis sinuatus_Pyrrhuloxia
Corthylio calendula_Ruby-crowned Kinglet
Gallinula galeata_Common Gallinule
Accipiter striatus_Sharp-shinned Hawk
Bubo virginianus_Great Horned Owl
Calidris alpina_Dunlin
Empidonax difficilis_Pacific-slope Flycatcher
Toxostoma cinereum_Gray Thrasher
Chroicocephalus philadelphia_Bonaparte's Gull
Melospiza melodia_Song Sparrow
Larus occidentalis_Western Gull
Gavia stellata_Red-throated Loon
Stercorarius maccormicki_South Polar Skua
Pipilo chlorurus_Green-tailed Towhee
Larus livens_Yellow-footed Gull
Chondestes grammacus_Lark Sparrow
Columbina passerina_Common Ground Dove
Pandion haliaetus_Osprey
Aythya americana_Redhead
Caracara plancus_Crested Caracara
Eudocimus albus_White Ibis
Tringa flavipes_Lesser Yellowlegs
Butorides virescens_Green Heron
Limosa fedoa_Marbled Godwit
Selasphorus rufus_Rufous Hummingbird
Haematopus bachmani_Black Oystercatcher
Loxops mana_Hawaii Creeper
Leiothlypis celata_Orange-crowned Warbler
Chlidonias niger_Black Tern
Elanus leucurus_White-tailed Kite
Zonotrichia leucophrys_White-crowned Sparrow
Calidris virgata_Surfbird
Spatula discors_Blue-winged Teal
Tachycineta thalassina_Violet-green Swallow
Loxops coccineus_Hawaii Akepa
Melanitta perspicillata_Surf Scoter
Tringa melanoleuca_Greater Yellowlegs
Setophaga petechia_Yellow Warbler
Actitis macularius_Spotted Sandpiper
Pheucticus melanocephalus_Black-headed Grosbeak
Petrochelidon pyrrhonota_Cliff Swallow
Gavia immer_Common Loon
Nannopterum brasilianum_Neotropic Cormorant
Vireo cassinii_Cassin's Vireo
Calidris canutus_Red Knot
Calidris melanotos_Pectoral Sandpiper
Phoebastria immutabilis_Laysan Albatross
Branta bernicla_Brant
Estrilda astrild_Common Waxbill
Alauda arvensis_Eurasian Skylark
Parkesia noveboracensis_Northern Waterthrush
Larus glaucescens_Glaucous-winged Gull
Mergus serrator_Red-breasted Merganser
Gavia pacifica_Pacific Loon
Setophaga townsendi_Townsend's Warbler
Hemignathus wilsoni_Akiapolaau
Junco hyemalis_Dark-eyed Junco
Gallus gallus_Red Junglefowl
Fregata minor_Great Frigatebird
Megaceryle alcyon_Belted Kingfisher
Pelecanus occidentalis_Brown Pelican
Cathartes aura_Turkey Vulture
Glaucidium gnoma_Northern Pygmy-Owl
Cardellina pusilla_Wilson's Warbler
Sterna paradisaea_Arctic Tern
Contopus sordidulus_Western Wood-Pewee
Meleagris gallopavo_Wild Turkey
Fulmarus glacialis_Northern Fulmar
Melanerpes uropygialis_Gila Woodpecker
Ardenna tenuirostris_Short-tailed Shearwater
Phaethon rubricauda_Red-tailed Tropicbird
Onychoprion fuscatus_Sooty Tern
Asio flammeus_Short-eared Owl
Branta canadensis_Canada Goose
Quiscalus mexicanus_Great-tailed Grackle
Ardenna bulleri_Buller's Shearwater
Icteria virens_Yellow-breasted Chat
