Acridotheres tristis_Common Myna
Merops leschenaulti_Chestnut-headed Bee-eater
Pelargopsis capensis_Stork-billed Kingfisher
Prinia socialis_Ashy Prinia
Phaenicophaeus viridirostris_Blue-faced Malkoha
Copsychus malabaricus_White-rumped Shama
Calidris minuta_Little Stint
Charadrius dubius_Little Ringed Plover
Loriculus beryllinus_Sri Lanka Hanging-Parrot
Tringa nebularia_Common Greenshank
Esacus recurvirostris_Great Thick-knee
Cisticola juncidis_Zitting Cisticola
Acrocephalus dumetorum_Blyth's Reed Warbler
Pomatorhinus melanurus_Sri Lanka Scimitar-Babbler
Clamator jacobinus_Pied Cuckoo
Cacomantis passerinus_Gray-bellied Cuckoo
Alauda gulgula_Oriental Skylark
Lalage melanoptera_Black-headed Cuckooshrike
Pastor roseus_Rosy Starling
Prinia sylvatica_Jungle Prinia
Caprimulgus atripennis_Jerdon's Nightjar
Nettapus coromandelianus_Cotton Pygmy-Goose
Charadrius alexandrinus_Kentish Plover
Phylloscopus nitidus_Green Warbler
Psittacula calthrapae_Layard's Parakeet
Calidris ferruginea_Curlew Sandpiper
Ketupa zeylonensis_Brown Fish-Owl
Chlidonias leucopterus_White-winged Tern
Ixobrychus flavicollis_Black Bittern
Dumetia atriceps_Dark-fronted Babbler
Artamus fuscus_Ashy Woodswallow
Eremopterix griseus_Ashy-crowned Sparrow-Lark
Dumetia hyperythra_Tawny-bellied Babbler
Caprimulgus asiaticus_Indian Nightjar
Streptopelia decaocto_Eurasian Collared-Dove
Burhinus indicus_Indian Thick-knee
Larvivora brunnea_Indian Blue Robin
Ploceus philippinus_Baya Weaver
Zosterops ceylonensis_Sri Lanka White-eye
Hydroprogne caspia_Caspian Tern
Ploceus manyar_Streaked Weaver
Hypsipetes ganeesa_Square-tailed Bulbul
Yungipicus nanus_Brown-capped Pygmy Woodpecker
Muscicapa dauurica_Asian Brown Flycatcher
Surniculus dicruroides_Fork-tailed Drongo-Cuckoo
Chroicocephalus brunnicephalus_Brown-headed Gull
Sternula albifrons_Little Tern
Glareola lactea_Small Pratincole
Gallinula chloropus_Eurasian Moorhen
Nycticorax nycticorax_Black-crowned Night-Heron
Prinia hodgsonii_Gray-breasted Prinia
Pericrocotus flammeus_Orange Minivet
Psittacula cyanocephala_Plum-headed Parakeet
Chrysomma sinense_Yellow-eyed Babbler
Lonchura kelaarti_Black-throated Munia
Motacilla cinerea_Gray Wagtail
Anas acuta_Northern Pintail
Pernis ptilorhynchus_Oriental Honey-buzzard
Spatula querquedula_Garganey
Sturnia pagodarum_Brahminy Starling
Hypothymis azurea_Black-naped Monarch
Phalacrocorax carbo_Great Cormorant
Galloperdix bicalcarata_Sri Lanka Spurfowl
Euodice malabarica_Indian Silverbill
Fulica atra_Eurasian Coot
Gracula indica_Southern Hill Myna
Gallinago stenura_Pin-tailed Snipe
Leiopicus mahrattensis_Yellow-crowned Woodpecker
Motacilla flava_Western Yellow Wagtail
Otus bakkamoena_Indian Scops-Owl
Spatula clypeata_Northern Shoveler
Harpactes fasciatus_Malabar Trogon
Muscicapa muttui_Brown-breasted Flycatcher
Tringa ochropus_Green Sandpiper
Gracula ptilogenys_Sri Lanka Myna
Chrysocolaptes festivus_White-naped Woodpecker
Geokichla spiloptera_Spot-winged Thrush
Falco tinnunculus_Eurasian Kestrel
Hierococcyx varius_Common Hawk-Cuckoo
Urocissa ornata_Sri Lanka Blue-Magpie
Chloropsis aurifrons_Golden-fronted Leafbird
Numenius arquata_Eurasian Curlew
Hemipus picatus_Bar-winged Flycatcher-shrike
Picus chlorolophus_Lesser Yellownape
Ixobrychus cinnamomeus_Cinnamon Bittern
Sitta frontalis_Velvet-fronted Nuthatch
Coracina macei_Large Cuckooshrike
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher
Turnix suscitator_Barred Buttonquail
Centropus chlororhynchos_Green-billed Coucal
Dendronanthus indicus_Forest Wagtail
Gallicrex cinerea_Watercock
Batrachostomus moniliger_Sri Lanka Frogmouth
Taccocua leschenaultii_Sirkeer Malkoha
Mareca penelope_Eurasian Wigeon
Dicaeum agile_Thick-billed Flowerpecker
Glaucidium castanotum_Chestnut-backed Owlet
Circus pygargus_Montagu's Harrier
Iole indica_Yellow-browed Bulbul
Numenius phaeopus_Whimbrel
Anthus godlewskii_Blyth's Pipit
Otus sunia_Oriental Scops-Owl
Pandion haliaetus_Osprey
Hieraaetus pennatus_Booted Eagle
Elanus caeruleus_Black-winged Kite
Sterna hirundo_Common Tern
Caprimulgus indicus_Jungle Nightjar
Ictinaetus malaiensis_Black Eagle
Apus melba_Alpine Swift
Phodilus assimilis_Sri Lanka Bay-Owl
Turdus simillimus_Indian Blackbird
Parus cinereus_Cinereous Tit
Zapornia fusca_Ruddy-breasted Crake
Ninox scutulata_Brown Boobook
Picus xanthopygaeus_Streak-throated Woodpecker
Thalasseus bengalensis_Lesser Crested Tern
Falco peregrinus_Peregrine Falcon
Anthus richardi_Richard's Pipit
Glareola maldivarum_Oriental Pratincole
Pluvialis squatarola_Black-bellied Plover
Motacilla citreola_Citrine Wagtail
Hirundapus giganteus_Brown-backed Needletail
Cuculus micropterus_Indian Cuckoo
Dinopium benghalense_Black-rumped Flameback
Calidris pugnax_Ruff
Dicrurus leucophaeus_Ashy Drongo
Ceyx erithaca_Black-backed Dwarf-Kingfisher
Curruca curruca_Lesser Whitethroat
Accipiter trivirgatus_Crested Goshawk
Anas poecilorhyncha_Indian Spot-billed Duck
Oriolus kundoo_Indian Golden Oriole
Cacomantis sonneratii_Banded Bay Cuckoo
Plegadis falcinellus_Glossy Ibis
Strix leptogrammica_Brown Wood-Owl
Motacilla alba_White Wagtail
Glaucidium radiatum_Jungle Owlet
Phylloscopus magnirostris_Large-billed Leaf Warbler
Lophotriorchis kienerii_Rufous-bellied Eagle
Xenus cinereus_Terek Sandpiper
Gorsachius melanolophus_Malayan Night-Heron
Egretta gularis_Western Reef-Heron
Halcyon pileata_Black-capped Kingfisher
Lewinia striata_Slaty-breasted Rail
Butorides striata_Striated Heron
Rallina eurizonoides_Slaty-legged Crake
Ortygornis pondicerianus_Gray Francolin
Saxicola caprata_Pied Bushchat
Lanius schach_Long-tailed Shrike
Micropternus brachyurus_Rufous Woodpecker
Eurystomus orientalis_Dollarbird
Anas crecca_Green-winged Teal
Monticola solitarius_Blue Rock-Thrush
Calidris temminckii_Temminck's Stint
Cecropis daurica_Red-rumped Swallow
Geokichla citrina_Orange-headed Thrush
Accipiter virgatus_Besra
Acrocephalus stentoreus_Clamorous Reed Warbler
Charadrius leschenaultii_Greater Sand-Plover
Arenaria interpres_Ruddy Turnstone
Synoicus chinensis_Blue-breasted Quail
Larus fuscus_Lesser Black-backed Gull
Circus aeruginosus_Eurasian Marsh-Harrier
Phoenicopterus roseus_Greater Flamingo
Rostratula benghalensis_Greater Painted-Snipe
Metopidius indicus_Bronze-winged Jacana
Helopsaltes certhiola_Pallas's Grasshopper Warbler
Gallinago gallinago_Common Snipe
Vanellus cinereus_Gray-headed Lapwing
Eumyias thalassinus_Verditer Flycatcher
Tyto alba_Barn Owl
Recurvirostra avosetta_Pied Avocet
Limosa lapponica_Bar-tailed Godwit
Thalasseus bergii_Great Crested Tern
Dendrocitta vagabunda_Rufous Treepie
Dicrurus macrocercus_Black Drongo
Hydrobates monorhis_Swinhoe's Storm-Petrel
Pseudibis papillosa_Red-naped Ibis
Calidris alba_Sanderling
Tringa erythropus_Spotted Redshank
Dicrurus paradiseus_Greater Racket-tailed Drongo
Calidris tenuirostris_Great Knot
Thalasseus sandvicensis_Sandwich Tern
Motacilla maderaspatensis_White-browed Wagtail
Streptopelia senegalensis_Laughing Dove
Caprimulgus affinis_Savanna Nightjar
Argya striata_Jungle Babbler
Buteo buteo_Common Buzzard
Athene brama_Spotted Owlet
Pericrocotus speciosus_Scarlet Minivet
Phylloscopus trochiloides_Greenish Warbler
Aviceda jerdoni_Jerdon's Baza
Clamator coromandus_Chestnut-winged Cuckoo
Riparia riparia_Bank Swallow
Merops apiaster_European Bee-eater
Phylloscopus fuscatus_Dusky Warbler
Phalaropus lobatus_Red-necked Phalarope
Lanius vittatus_Bay-backed Shrike
Sturnia malabarica_Chestnut-tailed Starling
Pycnonotus jocosus_Red-whiskered Bulbul
Amandava amandava_Red Avadavat
Podiceps cristatus_Great Crested Grebe
Calidris subminuta_Long-toed Stint
