Hemiprocne mystacea_Moustached Treeswift
Aplonis mysolensis_Moluccan Starling
Melidora macrorrhina_Hook-billed Kingfisher
Paradisaea minor_Lesser Bird-of-Paradise
Ptilorrhoa leucosticta_Spotted Jewel-babbler
Melanorectes nigrescens_Black Pitohui
Edolisoma montanum_Black-bellied Cicadabird
Ninox theomacha_Papuan Boobook
Fregata ariel_Lesser Frigatebird
Charadrius veredus_Oriental Plover
Seleucidis melanoleucus_Twelve-wired Bird-of-Paradise
Oreocharis arfaki_Tit Berrypecker
Rallina tricolor_Red-necked Crake
Pachycephala schlegelii_Regent Whistler
Nettapus coromandelianus_Cotton Pygmy-Goose
Haliastur indus_Brahminy Kite
Rhipidura leucothorax_White-bellied Thicket-Fantail
Ceyx azureus_Azure Kingfisher
Butorides striata_Striated Heron
Cinclosoma ajax_Painted Quail-thrush
Corvus tristis_Gray Crow
Centropus menbeki_Greater Black Coucal
Egretta garzetta_Little Egret
Todiramphus chloris_Collared Kingfisher
Peltops montanus_Mountain Peltops
Poecilodryas hypoleuca_Black-sided Robin
Rhipidura brachyrhyncha_Dimorphic Fantail
Pachycephala soror_Sclater's Whistler
Epimachus fastosus_Black Sicklebill
Harpyopsis novaeguineae_New Guinea Eagle
Tyto tenebricosa_Sooty Owl
Radjah radjah_Radjah Shelduck
Ducula pinon_Pinon's Imperial-Pigeon
Podargus ocellatus_Marbled Frogmouth
Pluvialis fulva_Pacific Golden-Plover
Numenius phaeopus_Whimbrel
Phaethon lepturus_White-tailed Tropicbird
Arenaria interpres_Ruddy Turnstone
Rhipidura albolimbata_Friendly Fantail
Cracticus cassicus_Hooded Butcherbird
Melampitta lugubris_Lesser Melampitta
Pachycephala simplex_Gray Whistler
Cracticus quoyi_Black Butcherbird
Machaerirhynchus flaviventer_Yellow-breasted Boatbill
Ixobrychus flavicollis_Black Bittern
Ramsayornis modestus_Brown-backed Honeyeater
Gerygone palpebrosa_Fairy Gerygone
Geopelia placida_Peaceful Dove
Ptilorrhoa castanonota_Chestnut-backed Jewel-babbler
Ptilinopus iozonus_Orange-bellied Fruit-Dove
Sterna sumatrana_Black-naped Tern
Rhipidura threnothorax_Sooty Thicket-Fantail
Sterna dougallii_Roseate Tern
Ardea sumatrana_Great-billed Heron
Orthonyx novaeguineae_Papuan Logrunner
Cacomantis leucolophus_White-crowned Koel
Ptilorrhoa caerulescens_Blue Jewel-babbler
Scythrops novaehollandiae_Channel-billed Cuckoo
Monarcha frater_Black-winged Monarch
Mino dumontii_Yellow-faced Myna
Caligavis subfrenata_Black-throated Honeyeater
Erythropitta macklotii_Papuan Pitta
Zapornia pusilla_Baillon's Crake
Pitohui kirhocephalus_Northern Variable Pitohui
Megapodius reinwardt_Orange-footed Scrubfowl
Rhipidura dryas_Arafura Fantail
Esacus magnirostris_Beach Thick-knee
Lophorina superba_Greater Lophorina
Gallirallus philippensis_Buff-banded Rail
Threskiornis molucca_Australian Ibis
Chlidonias hybrida_Whiskered Tern
Gerygone olivacea_White-throated Gerygone
Myiagra nana_Paperbark Flycatcher
Lalage tricolor_White-winged Triller
Symposiachrus trivirgatus_Spectacled Monarch
Onychoprion anaethetus_Bridled Tern
Fregata minor_Great Frigatebird
Paradisaea rubra_Red Bird-of-Paradise
Anas superciliosa_Pacific Black Duck
Cacomantis flabelliformis_Fan-tailed Cuckoo
Calidris tenuirostris_Great Knot
Dacelo leachii_Blue-winged Kookaburra
Glareola maldivarum_Oriental Pratincole
Eudynamys orientalis_Pacific Koel
Gelochelidon nilotica_Gull-billed Tern
Colluricincla harmonica_Gray Shrikethrush
Ducula pistrinaria_Island Imperial-Pigeon
Limosa lapponica_Bar-tailed Godwit
Bubulcus ibis_Cattle Egret
Ducula zoeae_Zoe's Imperial-Pigeon
Toxorhamphus novaeguineae_Yellow-bellied Longbill
Ardea intermedia_Intermediate Egret
Cicinnurus respublica_Wilson's Bird-of-Paradise
Ardea alba_Great Egret
Geopelia humeralis_Bar-shouldered Dove
Colluricincla megarhyncha_Arafura Shrikethrush
Microeca fascinans_Jacky-winter
Cuculus optatus_Oriental Cuckoo
Aprosmictus erythropterus_Red-winged Parrot
Thalasseus bengalensis_Lesser Crested Tern
Hirundo rustica_Barn Swallow
Dendrocygna eytoni_Plumed Whistling-Duck
Cinnyris jugularis_Olive-backed Sunbird
Melithreptus albogularis_White-throated Honeyeater
Calidris ruficollis_Red-necked Stint
Cacatua sanguinea_Little Corella
Apus pacificus_Pacific Swift
Gygis alba_White Tern
Eurostopodus mystacalis_White-throated Nightjar
Ixobrychus dubius_Black-backed Bittern
Gallinago megala_Swinhoe's Snipe
Pseudorectes ferrugineus_Rusty Pitohui
Neochmia phaeton_Crimson Finch
Phalaropus lobatus_Red-necked Phalarope
Ixobrychus sinensis_Yellow Bittern
Tyto novaehollandiae_Australian Masked-Owl
Passer montanus_Eurasian Tree Sparrow
Anseranas semipalmata_Magpie Goose
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Phalacrocorax carbo_Great Cormorant
Grallina cyanoleuca_Magpie-lark
Casuarius casuarius_Southern Cassowary
Burhinus grallarius_Bush Thick-knee
Cicinnurus regius_King Bird-of-Paradise
Falco berigora_Brown Falcon
Antigone rubicunda_Brolga
Myiagra rubecula_Leaden Flycatcher
Sternula albifrons_Little Tern
Hirundo tahitica_Pacific Swallow
Arses telescopthalmus_Frilled Monarch
Ptiloprora guisei_Rufous-backed Honeyeater
Oriolus sagittatus_Olive-backed Oriole
Gymnorhina tibicen_Australian Magpie
Malurus cyanocephalus_Emperor Fairywren
Motacilla tschutschensis_Eastern Yellow Wagtail
Philemon corniculatus_Noisy Friarbird
Pomatostomus temporalis_Gray-crowned Babbler
Entomyzon cyanotis_Blue-faced Honeyeater
Talegalla jobiensis_Red-legged Brushturkey
Anthus novaeseelandiae_Australasian Pipit
Calidris falcinellus_Broad-billed Sandpiper
Monarcha melanopsis_Black-faced Monarch
Pandion haliaetus_Osprey
Sterna hirundo_Common Tern
Chalcophaps longirostris_Pacific Emerald Dove
Coracina papuensis_White-bellied Cuckooshrike
Sula leucogaster_Brown Booby
Rhipidura maculipectus_Black Thicket-Fantail
Philemon citreogularis_Little Friarbird
Tanysiptera sylvia_Buff-breasted Paradise-Kingfisher
Sericornis papuensis_Papuan Scrubwren
Tringa glareola_Wood Sandpiper
Peneothello sigillata_White-winged Robin
Onychoprion fuscatus_Sooty Tern
Muscicapa griseisticta_Gray-streaked Flycatcher
Ptiloprora perstriata_Gray-streaked Honeyeater
Sula dactylatra_Masked Booby
Chroicocephalus novaehollandiae_Silver Gull
Lonchura castaneothorax_Chestnut-breasted Munia
Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove
Actitis hypoleucos_Common Sandpiper
Chlidonias leucopterus_White-winged Tern
Coracina longicauda_Hooded Cuckooshrike
Ifrita kowaldi_Blue-capped Ifrita
Epimachus meyeri_Brown Sicklebill
Cuculus saturatus_Himalayan Cuckoo
Otidiphaps nobilis_Pheasant Pigeon
Pitta versicolor_Noisy Pitta
Charadrius mongolus_Lesser Sand-Plover
Gallinula tenebrosa_Dusky Moorhen
Synoicus ypsilophorus_Brown Quail
Tringa brevipes_Gray-tailed Tattler
Charadrius leschenaultii_Greater Sand-Plover
Phonygammus keraudrenii_Trumpet Manucode
Eurostopodus argus_Spotted Nightjar
Cacomantis pallidus_Pallid Cuckoo
Amaurornis moluccana_Pale-vented Bush-hen
Falco peregrinus_Peregrine Falcon
Melidectes belfordi_Belford's Melidectes
Ducula bicolor_Pied Imperial-Pigeon
Aegotheles cristatus_Australian Owlet-nightjar
Charadrius dubius_Little Ringed Plover
Tringa nebularia_Common Greenshank
Calidris ferruginea_Curlew Sandpiper
Poliolimnas cinereus_White-browed Crake
Haliaeetus leucogaster_White-bellied Sea-Eagle
Coracina lineata_Barred Cuckooshrike
Himantopus leucocephalus_Pied Stilt
Melidectes rufocrissalis_Yellow-browed Melidectes
Pteridophora alberti_King-of-Saxony Bird-of-Paradise
Pluvialis squatarola_Black-bellied Plover
Circus approximans_Swamp Harrier
Acrocephalus australis_Australian Reed Warbler
Chrysococcyx minutillus_Little Bronze-Cuckoo
Myiagra cyanoleuca_Satin Flycatcher
Limosa limosa_Black-tailed Godwit
Calidris alba_Sanderling
Mirafra javanica_Australasian Bushlark
Oriolus flavocinctus_Green Oriole
Sphecotheres vieilloti_Australasian Figbird
Calidris subminuta_Long-toed Stint
Poodytes gramineus_Little Grassbird
Dendrocygna arcuata_Wandering Whistling-Duck
Egretta novaehollandiae_White-faced Heron
Tringa incana_Wandering Tattler
Turnix maculosus_Red-backed Buttonquail
Macheiramphus alcinus_Bat Hawk
Pitta sordida_Hooded Pitta
Ducula spilorrhoa_Torresian Imperial-Pigeon
Tringa stagnatilis_Marsh Sandpiper
Centropus phasianinus_Pheasant Coucal
Ninox boobook_Southern Boobook
Passer domesticus_House Sparrow
Hydroprogne caspia_Caspian Tern
Erythrura trichroa_Blue-faced Parrotfinch
Zapornia tabuensis_Spotless Crake
Orthonyx temminckii_Australian Logrunner
Ducula pacifica_Pacific Imperial-Pigeon
Caprimulgus macrurus_Large-tailed Nightjar
Myiagra ruficollis_Broad-billed Flycatcher
Myzomela erythrocephala_Red-headed Myzomela
Spatula querquedula_Garganey
Anhinga melanogaster_Oriental Darter
Tachybaptus ruficollis_Little Grebe
Acrocephalus orientalis_Oriental Reed Warbler
Calidris canutus_Red Knot
Chalcophaps indica_Asian Emerald Dove
Alcedo atthis_Common Kingfisher
Cecropis striolata_Striated Swallow
Cincloramphus macrurus_Papuan Grassbird
Xenus cinereus_Terek Sandpiper
Otus magicus_Moluccan Scops-Owl
Lewinia pectoralis_Lewin's Rail
Pelecanus conspicillatus_Australian Pelican
Carterornis chrysomela_Golden Monarch
Synoicus chinensis_Blue-breasted Quail
Cisticola exilis_Golden-headed Cisticola
Bulweria bulwerii_Bulwer's Petrel
Rhipidura rufifrons_Rufous Fantail
Artamus leucorynchus_White-breasted Woodswallow
Calidris pugnax_Ruff
Columba vitiensis_Metallic Pigeon
Ducula concinna_Elegant Imperial-Pigeon
Gallirallus torquatus_Barred Rail
Stercorarius parasiticus_Parasitic Jaeger
Motacilla cinerea_Gray Wagtail
Fulica atra_Eurasian Coot
Accipiter fasciatus_Brown Goshawk
Ardenna carneipes_Flesh-footed Shearwater
Ixobrychus cinnamomeus_Cinnamon Bittern
Coracina novaehollandiae_Black-faced Cuckooshrike
Pycnonotus aurigaster_Sooty-headed Bulbul
Cincloramphus timoriensis_Tawny Grassbird
Elanus caeruleus_Black-winged Kite
Puffinus bailloni_Tropical Shearwater
Dicaeum hirundinaceum_Mistletoebird
Lanius schach_Long-tailed Shrike
Tyto alba_Barn Owl
Zosterops atricapilla_Black-capped White-eye
Cisticola juncidis_Zitting Cisticola
Plegadis falcinellus_Glossy Ibis
Stercorarius longicaudus_Long-tailed Jaeger
Merops philippinus_Blue-tailed Bee-eater
Butastur indicus_Gray-faced Buzzard
Streptopelia chinensis_Spotted Dove
Aplonis opaca_Micronesian Starling
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Myzomela rubratra_Micronesian Myzomela
Todiramphus macleayii_Forest Kingfisher
Turdus poliocephalus_Island Thrush
Milvus migrans_Black Kite
Ardenna grisea_Sooty Shearwater
Ptilinopus pelewensis_Palau Fruit-Dove
Horornis annae_Palau Bush Warbler
Circus melanoleucos_Pied Harrier
Talegalla fuscirostris_Yellow-legged Brushturkey
Zosterops atrifrons_Black-crowned White-eye
Chroicocephalus ridibundus_Black-headed Gull
Accipiter soloensis_Chinese Sparrowhawk
Lalage leucomela_Varied Triller
Phaethon rubricauda_Red-tailed Tropicbird
Megapodius eremita_Melanesian Scrubfowl
Limnodromus semipalmatus_Asian Dowitcher
Saxicola caprata_Pied Bushchat
Charadrius alexandrinus_Kentish Plover
Lanius cristatus_Brown Shrike
Gallus gallus_Red Junglefowl
Lonchura atricapilla_Chestnut Munia
Onychoprion aleuticus_Aleutian Tern
Lonchura punctulata_Scaly-breasted Munia
Colluricincla rufogaster_Rufous Shrikethrush
Ducula perspicillata_Spectacled Imperial-Pigeon
Calidris melanotos_Pectoral Sandpiper
Geoffroyus heteroclitus_Singing Parrot
Cecropis daurica_Red-rumped Swallow
