Pitangus sulphuratus_Great Kiskadee
Psittacara leucophthalmus_White-eyed Parakeet
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Herpsilochmus atricapillus_Black-capped Antwren
Fluvicola nengeta_Masked Water-Tyrant
Paroaria dominicana_Red-cowled Cardinal
Milvago chimachima_Yellow-headed Caracara
Thripophaga macroura_Striated Softtail
Phacellodomus rufifrons_Rufous-fronted Thornbird
Pteroglossus aracari_Black-necked Aracari
Todirostrum cinereum_Common Tody-Flycatcher
Formicivora iheringi_Narrow-billed Antwren
Rhopornis ardesiacus_Slender Antbird
Arremon franciscanus_Sao Francisco Sparrow
Progne chalybea_Gray-breasted Martin
Zenaida auriculata_Eared Dove
Elaenia cristata_Plain-crested Elaenia
Myiothlypis flaveola_Flavescent Warbler
Gnorimopsar chopi_Chopi Blackbird
Turdus amaurochalinus_Creamy-bellied Thrush
Pheugopedius genibarbis_Moustached Wren
Stigmatura budytoides_Greater Wagtail-Tyrant
Herpsilochmus pileatus_Bahia Antwren
Hylopezus ochroleucus_White-browed Antpitta
Aratinga auricapillus_Golden-capped Parakeet
Amazona rhodocorytha_Red-browed Parrot
Thalurania glaucopis_Violet-capped Woodnymph
Cathartes aura_Turkey Vulture
Cyanocorax cyanopogon_White-naped Jay
Sporophila nigricollis_Yellow-bellied Seedeater
Nystalus maculatus_Spot-backed Puffbird
Chionomesa fimbriata_Glittering-throated Emerald
Setophaga pitiayumi_Tropical Parula
Pyrrhura cruentata_Ochre-marked Parakeet
Glaucis dohrnii_Hook-billed Hermit
Brotogeris tirica_Plain Parakeet
Galbula ruficauda_Rufous-tailed Jacamar
Chiroxiphia pareola_Blue-backed Manakin
Ortalis araucuan_East Brazilian Chachalaca
Augastes lumachella_Hooded Visorbearer
Poecilotriccus fumifrons_Smoky-fronted Tody-Flycatcher
Polioptila plumbea_Tropical Gnatcatcher
Ara ararauna_Blue-and-yellow Macaw
Icterus jamacaii_Campo Troupial
Myiopagis caniceps_Gray Elaenia
Compsothraupis loricata_Scarlet-throated Tanager
Phylloscartes roquettei_Minas Gerais Tyrannulet
Xenops rutilans_Streaked Xenops
Pyriglena atra_Fringe-backed Fire-eye
Euscarthmus rufomarginatus_Rufous-sided Pygmy-Tyrant
Formicivora grantsaui_Sincora Antwren
Picumnus pygmaeus_Spotted Piculet
Sporophila caerulescens_Double-collared Seedeater
Picumnus exilis_Golden-spangled Piculet
Tangara seledon_Green-headed Tanager
Arremon taciturnus_Pectoral Sparrow
Acrobatornis fonsecai_Pink-legged Graveteiro
Megaxenops parnaguae_Great Xenops
Hylocharis sapphirina_Rufous-throated Sapphire
Synallaxis frontalis_Sooty-fronted Spinetail
Scytalopus diamantinensis_Diamantina Tapaculo
Pyrrhura frontalis_Maroon-bellied Parakeet
Saltator maximus_Buff-throated Saltator
Hemitriccus furcatus_Fork-tailed Pygmy-Tyrant
Glaucidium minutissimum_Least Pygmy-Owl
Rhynchotus rufescens_Red-winged Tinamou
Embernagra longicauda_Pale-throated Pampa-Finch
Sporophila albogularis_White-throated Seedeater
Tachyphonus rufus_White-lined Tanager
Touit surdus_Golden-tailed Parrotlet
Sporophila plumbea_Plumbeous Seedeater
Anodorhynchus leari_Indigo Macaw
Attila rufus_Gray-hooded Attila
Cyanocorax chrysops_Plush-crested Jay
Vireo chivi_Chivi Vireo
Diopsittaca nobilis_Red-shouldered Macaw
Herpsilochmus rufimarginatus_Rufous-margined Antwren
Colaptes melanochloros_Green-barred Woodpecker
Drymophila squamata_Scaled Antbird
Ammodramus humeralis_Grassland Sparrow
Synallaxis cinerea_Bahia Spinetail
Todirostrum poliocephalum_Gray-headed Tody-Flycatcher
Chaetura meridionalis_Sick's Swift
Saltatricula atricollis_Black-throated Saltator
Lipaugus lanioides_Cinnamon-vented Piha
Pygochelidon cyanoleuca_Blue-and-white Swallow
Myrmotherula urosticta_Band-tailed Antwren
Basileuterus culicivorus_Golden-crowned Warbler
Cantorchilus longirostris_Long-billed Wren
Crypturellus noctivagus_Yellow-legged Tinamou
Dysithamnus stictothorax_Spot-breasted Antvireo
Procnias nudicollis_Bare-throated Bellbird
Phylloscartes oustaleti_Oustalet's Tyrannulet
Spinus magellanicus_Hooded Siskin
Thamnophilus caerulescens_Variable Antshrike
Sittasomus griseicapillus_Olivaceous Woodcreeper
Cantorchilus leucotis_Buff-breasted Wren
Sakesphorus cristatus_Silvery-cheeked Antshrike
Tachycineta albiventer_White-winged Swallow
Nemosia pileata_Hooded Tanager
Hypoedaleus guttatus_Spot-backed Antshrike
Coryphospingus pileatus_Pileated Finch
Saltator similis_Green-winged Saltator
Cacicus haemorrhous_Red-rumped Cacique
Phaethornis pretrei_Planalto Hermit
Myiobius barbatus_Whiskered Flycatcher
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Myiarchus tyrannulus_Brown-crested Flycatcher
Tinamus solitarius_Solitary Tinamou
Thraupis cyanoptera_Azure-shouldered Tanager
Pyriglena leucoptera_White-shouldered Fire-eye
Hemitriccus nidipendulus_Hangnest Tody-Tyrant
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Myiarchus ferox_Short-crested Flycatcher
Tersina viridis_Swallow Tanager
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Phyllomyias fasciatus_Planalto Tyrannulet
Ramphastos dicolorus_Red-breasted Toucan
Mackenziaena severa_Tufted Antshrike
Philydor atricapillus_Black-capped Foliage-gleaner
Conirostrum speciosum_Chestnut-vented Conebill
Chiroxiphia caudata_Swallow-tailed Manakin
Lathrotriccus euleri_Euler's Flycatcher
Cercomacra brasiliana_Rio de Janeiro Antbird
Myiozetetes cayanensis_Rusty-margined Flycatcher
Conopophaga cearae_Ceara Gnateater
Pionus maximiliani_Scaly-headed Parrot
Dysithamnus plumbeus_Plumbeous Antvireo
Terenura maculata_Streak-capped Antwren
Ramphocelus bresilius_Brazilian Tanager
Euphonia pectoralis_Chestnut-bellied Euphonia
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Jacamaralcyon tridactyla_Three-toed Jacamar
Pionopsitta pileata_Pileated Parrot
Pyrrhura leucotis_Maroon-faced Parakeet
Falco sparverius_American Kestrel
Dryobates passerinus_Little Woodpecker
Gallinago undulata_Giant Snipe
Phaethornis eurynome_Scale-throated Hermit
Euphonia violacea_Violaceous Euphonia
Anodorhynchus hyacinthinus_Hyacinth Macaw
Selenidera maculirostris_Spot-billed Toucanet
Neothraupis fasciata_White-banded Tanager
Myrmotherula minor_Salvadori's Antwren
Melanerpes flavifrons_Yellow-fronted Woodpecker
Xiphorhynchus fuscus_Lesser Woodcreeper
Crypturellus parvirostris_Small-billed Tinamou
Formicivora grisea_White-fringed Antwren
Thalurania furcata_Fork-tailed Woodnymph
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Pulsatrix perspicillata_Spectacled Owl
Cranioleuca semicinerea_Gray-headed Spinetail
Anabazenops fuscus_White-collared Foliage-gleaner
Picumnus albosquamatus_White-wedged Piculet
Corythopis delalandi_Southern Antpipit
Pteroglossus bailloni_Saffron Toucanet
Campylorhamphus falcularius_Black-billed Scythebill
Trogon surrucura_Surucua Trogon
Eleoscytalopus indigoticus_White-breasted Tapaculo
Carpornis melanocephala_Black-headed Berryeater
Cranioleuca pallida_Pallid Spinetail
Schistochlamys ruficapillus_Cinnamon Tanager
Leistes superciliaris_White-browed Meadowlark
Thraupis ornata_Golden-chevroned Tanager
Colaptes campestris_Campo Flicker
Trogon viridis_Green-backed Trogon
Rhopias gularis_Star-throated Antwren
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Schiffornis virescens_Greenish Schiffornis
Caryothraustes canadensis_Yellow-green Grosbeak
Hemithraupis ruficapilla_Rufous-headed Tanager
Drymophila ferruginea_Ferruginous Antbird
Nyctibius leucopterus_White-winged Potoo
Chrysuronia versicolor_Versicolored Emerald
Dendrocygna viduata_White-faced Whistling-Duck
Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner
Tyrannus albogularis_White-throated Kingbird
Automolus leucophthalmus_White-eyed Foliage-gleaner
Nyctidromus albicollis_Common Pauraque
Ceratopipra rubrocapilla_Red-headed Manakin
Hemitriccus diops_Drab-breasted Pygmy-Tyrant
Campylorhynchus turdinus_Thrush-like Wren
Phaethornis ruber_Reddish Hermit
Hydropsalis torquata_Scissor-tailed Nightjar
Dendrocincla turdina_Plain-winged Woodcreeper
Conopophaga lineata_Rufous Gnateater
Formicarius colma_Rufous-capped Antthrush
Antilophia galeata_Helmeted Manakin
Thamnophilus torquatus_Rufous-winged Antshrike
Synallaxis spixi_Spix's Spinetail
Phyllomyias griseocapilla_Gray-capped Tyrannulet
Phaeomyias murina_Mouse-colored Tyrannulet
Myiothlypis rivularis_Riverbank Warbler
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Empidonomus varius_Variegated Flycatcher
Megascops atricapilla_Black-capped Screech-Owl
Chlorestes cyanus_White-chinned Sapphire
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Legatus leucophaius_Piratic Flycatcher
Colibri serrirostris_White-vented Violetear
Suiriri suiriri_Suiriri Flycatcher
Anthracothorax nigricollis_Black-throated Mango
Myiophobus fasciatus_Bran-colored Flycatcher
Drymophila ochropyga_Ochre-rumped Antbird
Culicivora caudacuta_Sharp-tailed Tyrant
Crypturellus obsoletus_Brown Tinamou
Xiphocolaptes albicollis_White-throated Woodcreeper
Polioptila dumicola_Masked Gnatcatcher
Lipaugus vociferans_Screaming Piha
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Crypturellus tataupa_Tataupa Tinamou
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Pulsatrix koeniswaldiana_Tawny-browed Owl
Melanopareia torquata_Collared Crescentchest
Icterus pyrrhopterus_Variable Oriole
Pyrocephalus rubinus_Vermilion Flycatcher
Chlorophonia cyanocephala_Golden-rumped Euphonia
Sicalis citrina_Stripe-tailed Yellow-Finch
Ilicura militaris_Pin-tailed Manakin
Tangara cyanocephala_Red-necked Tanager
Sicalis luteola_Grassland Yellow-Finch
Chamaeza meruloides_Such's Antthrush
Sirystes sibilator_Sibilant Sirystes
Chelidoptera tenebrosa_Swallow-winged Puffbird
Conopias trivirgatus_Three-striped Flycatcher
Dryocopus lineatus_Lineated Woodpecker
Haplospiza unicolor_Uniform Finch
Clytolaema rubricauda_Brazilian Ruby
Myiornis auricularis_Eared Pygmy-Tyrant
Campephilus melanoleucos_Crimson-crested Woodpecker
Theristicus caudatus_Buff-necked Ibis
Iodopleura pipra_Buff-throated Purpletuft
Claravis pretiosa_Blue Ground Dove
Sporophila frontalis_Buffy-fronted Seedeater
Pachyramphus viridis_Green-backed Becard
Campephilus robustus_Robust Woodpecker
Myrmoderus loricatus_White-bibbed Antbird
Cnemotriccus fuscatus_Fuscous Flycatcher
Herpetotheres cachinnans_Laughing Falcon
Agelasticus cyanopus_Unicolored Blackbird
Megascops choliba_Tropical Screech-Owl
Muscipipra vetula_Shear-tailed Gray Tyrant
Loriotus cristatus_Flame-crested Tanager
Crypturellus undulatus_Undulated Tinamou
Contopus cinereus_Tropical Pewee
Piculus flavigula_Yellow-throated Woodpecker
Thamnophilus palliatus_Chestnut-backed Antshrike
Amazona aestiva_Turquoise-fronted Parrot
Synallaxis hellmayri_Red-shouldered Spinetail
Tangara cyanoventris_Gilt-edged Tanager
Ramphocelus carbo_Silver-beaked Tanager
Thectocercus acuticaudatus_Blue-crowned Parakeet
Pyroderus scutatus_Red-ruffed Fruitcrow
Sporophila bouvreuil_Copper Seedeater
Oxyruncus cristatus_Sharpbill
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Chionomesa lactea_Sapphire-spangled Emerald
Capsiempis flaveola_Yellow Tyrannulet
Grallaria varia_Variegated Antpitta
Picumnus cirratus_White-barred Piculet
Trogon curucui_Blue-crowned Trogon
Melanerpes candidus_White Woodpecker
Buteo nitidus_Gray-lined Hawk
Streptoprocne biscutata_Biscutate Swift
Hylophilus amaurocephalus_Gray-eyed Greenlet
Taraba major_Great Antshrike
Thlypopsis sordida_Orange-headed Tanager
Mimus gilvus_Tropical Mockingbird
Ciccaba huhula_Black-banded Owl
Phacellodomus erythrophthalmus_Orange-eyed Thornbird
Polystictus superciliaris_Gray-backed Tachuri
Tityra cayana_Black-tailed Tityra
Phacellodomus ruber_Greater Thornbird
Conopophaga melanops_Black-cheeked Gnateater
Cyanoloxia brissonii_Ultramarine Grosbeak
Ramphastos toco_Toco Toucan
Sporophila falcirostris_Temminck's Seedeater
Nonnula rubecula_Rusty-breasted Nunlet
Dendrocolaptes platyrostris_Planalto Woodcreeper
Chlorestes notata_Blue-chinned Sapphire
Patagioenas speciosa_Scaled Pigeon
Antrostomus rufus_Rufous Nightjar
Amazona amazonica_Orange-winged Parrot
Ramphastos vitellinus_Channel-billed Toucan
Mionectes rufiventris_Gray-hooded Flycatcher
Progne tapera_Brown-chested Martin
Thamnomanes caesius_Cinereous Antshrike
Geranospiza caerulescens_Crane Hawk
Micrastur semitorquatus_Collared Forest-Falcon
Falco femoralis_Aplomado Falcon
Elaenia mesoleuca_Olivaceous Elaenia
Conirostrum bicolor_Bicolored Conebill
Chlorophonia cyanea_Blue-naped Chlorophonia
Elanus leucurus_White-tailed Kite
Syrigma sibilatrix_Whistling Heron
Rostrhamus sociabilis_Snail Kite
Micrastur ruficollis_Barred Forest-Falcon
Leptodon cayanensis_Gray-headed Kite
Gampsonyx swainsonii_Pearl Kite
Parabuteo unicinctus_Harris's Hawk
Synallaxis albescens_Pale-breasted Spinetail
Thamnophilus doliatus_Barred Antshrike
Aramides ypecaha_Giant Wood-Rail
Habia rubica_Red-crowned Ant-Tanager
Phimosus infuscatus_Bare-faced Ibis
Notharchus swainsoni_Buff-bellied Puffbird
Phyllomyias burmeisteri_Rough-legged Tyrannulet
Hirundinea ferruginea_Cliff Flycatcher
Sclerurus scansor_Rufous-breasted Leaftosser
Dromococcyx phasianellus_Pheasant Cuckoo
Elaenia sordida_Small-headed Elaenia
Odontophorus capueira_Spot-winged Wood-Quail
Spheniscus magellanicus_Magellanic Penguin
Phaethornis malaris_Great-billed Hermit
Furnarius leucopus_Pale-legged Hornero
Buteo brachyurus_Short-tailed Hawk
Cissopis leverianus_Magpie Tanager
Hemithraupis flavicollis_Yellow-backed Tanager
Ara chloropterus_Red-and-green Macaw
Mustelirallus albicollis_Ash-throated Crake
Rhytipterna simplex_Grayish Mourner
Synallaxis scutata_Ochre-cheeked Spinetail
Myiopagis viridicata_Greenish Elaenia
Schoeniophylax phryganophilus_Chotoy Spinetail
Nyctibius griseus_Common Potoo
Dromococcyx pavoninus_Pavonine Cuckoo
Stilpnia peruviana_Black-backed Tanager
Chloroceryle amazona_Amazon Kingfisher
Myiodynastes maculatus_Streaked Flycatcher
Celeus ochraceus_Ochre-backed Woodpecker
Tyrannus savana_Fork-tailed Flycatcher
Asio stygius_Stygian Owl
Pachyramphus polychopterus_White-winged Becard
Ciccaba virgata_Mottled Owl
Tityra inquisitor_Black-crowned Tityra
Falco rufigularis_Bat Falcon
Chondrohierax uncinatus_Hook-billed Kite
Saltator fuliginosus_Black-throated Grosbeak
Saltator coerulescens_Blue-gray Saltator
Anthus lutescens_Yellowish Pipit
Aramides cajaneus_Gray-cowled Wood-Rail
Asemospiza fuliginosa_Sooty Grassquit
Chrysomus ruficapillus_Chestnut-capped Blackbird
Tigrisoma lineatum_Rufescent Tiger-Heron
Gallinula galeata_Common Gallinule
Anhima cornuta_Horned Screamer
Athene cunicularia_Burrowing Owl
Porphyriops melanops_Spot-flanked Gallinule
Herpsilochmus sellowi_Caatinga Antwren
Colonia colonus_Long-tailed Tyrant
Turdus albicollis_White-necked Thrush
Cichlopsis leucogenys_Rufous-brown Solitaire
Sclerurus caudacutus_Black-tailed Leaftosser
Baryphthengus ruficapillus_Rufous-capped Motmot
Manacus manacus_White-bearded Manakin
Patagioenas cayennensis_Pale-vented Pigeon
Campylorhamphus trochilirostris_Red-billed Scythebill
Laterallus melanophaius_Rufous-sided Crake
Pachyramphus validus_Crested Becard
Cichlocolaptes leucophrus_Pale-browed Treehunter
Dryobates affinis_Red-stained Woodpecker
Cranioleuca vulpina_Rusty-backed Spinetail
Machetornis rixosa_Cattle Tyrant
Pachyramphus marginatus_Black-capped Becard
Nothura maculosa_Spotted Nothura
Serpophaga subcristata_White-crested Tyrannulet
Coccyzus melacoryphus_Dark-billed Cuckoo
Porphyrio martinica_Purple Gallinule
Jacana jacana_Wattled Jacana
Tachybaptus dominicus_Least Grebe
Emberizoides herbicola_Wedge-tailed Grass-Finch
Furnarius figulus_Wing-banded Hornero
Piprites chloris_Wing-barred Piprites
Charadrius collaris_Collared Plover
Buteo albonotatus_Zone-tailed Hawk
Elaenia spectabilis_Large Elaenia
Trichothraupis melanops_Black-goggled Tanager
Hemitriccus striaticollis_Stripe-necked Tody-Tyrant
Eupetomena cirrochloris_Sombre Hummingbird
Euphonia xanthogaster_Orange-bellied Euphonia
Dendroplex picus_Straight-billed Woodcreeper
Ramphotrigon megacephalum_Large-headed Flatbill
Lochmias nematura_Sharp-tailed Streamcreeper
Elaenia albiceps_White-crested Elaenia
Cacicus cela_Yellow-rumped Cacique
Heliothryx auritus_Black-eared Fairy
Touit melanonotus_Brown-backed Parrotlet
Micrastur mintoni_Cryptic Forest-Falcon
Donacobius atricapilla_Black-capped Donacobius
Systellura longirostris_Band-winged Nightjar
Arundinicola leucocephala_White-headed Marsh Tyrant
Myiobius atricaudus_Black-tailed Flycatcher
Cariama cristata_Red-legged Seriema
Primolius maracana_Blue-winged Macaw
Synallaxis hypospodia_Cinereous-breasted Spinetail
Cyanerpes cyaneus_Red-legged Honeycreeper
Schiffornis turdina_Brown-winged Schiffornis
Nystalus chacuru_White-eared Puffbird
Myrmotherula axillaris_White-flanked Antwren
Aramus guarauna_Limpkin
Elanoides forficatus_Swallow-tailed Kite
Sporophila lineola_Lined Seedeater
Turdus flavipes_Yellow-legged Thrush
Patagioenas plumbea_Plumbeous Pigeon
Molothrus oryzivorus_Giant Cowbird
Penelope superciliaris_Rusty-margined Guan
Chaetura cinereiventris_Gray-rumped Swift
Aratinga jandaya_Jandaya Parakeet
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Glaucis hirsutus_Rufous-breasted Hermit
Lepidocolaptes squamatus_Scaled Woodcreeper
Schistochlamys melanopis_Black-faced Tanager
Ardea alba_Great Egret
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Actitis macularius_Spotted Sandpiper
Charitospiza eucosma_Coal-crested Finch
Machaeropterus regulus_Kinglet Manakin
Formicivora rufa_Rusty-backed Antwren
Trogon rufus_Black-throated Trogon
Sterna hirundinacea_South American Tern
Chloroceryle americana_Green Kingfisher
Gallinago paraguaiae_Paraguayan Snipe
Xenops minutus_Plain Xenops
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Tapera naevia_Striped Cuckoo
Nyctiphrynus ocellatus_Ocellated Poorwill
Nengetus cinereus_Gray Monjita
Geotrygon montana_Ruddy Quail-Dove
Podilymbus podiceps_Pied-billed Grebe
Tangara mexicana_Turquoise Tanager
Polytmus guainumbi_White-tailed Goldenthroat
Myiopagis gaimardii_Forest Elaenia
Sublegatus modestus_Southern Scrub-Flycatcher
Sporophila angolensis_Chestnut-bellied Seed-Finch
Sporophila leucoptera_White-bellied Seedeater
Pitangus lictor_Lesser Kiskadee
Psarocolius decumanus_Crested Oropendola
Chordeiles acutipennis_Lesser Nighthawk
Spizaetus ornatus_Ornate Hawk-Eagle
Cairina moschata_Muscovy Duck
Leptotila rufaxilla_Gray-fronted Dove
Amaurolimnas concolor_Uniform Crake
Dendroma rufa_Buff-fronted Foliage-gleaner
Geranoaetus albicaudatus_White-tailed Hawk
Xenopsaris albinucha_White-naped Xenopsaris
Egretta caerulea_Little Blue Heron
Laterallus exilis_Gray-breasted Crake
Buteogallus urubitinga_Great Black Hawk
Tachycineta leucorrhoa_White-rumped Swallow
Spizaetus melanoleucus_Black-and-white Hawk-Eagle
Pandion haliaetus_Osprey
Setopagis parvula_Little Nightjar
Geothlypis aequinoctialis_Masked Yellowthroat
Celeus torquatus_Ringed Woodpecker
Coccyzus euleri_Pearly-breasted Cuckoo
Tangara velia_Opal-rumped Tanager
Ictinia plumbea_Plumbeous Kite
Florisuga fusca_Black Jacobin
Streptoprocne zonaris_White-collared Swift
Megaceryle torquata_Ringed Kingfisher
Fluvicola albiventer_Black-backed Water-Tyrant
Chordeiles nacunda_Nacunda Nighthawk
Columbina minuta_Plain-breasted Ground Dove
Malacoptila striata_Crescent-chested Puffbird
Amazonetta brasiliensis_Brazilian Teal
Myiarchus swainsoni_Swainson's Flycatcher
Amaurospiza moesta_Blackish-blue Seedeater
Crypturellus soui_Little Tinamou
Harpia harpyja_Harpy Eagle
Vanellus cayanus_Pied Lapwing
Columbina passerina_Common Ground Dove
Ardea cocoi_Cocoi Heron
Spizaetus tyrannus_Black Hawk-Eagle
Chordeiles minor_Common Nighthawk
Myiarchus tuberculifer_Dusky-capped Flycatcher
Ornithion inerme_White-lored Tyrannulet
Harpagus diodon_Rufous-thighed Kite
Ramphocaenus melanurus_Long-billed Gnatwren
Herpsilochmus pectoralis_Pectoral Antwren
Pachyramphus castaneus_Chestnut-crowned Becard
Tringa solitaria_Solitary Sandpiper
Pardirallus nigricans_Blackish Rail
Accipiter superciliosus_Tiny Hawk
Estrilda astrild_Common Waxbill
Piculus chrysochloros_Golden-green Woodpecker
Tolmomyias poliocephalus_Gray-crowned Flycatcher
Attila spadiceus_Bright-rumped Attila
Rhopospina caerulescens_Blue Finch
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Sternula superciliaris_Yellow-billed Tern
Pipraeidea melanonota_Fawn-breasted Tanager
Celeus flavus_Cream-colored Woodpecker
Elaenia chiriquensis_Lesser Elaenia
Cypsnagra hirundinacea_White-rumped Tanager
Crypturellus variegatus_Variegated Tinamou
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Tachornis squamata_Fork-tailed Palm-Swift
Eucometis penicillata_Gray-headed Tanager
Crotophaga major_Greater Ani
Nyctibius grandis_Great Potoo
Mesembrinibis cayennensis_Green Ibis
Petrochelidon pyrrhonota_Cliff Swallow
Tringa melanoleuca_Greater Yellowlegs
Piranga flava_Hepatic Tanager
Anhinga anhinga_Anhinga
Chordeiles pusillus_Least Nighthawk
Asio clamator_Striped Owl
Egretta thula_Snowy Egret
Atticora tibialis_White-thighed Swallow
Colibri delphinae_Brown Violetear
Nannopterum brasilianum_Neotropic Cormorant
Stigmatura napensis_Lesser Wagtail-Tyrant
Cacicus solitarius_Solitary Black Cacique
Chlorophanes spiza_Green Honeycreeper
Chamaeza campanisona_Short-tailed Antthrush
Dysithamnus mentalis_Plain Antvireo
Tringa flavipes_Lesser Yellowlegs
Pionus menstruus_Blue-headed Parrot
Coccyzus americanus_Yellow-billed Cuckoo
Mycteria americana_Wood Stork
Butorides striata_Striated Heron
Platyrinchus mystaceus_White-throated Spadebill
Larus dominicanus_Kelp Gull
Turdus leucops_Pale-eyed Thrush
Amazona farinosa_Mealy Parrot
Turdus fumigatus_Cocoa Thrush
Harpagus bidentatus_Double-toothed Kite
Phaethon aethereus_Red-billed Tropicbird
Accipiter striatus_Sharp-shinned Hawk
Riparia riparia_Bank Swallow
Buteogallus meridionalis_Savanna Hawk
Rhea americana_Greater Rhea
Tyto alba_Barn Owl
Rallus longirostris_Mangrove Rail
Falco peregrinus_Peregrine Falcon
Nycticorax nycticorax_Black-crowned Night-Heron
Phaetusa simplex_Large-billed Tern
Sporophila collaris_Rusty-collared Seedeater
Calonectris diomedea_Cory's Shearwater
Tringa semipalmata_Willet
Chaetura spinicaudus_Band-rumped Swift
Monasa morphoeus_White-fronted Nunbird
Ixobrychus exilis_Least Bittern
Accipiter bicolor_Bicolored Hawk
Mionectes oleagineus_Ochre-bellied Flycatcher
Himantopus mexicanus_Black-necked Stilt
Thalasseus maximus_Royal Tern
Charadrius wilsonia_Wilson's Plover
Charadrius semipalmatus_Semipalmated Plover
Puffinus puffinus_Manx Shearwater
Calidris pusilla_Semipalmated Sandpiper
Nyctanassa violacea_Yellow-crowned Night-Heron
Rynchops niger_Black Skimmer
Hirundo rustica_Barn Swallow
Calidris melanotos_Pectoral Sandpiper
Pseudopipra pipra_White-crowned Manakin
Rhynchocyclus olivaceus_Olivaceous Flatbill
Anurolimnas viridis_Russet-crowned Crake
Bubulcus ibis_Cattle Egret
Heliomaster longirostris_Long-billed Starthroat
Pluvialis squatarola_Black-bellied Plover
Bubo virginianus_Great Horned Owl
Porphyrio flavirostris_Azure Gallinule
Numenius phaeopus_Whimbrel
Calidris canutus_Red Knot
Buteo swainsoni_Swainson's Hawk
Calidris minutilla_Least Sandpiper
Sterna hirundo_Common Tern
Gelochelidon nilotica_Gull-billed Tern
Arenaria interpres_Ruddy Turnstone
Pardirallus maculatus_Spotted Rail
Calidris alba_Sanderling
Progne subis_Purple Martin
Thalasseus sandvicensis_Sandwich Tern
Fregata magnificens_Magnificent Frigatebird
Calidris fuscicollis_White-rumped Sandpiper
Pluvialis dominica_American Golden-Plover
Bartramia longicauda_Upland Sandpiper
Molothrus rufoaxillaris_Screaming Cowbird
Pipra fasciicauda_Band-tailed Manakin
Platalea ajaja_Roseate Spoonbill
Orthopsittaca manilatus_Red-bellied Macaw
Dendrocygna bicolor_Fulvous Whistling-Duck
Herpsilochmus longirostris_Large-billed Antwren
Tyrannopsis sulphurea_Sulphury Flycatcher
Celeus flavescens_Blond-crested Woodpecker
Busarellus nigricollis_Black-collared Hawk
