Pitangus sulphuratus_Great Kiskadee
Formicivora rufa_Rusty-backed Antwren
Nothura maculosa_Spotted Nothura
Falco sparverius_American Kestrel
Charadrius semipalmatus_Semipalmated Plover
Hydropsalis torquata_Scissor-tailed Nightjar
Myiodynastes maculatus_Streaked Flycatcher
Thlypopsis sordida_Orange-headed Tanager
Laterallus melanophaius_Rufous-sided Crake
Elaenia cristata_Plain-crested Elaenia
Nemosia pileata_Hooded Tanager
Cyanoloxia brissonii_Ultramarine Grosbeak
Pachyramphus viridis_Green-backed Becard
Calidris pusilla_Semipalmated Sandpiper
Phaethornis ruber_Reddish Hermit
Buteogallus meridionalis_Savanna Hawk
Egretta caerulea_Little Blue Heron
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Ardea cocoi_Cocoi Heron
Antrostomus rufus_Rufous Nightjar
Numenius phaeopus_Whimbrel
Geranospiza caerulescens_Crane Hawk
Sporophila nigricollis_Yellow-bellied Seedeater
Cariama cristata_Red-legged Seriema
Glaucis hirsutus_Rufous-breasted Hermit
Buteo brachyurus_Short-tailed Hawk
Stigmatura budytoides_Greater Wagtail-Tyrant
Nyctibius griseus_Common Potoo
Cnemotriccus fuscatus_Fuscous Flycatcher
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Conopophaga melanops_Black-cheeked Gnateater
Tringa melanoleuca_Greater Yellowlegs
Columbina passerina_Common Ground Dove
Campylorhamphus trochilirostris_Red-billed Scythebill
Falco femoralis_Aplomado Falcon
Himantopus mexicanus_Black-necked Stilt
Buteogallus urubitinga_Great Black Hawk
Leptotila rufaxilla_Gray-fronted Dove
Sporophila lineola_Lined Seedeater
Synallaxis albescens_Pale-breasted Spinetail
Conirostrum speciosum_Chestnut-vented Conebill
Arenaria interpres_Ruddy Turnstone
Gallinago paraguaiae_Paraguayan Snipe
Setopagis parvula_Little Nightjar
Athene cunicularia_Burrowing Owl
Loriotus cristatus_Flame-crested Tanager
Tyto alba_Barn Owl
Gampsonyx swainsonii_Pearl Kite
Chondrohierax uncinatus_Hook-billed Kite
Elanus leucurus_White-tailed Kite
Hirundinea ferruginea_Cliff Flycatcher
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Actitis macularius_Spotted Sandpiper
Sterna hirundo_Common Tern
Momotus momota_Amazonian Motmot
Tyrannus savana_Fork-tailed Flycatcher
Parabuteo unicinctus_Harris's Hawk
Tringa flavipes_Lesser Yellowlegs
Cacicus solitarius_Solitary Black Cacique
Dysithamnus mentalis_Plain Antvireo
Platyrinchus mystaceus_White-throated Spadebill
Petrochelidon pyrrhonota_Cliff Swallow
Campephilus melanoleucos_Crimson-crested Woodpecker
Dryocopus lineatus_Lineated Woodpecker
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Calidris alba_Sanderling
Sublegatus modestus_Southern Scrub-Flycatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Tringa solitaria_Solitary Sandpiper
Thamnophilus caerulescens_Variable Antshrike
Gnorimopsar chopi_Chopi Blackbird
Schistochlamys ruficapillus_Cinnamon Tanager
Crotophaga major_Greater Ani
Coccyzus melacoryphus_Dark-billed Cuckoo
Myiopagis viridicata_Greenish Elaenia
Saltator maximus_Buff-throated Saltator
Chroicocephalus cirrocephalus_Gray-hooded Gull
Claravis pretiosa_Blue Ground Dove
Buteo albonotatus_Zone-tailed Hawk
Mustelirallus albicollis_Ash-throated Crake
Penelope superciliaris_Rusty-margined Guan
Donacobius atricapilla_Black-capped Donacobius
Chordeiles pusillus_Least Nighthawk
Piculus chrysochloros_Golden-green Woodpecker
Falco peregrinus_Peregrine Falcon
Systellura longirostris_Band-winged Nightjar
Thalasseus sandvicensis_Sandwich Tern
Pluvialis squatarola_Black-bellied Plover
Hemithraupis guira_Guira Tanager
Amazona aestiva_Turquoise-fronted Parrot
Cairina moschata_Muscovy Duck
Geranoaetus albicaudatus_White-tailed Hawk
Diopsittaca nobilis_Red-shouldered Macaw
Manacus manacus_White-bearded Manakin
Phyllomyias fasciatus_Planalto Tyrannulet
Tangara cyanocephala_Red-necked Tanager
Calidris canutus_Red Knot
Xenops minutus_Plain Xenops
Laterallus exilis_Gray-breasted Crake
Eupsittula aurea_Peach-fronted Parakeet
Emberizoides herbicola_Wedge-tailed Grass-Finch
Capsiempis flaveola_Yellow Tyrannulet
Ramphocaenus melanurus_Long-billed Gnatwren
Xenopsaris albinucha_White-naped Xenopsaris
Asio clamator_Striped Owl
Myrmotherula axillaris_White-flanked Antwren
Ornithion inerme_White-lored Tyrannulet
Myiarchus swainsoni_Swainson's Flycatcher
Elaenia albiceps_White-crested Elaenia
Anhinga anhinga_Anhinga
Rhynchotus rufescens_Red-winged Tinamou
Hemitriccus griseipectus_White-bellied Tody-Tyrant
Tringa semipalmata_Willet
Hirundo rustica_Barn Swallow
Cranioleuca semicinerea_Gray-headed Spinetail
Patagioenas cayennensis_Pale-vented Pigeon
Sternula superciliaris_Yellow-billed Tern
Cyanerpes cyaneus_Red-legged Honeycreeper
Lathrotriccus euleri_Euler's Flycatcher
Colaptes campestris_Campo Flicker
Legatus leucophaius_Piratic Flycatcher
Touit surdus_Golden-tailed Parrotlet
Pulsatrix perspicillata_Spectacled Owl
Porphyriops melanops_Spot-flanked Gallinule
Mycteria americana_Wood Stork
Rynchops niger_Black Skimmer
Sporophila leucoptera_White-bellied Seedeater
Phaetusa simplex_Large-billed Tern
Coccyzus americanus_Yellow-billed Cuckoo
Limnodromus griseus_Short-billed Dowitcher
Hemitriccus striaticollis_Stripe-necked Tody-Tyrant
Calidris minutilla_Least Sandpiper
Pandion haliaetus_Osprey
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Rallus longirostris_Mangrove Rail
Accipiter striatus_Sharp-shinned Hawk
Chaetura meridionalis_Sick's Swift
Charadrius wilsonia_Wilson's Plover
Myiopagis caniceps_Gray Elaenia
Tersina viridis_Swallow Tanager
Piranga flava_Hepatic Tanager
Ixobrychus exilis_Least Bittern
Streptoprocne biscutata_Biscutate Swift
Anurolimnas viridis_Russet-crowned Crake
Mustelirallus erythrops_Paint-billed Crake
Coccyzus euleri_Pearly-breasted Cuckoo
Picumnus exilis_Golden-spangled Piculet
Xenops rutilans_Streaked Xenops
Cacicus cela_Yellow-rumped Cacique
Cercomacroides laeta_Willis's Antbird
Dendrocygna bicolor_Fulvous Whistling-Duck
Schistochlamys melanopis_Black-faced Tanager
Thamnophilus palliatus_Chestnut-backed Antshrike
Chrysuronia versicolor_Versicolored Emerald
Myiobius barbatus_Whiskered Flycatcher
Haematopus palliatus_American Oystercatcher
Vanellus cayanus_Pied Lapwing
Herpsilochmus frater_Rusty-winged Antwren
Calidris melanotos_Pectoral Sandpiper
Primolius maracana_Blue-winged Macaw
Molothrus rufoaxillaris_Screaming Cowbird
Spizaetus tyrannus_Black Hawk-Eagle
Micrastur semitorquatus_Collared Forest-Falcon
Zimmerius acer_Guianan Tyrannulet
Calidris fuscicollis_White-rumped Sandpiper
Amazona amazonica_Orange-winged Parrot
Synallaxis infuscata_Pinto's Spinetail
Pardirallus maculatus_Spotted Rail
Pluvialis dominica_American Golden-Plover
Ceratopipra rubrocapilla_Red-headed Manakin
Pardirallus nigricans_Blackish Rail
Florisuga fusca_Black Jacobin
Accipiter bicolor_Bicolored Hawk
Elaenia chiriquensis_Lesser Elaenia
Puffinus puffinus_Manx Shearwater
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Attila spadiceus_Bright-rumped Attila
Chordeiles nacunda_Nacunda Nighthawk
Calonectris diomedea_Cory's Shearwater
Ictinia plumbea_Plumbeous Kite
Sula sula_Red-footed Booby
Gelochelidon nilotica_Gull-billed Tern
Asemospiza fuliginosa_Sooty Grassquit
Nengetus cinereus_Gray Monjita
Chlorestes cyanus_White-chinned Sapphire
Patagioenas speciosa_Scaled Pigeon
Geotrygon montana_Ruddy Quail-Dove
Odontophorus capueira_Spot-winged Wood-Quail
Pygochelidon cyanoleuca_Blue-and-white Swallow
Herpsilochmus pectoralis_Pectoral Antwren
Pyriglena leuconota_East Amazonian Fire-eye
Hylopezus ochroleucus_White-browed Antpitta
Hapalocrex flaviventer_Yellow-breasted Crake
Micrastur ruficollis_Barred Forest-Falcon
Onychoprion fuscatus_Sooty Tern
Rhea americana_Greater Rhea
Dendrocolaptes platyrostris_Planalto Woodcreeper
Turdus flavipes_Yellow-legged Thrush
Columba livia_Rock Pigeon
Cypsnagra hirundinacea_White-rumped Tanager
Sporophila angolensis_Chestnut-bellied Seed-Finch
Larus dominicanus_Kelp Gull
Contopus cinereus_Tropical Pewee
Amaurolimnas concolor_Uniform Crake
Tachycineta leucorrhoa_White-rumped Swallow
Charitospiza eucosma_Coal-crested Finch
Rhopospina caerulescens_Blue Finch
Dendrocincla turdina_Plain-winged Woodcreeper
Ciccaba virgata_Mottled Owl
Myrmoderus ruficauda_Scalloped Antbird
Harpagus diodon_Rufous-thighed Kite
Pteroglossus aracari_Black-necked Aracari
Phylloscartes ceciliae_Alagoas Tyrannulet
Leucophaeus atricilla_Laughing Gull
Anous minutus_Black Noddy
Chamaeza campanisona_Short-tailed Antthrush
Dryobates affinis_Red-stained Woodpecker
Hylocharis sapphirina_Rufous-throated Sapphire
Calidris himantopus_Stilt Sandpiper
Sclerurus scansor_Rufous-breasted Leaftosser
Lipaugus vociferans_Screaming Piha
Terenura sicki_Orange-bellied Antwren
Leptodon cayanensis_Gray-headed Kite
Porphyrio flavirostris_Azure Gallinule
Heliothryx auritus_Black-eared Fairy
Chordeiles minor_Common Nighthawk
Crypturellus soui_Little Tinamou
Tangara velia_Opal-rumped Tanager
Brotogeris tirica_Plain Parakeet
Brotogeris chiriri_Yellow-chevroned Parakeet
Sterna dougallii_Roseate Tern
Pionus menstruus_Blue-headed Parrot
Thalasseus maximus_Royal Tern
Chordeiles acutipennis_Lesser Nighthawk
Eupetomena cirrochloris_Sombre Hummingbird
Falco rufigularis_Bat Falcon
Picumnus pygmaeus_Spotted Piculet
Elanoides forficatus_Swallow-tailed Kite
Molothrus oryzivorus_Giant Cowbird
Hydrobates leucorhous_Leach's Storm-Petrel
Thalurania furcata_Fork-tailed Woodnymph
Mionectes oleagineus_Ochre-bellied Flycatcher
Phaethon aethereus_Red-billed Tropicbird
Crypturellus noctivagus_Yellow-legged Tinamou
Saltator fuliginosus_Black-throated Grosbeak
Sternula antillarum_Least Tern
Saltator similis_Green-winged Saltator
Stercorarius parasiticus_Parasitic Jaeger
Myiobius atricaudus_Black-tailed Flycatcher
Pteroglossus inscriptus_Lettered Aracari
Rhytipterna simplex_Grayish Mourner
Ramphocelus carbo_Silver-beaked Tanager
Theristicus caudatus_Buff-necked Ibis
Eucometis penicillata_Gray-headed Tanager
Myiornis auricularis_Eared Pygmy-Tyrant
Pipraeidea melanonota_Fawn-breasted Tanager
Synallaxis hypospodia_Cinereous-breasted Spinetail
Riparia riparia_Bank Swallow
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Gygis alba_White Tern
Limosa lapponica_Bar-tailed Godwit
Ixobrychus involucris_Stripe-backed Bittern
Sterna paradisaea_Arctic Tern
Psarocolius decumanus_Crested Oropendola
Thamnophilus aethiops_White-shouldered Antshrike
Caryothraustes canadensis_Yellow-green Grosbeak
Tityra cayana_Black-tailed Tityra
Cranioleuca vulpina_Rusty-backed Spinetail
Megaxenops parnaguae_Great Xenops
Turdus albicollis_White-necked Thrush
Platalea ajaja_Roseate Spoonbill
Furnarius rufus_Rufous Hornero
Trogon rufus_Black-throated Trogon
Neothraupis fasciata_White-banded Tanager
Saltatricula atricollis_Black-throated Saltator
Chlorophanes spiza_Green Honeycreeper
Geothlypis aequinoctialis_Masked Yellowthroat
Tyrannus albogularis_White-throated Kingbird
Myiozetetes cayanensis_Rusty-margined Flycatcher
Phimosus infuscatus_Bare-faced Ibis
Piculus flavigula_Yellow-throated Woodpecker
Stercorarius pomarinus_Pomarine Jaeger
Ramphastos vitellinus_Channel-billed Toucan
Schiffornis turdina_Brown-winged Schiffornis
Thectocercus acuticaudatus_Blue-crowned Parakeet
Chlidonias niger_Black Tern
Pipra fasciicauda_Band-tailed Manakin
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Pyrocephalus rubinus_Vermilion Flycatcher
Hemithraupis flavicollis_Yellow-backed Tanager
Streptoprocne zonaris_White-collared Swift
Schoeniophylax phryganophilus_Chotoy Spinetail
Sicalis citrina_Stripe-tailed Yellow-Finch
Carpornis melanocephala_Black-headed Berryeater
Tityra inquisitor_Black-crowned Tityra
Lepidocolaptes squamatus_Scaled Woodcreeper
Ramphastos toco_Toco Toucan
Pitangus lictor_Lesser Kiskadee
