Pycnonotus barbatus_Common Bulbul
Aquila nipalensis_Steppe Eagle
Circaetus gallicus_Short-toed Snake-Eagle
Acrocephalus schoenobaenus_Sedge Warbler
Lanius minor_Lesser Gray Shrike
Grus grus_Common Crane
Gelochelidon nilotica_Gull-billed Tern
Clamator glandarius_Great Spotted Cuckoo
Numenius arquata_Eurasian Curlew
Monticola saxatilis_Rufous-tailed Rock-Thrush
Oenanthe oenanthe_Northern Wheatear
Turnix sylvaticus_Small Buttonquail
Curruca curruca_Lesser Whitethroat
Charadrius dubius_Little Ringed Plover
Spatula querquedula_Garganey
Accipiter nisus_Eurasian Sparrowhawk
Lanius phoenicuroides_Red-tailed Shrike
Tringa glareola_Wood Sandpiper
Rostratula benghalensis_Greater Painted-Snipe
Acrocephalus scirpaceus_Eurasian Reed Warbler
Hedydipna metallica_Nile Valley Sunbird
Oenanthe leucopyga_White-crowned Wheatear
Limosa limosa_Black-tailed Godwit
Charadrius mongolus_Lesser Sand-Plover
Gymnoris pyrgita_Yellow-spotted Bush Sparrow
Chlidonias leucopterus_White-winged Tern
Coturnix coturnix_Common Quail
Cuculus canorus_Common Cuckoo
Luscinia svecica_Bluethroat
Phoenicurus ochruros_Black Redstart
Tringa erythropus_Spotted Redshank
Streptopelia turtur_European Turtle-Dove
Thalasseus bengalensis_Lesser Crested Tern
Pterocles exustus_Chestnut-bellied Sandgrouse
Circus macrourus_Pallid Harrier
Mirafra cantillans_Singing Bushlark
Anthus cervinus_Red-throated Pipit
Ploceus galbula_Rüppell's Weaver
Anthus campestris_Tawny Pipit
Anthus trivialis_Tree Pipit
Carpospiza brachydactyla_Pale Rockfinch
Calidris ferruginea_Curlew Sandpiper
Calidris minuta_Little Stint
Tringa stagnatilis_Marsh Sandpiper
Ciconia nigra_Black Stork
Pernis apivorus_European Honey-buzzard
Phoenicurus phoenicurus_Common Redstart
Saxicola rubetra_Whinchat
Aythya nyroca_Ferruginous Duck
Charadrius leschenaultii_Greater Sand-Plover
Circus pygargus_Montagu's Harrier
Ixobrychus minutus_Little Bittern
Plegadis falcinellus_Glossy Ibis
Anas acuta_Northern Pintail
Calidris temminckii_Temminck's Stint
Galerida cristata_Crested Lark
Charadrius alexandrinus_Kentish Plover
Locustella luscinioides_Savi's Warbler
Bucanetes githagineus_Trumpeter Finch
Nycticorax nycticorax_Black-crowned Night-Heron
Pandion haliaetus_Osprey
Calandrella brachydactyla_Greater Short-toed Lark
Mareca penelope_Eurasian Wigeon
Jynx torquilla_Eurasian Wryneck
Ficedula semitorquata_Semicollared Flycatcher
Hippolais icterina_Icterine Warbler
Curruca nisoria_Barred Warbler
Sterna repressa_White-cheeked Tern
Falco subbuteo_Eurasian Hobby
Xenus cinereus_Terek Sandpiper
Emberiza striolata_Striolated Bunting
Falco naumanni_Lesser Kestrel
Burhinus oedicnemus_Eurasian Thick-knee
Sula leucogaster_Brown Booby
Pluvialis fulva_Pacific Golden-Plover
Anas crecca_Green-winged Teal
Otus scops_Eurasian Scops-Owl
Aythya ferina_Common Pochard
Arenaria interpres_Ruddy Turnstone
Lymnocryptes minimus_Jack Snipe
Cuculus gularis_African Cuckoo
Vanellus vanellus_Northern Lapwing
Cercotrichas podobe_Black Scrub-Robin
Chlidonias hybrida_Whiskered Tern
Tyto alba_Barn Owl
Lanius isabellinus_Isabelline Shrike
Porzana porzana_Spotted Crake
Larus fuscus_Lesser Black-backed Gull
Ptyonoprogne rupestris_Eurasian Crag-Martin
Riparia riparia_Bank Swallow
Platalea leucorodia_Eurasian Spoonbill
Dromas ardeola_Crab-Plover
Alcedo atthis_Common Kingfisher
Pternistis erckelii_Erckel's Francolin
Haematopus ostralegus_Eurasian Oystercatcher
Falco peregrinus_Peregrine Falcon
Emberiza hortulana_Ortolan Bunting
Egretta gularis_Western Reef-Heron
Athene noctua_Little Owl
Clanga clanga_Greater Spotted Eagle
Columba livia_Rock Pigeon
Oenanthe deserti_Desert Wheatear
Acrocephalus palustris_Marsh Warbler
Tadorna ferruginea_Ruddy Shelduck
Anthus similis_Long-billed Pipit
Streptopelia roseogrisea_African Collared-Dove
Hydroprogne caspia_Caspian Tern
Irania gutturalis_White-throated Robin
Botaurus stellaris_Great Bittern
Myrmecocichla aethiops_Northern Anteater-Chat
Fulica atra_Eurasian Coot
Crex crex_Corn Crake
Onychoprion anaethetus_Bridled Tern
Ficedula albicollis_Collared Flycatcher
Apus pallidus_Pallid Swift
Phaethon aethereus_Red-billed Tropicbird
Acrocephalus stentoreus_Clamorous Reed Warbler
Gyps fulvus_Eurasian Griffon
Caprimulgus europaeus_Eurasian Nightjar
Anthropoides virgo_Demoiselle Crane
Curruca crassirostris_Eastern Orphean Warbler
Asio flammeus_Short-eared Owl
Locustella naevia_Common Grasshopper-Warbler
Locustella fluviatilis_River Warbler
Oriolus larvatus_African Black-headed Oriole
Estrilda astrild_Common Waxbill
Indicator variegatus_Scaly-throated Honeyguide
Ortygornis sephaena_Crested Francolin
Dinemellia dinemelli_White-headed Buffalo-Weaver
Strix woodfordii_African Wood-Owl
Turtur tympanistria_Tambourine Dove
Lophoceros alboterminatus_Crowned Hornbill
Calamonastes simplex_Gray Wren-Warbler
Gallinago media_Great Snipe
Vanellus coronatus_Crowned Lapwing
Amblyospiza albifrons_Grosbeak Weaver
Campethera cailliautii_Green-backed Woodpecker
Merops superciliosus_Madagascar Bee-eater
Euplectes ardens_Red-collared Widowbird
Accipiter minullus_Little Sparrowhawk
Cercotrichas leucophrys_Red-backed Scrub-Robin
Ploceus ocularis_Spectacled Weaver
Cichladusa guttata_Spotted Morning-Thrush
Turtur chalcospilos_Emerald-spotted Wood-Dove
Cyanomitra olivacea_Olive Sunbird
Terpsiphone viridis_African Paradise-Flycatcher
Euplectes capensis_Yellow Bishop
Lanius humeralis_Northern Fiscal
Pholia sharpii_Sharpe's Starling
Coracina caesia_Gray Cuckooshrike
Pternistis squamatus_Scaly Francolin
Apalis flavida_Yellow-breasted Apalis
Fraseria plumbea_Gray Tit-Flycatcher
Bubalornis niger_Red-billed Buffalo-Weaver
Hippolais languida_Upcher's Warbler
Psalidoprocne pristoptera_Black Sawwing
Bradypterus cinnamomeus_Cinnamon Bracken-Warbler
Platysteira cyanea_Brown-throated Wattle-eye
Campephaga flava_Black Cuckooshrike
Ploceus nigricollis_Black-necked Weaver
Crithagra reichenowi_Reichenow's Seedeater
Sylvia abyssinica_African Hill Babbler
Plocepasser mahali_White-browed Sparrow-Weaver
Lamprotornis superbus_Superb Starling
Columba larvata_Lemon Dove
Lybius bidentatus_Double-toothed Barbet
Rallus caerulescens_African Rail
Nectarinia famosa_Malachite Sunbird
Corvus capensis_Cape Crow
Iduna natalensis_African Yellow-Warbler
Pachyphantes superciliosus_Compact Weaver
Cisticola brachypterus_Siffling Cisticola
Lagonosticta rubricata_African Firefinch
Treron calvus_African Green-Pigeon
Accipiter melanoleucus_Black Goshawk
Granatina ianthinogaster_Purple Grenadier
Acrocephalus baeticatus_African Reed Warbler
Chrysococcyx cupreus_African Emerald Cuckoo
Cisticola natalensis_Croaking Cisticola
Trachyphonus darnaudii_D'Arnaud's Barbet
Crithagra dorsostriata_White-bellied Canary
Cossypha natalensis_Red-capped Robin-Chat
Eurocephalus ruppelli_White-rumped Shrike
Anthoscopus musculus_Mouse-colored Penduline-Tit
Batis perkeo_Pygmy Batis
Cisticola cinereolus_Ashy Cisticola
Serinus flavivertex_Yellow-crowned Canary
Jynx ruficollis_Rufous-necked Wryneck
Caprimulgus clarus_Slender-tailed Nightjar
Hedydipna collaris_Collared Sunbird
Vidua fischeri_Straw-tailed Whydah
Laniarius funebris_Slate-colored Boubou
Lamprotornis splendidus_Splendid Starling
Trachyphonus erythrocephalus_Red-and-yellow Barbet
Calendulauda poecilosterna_Pink-breasted Lark
Coccopygia quartinia_Yellow-bellied Waxbill
Caprimulgus tristigma_Freckled Nightjar
Lagonosticta rhodopareia_Jameson's Firefinch
Bradornis microrhynchus_African Gray Flycatcher
Turdoides leucopygia_White-rumped Babbler
Atimastillas flavicollis_Yellow-throated Greenbul
Kaupifalco monogrammicus_Lizard Buzzard
Muscicapa adusta_African Dusky Flycatcher
Melocichla mentalis_Moustached Grass-Warbler
Anthreptes orientalis_Eastern Violet-backed Sunbird
Halcyon malimbica_Blue-breasted Kingfisher
Cisticola robustus_Stout Cisticola
Sylvietta whytii_Red-faced Crombec
Turdus abyssinicus_Abyssinian Thrush
Lophoceros hemprichii_Hemprich's Hornbill
Cisticola chiniana_Rattling Cisticola
Bradypterus baboecala_Little Rush Warbler
Crithagra striolata_Streaky Seedeater
Geokichla piaggiae_Abyssinian Ground-Thrush
Accipiter tachiro_African Goshawk
Tricholaema diademata_Red-fronted Barbet
Tauraco leucotis_White-cheeked Turaco
Merops hirundineus_Swallow-tailed Bee-eater
Ploceus baglafecht_Baglafecht Weaver
Chloropicus fuscescens_Cardinal Woodpecker
Bycanistes brevis_Silvery-cheeked Hornbill
Onychognathus morio_Red-winged Starling
Ploceus intermedius_Lesser Masked-Weaver
Scleroptila gutturalis_Orange River Francolin
Mareca strepera_Gadwall
Tricholaema melanocephala_Black-throated Barbet
Corythaixoides leucogaster_White-bellied Go-away-bird
Pternistis leucoscepus_Yellow-necked Francolin
Ploceus bicolor_Forest Weaver
Burhinus vermiculatus_Water Thick-knee
Columba arquatrix_Rameron Pigeon
Aquila heliaca_Imperial Eagle
Cossypha semirufa_Rüppell's Robin-Chat
Streptopelia lugens_Dusky Turtle-Dove
Chroicocephalus cirrocephalus_Gray-hooded Gull
Chalcomitra amethystina_Amethyst Sunbird
Turtur afer_Blue-spotted Wood-Dove
Fraseria caerulescens_Ashy Flycatcher
Phylloscopus umbrovirens_Brown Woodland-Warbler
Podiceps cristatus_Great Crested Grebe
Malaconotus blanchoti_Gray-headed Bushshrike
Apalis cinerea_Gray Apalis
Myrmecocichla nigra_Sooty Chat
Calidris alba_Sanderling
Guttera pucherani_Crested Guineafowl
Salpornis salvadori_African Spotted Creeper
Caprimulgus poliocephalus_Abyssinian Nightjar
Phalaropus lobatus_Red-necked Phalarope
Cinnyris erythrocercus_Red-chested Sunbird
Onychognathus walleri_Waller's Starling
Stephanoaetus coronatus_Crowned Eagle
Ortygospiza atricollis_Quailfinch
Musophaga rossae_Ross's Turaco
Podiceps nigricollis_Eared Grebe
Pogoniulus bilineatus_Yellow-rumped Tinkerbird
Illadopsis puveli_Puvel's Illadopsis
Oreolais pulcher_Black-collared Apalis
Eminia lepida_Gray-capped Warbler
Tricholaema lacrymosa_Spot-flanked Barbet
Chlorocichla laetissima_Joyful Greenbul
Iduna similis_Mountain Yellow-Warbler
Phyllastrephus cabanisi_Cabanis's Greenbul
Motacilla clara_Mountain Wagtail
Melaniparus albiventris_White-bellied Tit
Cinnyris reichenowi_Northern Double-collared Sunbird
Nigrita canicapillus_Gray-headed Nigrita
Merops oreobates_Cinnamon-chested Bee-eater
Gymnobucco bonapartei_Gray-throated Barbet
Campephaga quiscalina_Purple-throated Cuckooshrike
Lophoceros fasciatus_African Pied Hornbill
Estrilda nonnula_Black-crowned Waxbill
Ploceus jacksoni_Golden-backed Weaver
Apalis rufogularis_Buff-throated Apalis
Bathmocercus rufus_Black-faced Rufous-Warbler
Cossypha caffra_Cape Robin-Chat
Buteo oreophilus_Mountain Buzzard
Prinia erythroptera_Red-winged Prinia
Apalis jacksoni_Black-throated Apalis
Melaenornis fischeri_White-eyed Slaty-Flycatcher
Oriolus brachyrynchus_Western Black-headed Oriole
Tchagra australis_Brown-crowned Tchagra
Pogonocichla stellata_White-starred Robin
Macrosphenus flavicans_Yellow Longbill
Hylia prasina_Green Hylia
Trachyphonus purpuratus_Yellow-billed Barbet
Cyanomitra verticalis_Green-headed Sunbird
Stelgidillas gracilirostris_Slender-billed Greenbul
Cossypha albicapillus_White-crowned Robin-Chat
Corythaeola cristata_Great Blue Turaco
