Sula nebouxii_Blue-footed Booby
Lepidocolaptes lacrymiger_Montane Woodcreeper
Ochthoeca fumicolor_Brown-backed Chat-Tyrant
Troglodytes solstitialis_Mountain Wren
Thlypopsis ornata_Rufous-chested Tanager
Phleocryptes melanops_Wren-like Rushbird
Lurocalis rufiventris_Rufous-bellied Nighthawk
Colaptes rivolii_Crimson-mantled Woodpecker
Pardirallus sanguinolentus_Plumbeous Rail
Spatula cyanoptera_Cinnamon Teal
Ampelion rubrocristatus_Red-crested Cotinga
Ardenna grisea_Sooty Shearwater
Pseudocolaptes boissonneautii_Streaked Tuftedcheek
Lesbia victoriae_Black-tailed Trainbearer
Pharomachrus auriceps_Golden-headed Quetzal
Boissonneaua matthewsii_Chestnut-breasted Coronet
Gallinago andina_Puna Snipe
Ardenna bulleri_Buller's Shearwater
Myiothlypis nigrocristata_Black-crested Warbler
Myiothlypis luteoviridis_Citrine Warbler
Ciccaba albitarsis_Rufous-banded Owl
Elaenia obscura_Highland Elaenia
Coereba flaveola_Bananaquit
Thlypopsis superciliaris_Superciliaried Hemispingus
Ochthoeca cinnamomeiventris_Slaty-backed Chat-Tyrant
Diglossa caerulescens_Bluish Flowerpiercer
Tapera naevia_Striped Cuckoo
Tachuris rubrigastra_Many-colored Rush Tyrant
Oxyura ferruginea_Andean Duck
Conirostrum albifrons_Capped Conebill
Megascops albogularis_White-throated Screech-Owl
Buthraupis montana_Hooded Mountain Tanager
Calidris mauri_Western Sandpiper
Zentrygon frenata_White-throated Quail-Dove
Nycticorax nycticorax_Black-crowned Night-Heron
Anthus bogotensis_Paramo Pipit
Ochthoeca rufipectoralis_Rufous-breasted Chat-Tyrant
Lesbia nuna_Green-tailed Trainbearer
Cranioleuca antisiensis_Line-cheeked Spinetail
Cacicus chrysonotus_Mountain Cacique
Serpophaga cinerea_Torrent Tyrannulet
Stercorarius pomarinus_Pomarine Jaeger
Conirostrum sitticolor_Blue-backed Conebill
Turdus nigriceps_Andean Slaty Thrush
Podiceps major_Great Grebe
Phyllomyias nigrocapillus_Black-capped Tyrannulet
Vireo leucophrys_Brown-capped Vireo
Chlorornis riefferii_Grass-green Tanager
Phyllomyias uropygialis_Tawny-rumped Tyrannulet
Pachyramphus versicolor_Barred Becard
Pipreola arcuata_Barred Fruiteater
Doryfera ludovicae_Green-fronted Lancebill
Grallaria squamigera_Undulated Antpitta
Thalasseus sandvicensis_Sandwich Tern
Pionus tumultuosus_Speckle-faced Parrot
Falco femoralis_Aplomado Falcon
Elaenia albiceps_White-crested Elaenia
Paraclaravis mondetoura_Maroon-chested Ground Dove
Anairetes nigrocristatus_Black-crested Tit-Tyrant
Heliangelus amethysticollis_Amethyst-throated Sunangel
Sphenopsis melanotis_Black-eared Hemispingus
Grallaria saturata_Equatorial Antpitta
Geranoaetus polyosoma_Variable Hawk
Andigena hypoglauca_Gray-breasted Mountain-Toucan
Anisognathus lacrymosus_Lacrimose Mountain Tanager
Calidris canutus_Red Knot
Schistochlamys melanopis_Black-faced Tanager
Mecocerculus leucophrys_White-throated Tyrannulet
Asthenes flammulata_Many-striped Canastero
Gallinago jamesoni_Jameson's Snipe
Mecocerculus poecilocercus_White-tailed Tyrannulet
Sterna hirundinacea_South American Tern
Catamblyrhynchus diadema_Plushcap
Asthenes wyatti_Streak-backed Canastero
Ochthoeca frontalis_Crowned Chat-Tyrant
Kleinothraupis atropileus_Black-capped Hemispingus
Trogon personatus_Masked Trogon
Conirostrum cinereum_Cinereous Conebill
Dubusia taeniata_Buff-breasted Mountain Tanager
Xema sabini_Sabine's Gull
Larus dominicanus_Kelp Gull
Aeronautes montivagus_White-tipped Swift
