Rhipidura leucophrys_Willie-wagtail
Microeca fascinans_Jacky-winter
Lalage tricolor_White-winged Triller
Ptilotula penicillata_White-plumed Honeyeater
Epthianura tricolor_Crimson Chat
Sugomel nigrum_Black Honeyeater
Cacomantis pallidus_Pallid Cuckoo
Pardalotus rubricatus_Red-browed Pardalote
Cincloramphus cruralis_Brown Songlark
Accipiter cirrocephalus_Collared Sparrowhawk
Podargus strigoides_Tawny Frogmouth
Artamus personatus_Masked Woodswallow
Ninox boobook_Southern Boobook
Tyto alba_Barn Owl
Tribonyx ventralis_Black-tailed Nativehen
Cygnus atratus_Black Swan
Pardalotus striatus_Striated Pardalote
Aegotheles cristatus_Australian Owlet-nightjar
Chrysococcyx osculans_Black-eared Cuckoo
Anthochaera carunculata_Red Wattlebird
Artamus cyanopterus_Dusky Woodswallow
Corvus mellori_Little Raven
Falco peregrinus_Peregrine Falcon
Actitis hypoleucos_Common Sandpiper
Psophodes occidentalis_Chiming Wedgebill
Rhipidura albiscapa_Gray Fantail
Burhinus grallarius_Bush Thick-knee
Milvus migrans_Black Kite
Todiramphus sanctus_Sacred Kingfisher
Corvus coronoides_Australian Raven
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Vanellus tricolor_Banded Lapwing
Chlidonias hybrida_Whiskered Tern
Chroicocephalus novaehollandiae_Silver Gull
Cacatua sanguinea_Little Corella
Passer domesticus_House Sparrow
Artamus superciliosus_White-browed Woodswallow
Plegadis falcinellus_Glossy Ibis
Corcorax melanorhamphos_White-winged Chough
Calidris acuminata_Sharp-tailed Sandpiper
Tringa glareola_Wood Sandpiper
Pachycephala inornata_Gilbert's Whistler
Pardalotus punctatus_Spotted Pardalote
Hydroprogne caspia_Caspian Tern
Strepera versicolor_Gray Currawong
Nesoptilotis leucotis_White-eared Honeyeater
Zapornia pusilla_Baillon's Crake
Zosterops lateralis_Silvereye
Melithreptus brevirostris_Brown-headed Honeyeater
Charadrius veredus_Oriental Plover
Phalacrocorax carbo_Great Cormorant
Gallinula tenebrosa_Dusky Moorhen
Tadorna tadornoides_Australian Shelduck
Ardea alba_Great Egret
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Pomatostomus temporalis_Gray-crowned Babbler
Apus pacificus_Pacific Swift
Coturnix pectoralis_Stubble Quail
Tyto novaehollandiae_Australian Masked-Owl
Artamus leucorynchus_White-breasted Woodswallow
Anhinga novaehollandiae_Australasian Darter
Phaps elegans_Brush Bronzewing
Sturnus vulgaris_European Starling
Hylacola cauta_Shy Heathwren
Gelochelidon nilotica_Gull-billed Tern
Geopelia placida_Peaceful Dove
Threskiornis molucca_Australian Ibis
Zapornia tabuensis_Spotless Crake
Chlidonias leucopterus_White-winged Tern
Poodytes gramineus_Little Grassbird
Calidris ferruginea_Curlew Sandpiper
Tringa stagnatilis_Marsh Sandpiper
Drymodes brunneopygia_Southern Scrub-Robin
Cacomantis flabelliformis_Fan-tailed Cuckoo
Acrocephalus australis_Australian Reed Warbler
Ptilotula ornata_Yellow-plumed Honeyeater
Calidris ruficollis_Red-necked Stint
Podiceps cristatus_Great Crested Grebe
Pelecanus conspicillatus_Australian Pelican
Malurus cyaneus_Superb Fairywren
Biziura lobata_Musk Duck
Circus approximans_Swamp Harrier
Myiagra inquieta_Restless Flycatcher
Streptopelia chinensis_Spotted Dove
Porphyrio melanotus_Australasian Swamphen
Stercorarius antarcticus_Brown Skua
Ardea intermedia_Intermediate Egret
Pluvialis fulva_Pacific Golden-Plover
Pluvialis squatarola_Black-bellied Plover
Cisticola exilis_Golden-headed Cisticola
Synoicus ypsilophorus_Brown Quail
Calidris canutus_Red Knot
Calamanthus fuliginosus_Striated Fieldwren
Limosa lapponica_Bar-tailed Godwit
Haematopus longirostris_Pied Oystercatcher
Thalasseus bergii_Great Crested Tern
Haematopus fuliginosus_Sooty Oystercatcher
Vanellus miles_Masked Lapwing
Petroica phoenicea_Flame Robin
Arenaria interpres_Ruddy Turnstone
Xenus cinereus_Terek Sandpiper
Numenius madagascariensis_Far Eastern Curlew
Pachycephala olivacea_Olive Whistler
Mirafra javanica_Australasian Bushlark
Melithreptus gularis_Black-chinned Honeyeater
Egretta garzetta_Little Egret
Sericornis frontalis_White-browed Scrubwren
Pachycephala fuliginosa_Western Whistler
Haliaeetus leucogaster_White-bellied Sea-Eagle
Calidris alba_Sanderling
Charadrius mongolus_Lesser Sand-Plover
Ninox connivens_Barking Owl
