Pitangus sulphuratus_Great Kiskadee
Calidris fuscicollis_White-rumped Sandpiper
Cacicus haemorrhous_Red-rumped Cacique
Leptotila rufaxilla_Gray-fronted Dove
Pionus maximiliani_Scaly-headed Parrot
Tringa flavipes_Lesser Yellowlegs
Selenidera maculirostris_Spot-billed Toucanet
Automolus leucophthalmus_White-eyed Foliage-gleaner
Myiarchus ferox_Short-crested Flycatcher
Himantopus mexicanus_Black-necked Stilt
Ardea cocoi_Cocoi Heron
Legatus leucophaius_Piratic Flycatcher
Chionomesa fimbriata_Glittering-throated Emerald
Columba livia_Rock Pigeon
Cantorchilus longirostris_Long-billed Wren
Dendrocincla turdina_Plain-winged Woodcreeper
Dendroma rufa_Buff-fronted Foliage-gleaner
Patagioenas plumbea_Plumbeous Pigeon
Empidonomus varius_Variegated Flycatcher
Chlorophanes spiza_Green Honeycreeper
Egretta caerulea_Little Blue Heron
Lathrotriccus euleri_Euler's Flycatcher
Jacana jacana_Wattled Jacana
Progne tapera_Brown-chested Martin
Mimus gilvus_Tropical Mockingbird
Rhopias gularis_Star-throated Antwren
Schiffornis virescens_Greenish Schiffornis
Habia rubica_Red-crowned Ant-Tanager
Tringa melanoleuca_Greater Yellowlegs
Bubulcus ibis_Cattle Egret
Hemitriccus nidipendulus_Hangnest Tody-Tyrant
Anhinga anhinga_Anhinga
Sporophila lineola_Lined Seedeater
Nycticorax nycticorax_Black-crowned Night-Heron
Piculus aurulentus_White-browed Woodpecker
Myiornis auricularis_Eared Pygmy-Tyrant
Conirostrum speciosum_Chestnut-vented Conebill
Pardirallus nigricans_Blackish Rail
Thamnophilus ambiguus_Sooretama Slaty-Antshrike
Myiarchus swainsoni_Swainson's Flycatcher
Conopophaga lineata_Rufous Gnateater
Loriotus cristatus_Flame-crested Tanager
Phylloscartes ventralis_Mottle-cheeked Tyrannulet
Xenops rutilans_Streaked Xenops
Dryobates maculifrons_Yellow-eared Woodpecker
Synallaxis spixi_Spix's Spinetail
Geranoaetus albicaudatus_White-tailed Hawk
Lochmias nematura_Sharp-tailed Streamcreeper
Tangara cyanocephala_Red-necked Tanager
Hemithraupis ruficapilla_Rufous-headed Tanager
Saltator fuliginosus_Black-throated Grosbeak
Mionectes rufiventris_Gray-hooded Flycatcher
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Turdus albicollis_White-necked Thrush
Platyrinchus mystaceus_White-throated Spadebill
Baryphthengus ruficapillus_Rufous-capped Motmot
Chrysomus ruficapillus_Chestnut-capped Blackbird
Tersina viridis_Swallow Tanager
Phyllomyias fasciatus_Planalto Tyrannulet
Tapera naevia_Striped Cuckoo
Patagioenas cayennensis_Pale-vented Pigeon
Crotophaga major_Greater Ani
Scytalopus speluncae_Mouse-colored Tapaculo
Stephanoxis lalandi_Green-crowned Plovercrest
Colonia colonus_Long-tailed Tyrant
Batara cinerea_Giant Antshrike
Philydor atricapillus_Black-capped Foliage-gleaner
Cairina moschata_Muscovy Duck
Pachyramphus validus_Crested Becard
Lurocalis semitorquatus_Short-tailed Nighthawk
Systellura longirostris_Band-winged Nightjar
Saltator maximus_Buff-throated Saltator
Porphyrio martinica_Purple Gallinule
Myiophobus fasciatus_Bran-colored Flycatcher
Cyanocorax cristatellus_Curl-crested Jay
Geothlypis aequinoctialis_Masked Yellowthroat
Amazona amazonica_Orange-winged Parrot
Chlorophonia cyanea_Blue-naped Chlorophonia
Drymophila ferruginea_Ferruginous Antbird
Trogon viridis_Green-backed Trogon
Anabazenops fuscus_White-collared Foliage-gleaner
Euphonia chlorotica_Purple-throated Euphonia
Sclerurus scansor_Rufous-breasted Leaftosser
Charadrius semipalmatus_Semipalmated Plover
Pluvialis dominica_American Golden-Plover
Amazonetta brasiliensis_Brazilian Teal
Elanoides forficatus_Swallow-tailed Kite
Gnorimopsar chopi_Chopi Blackbird
Streptoprocne zonaris_White-collared Swift
Todirostrum cinereum_Common Tody-Flycatcher
Tyrannus savana_Fork-tailed Flycatcher
Thamnophilus palliatus_Chestnut-backed Antshrike
Anthus lutescens_Yellowish Pipit
Molothrus rufoaxillaris_Screaming Cowbird
Chrysuronia versicolor_Versicolored Emerald
Drymophila genei_Rufous-tailed Antbird
Sterna hirundinacea_South American Tern
Aramides cajaneus_Gray-cowled Wood-Rail
Ammodramus humeralis_Grassland Sparrow
Orthogonys chloricterus_Olive-green Tanager
Mackenziaena leachii_Large-tailed Antshrike
Ixobrychus involucris_Stripe-backed Bittern
Serpophaga subcristata_White-crested Tyrannulet
Rynchops niger_Black Skimmer
Anabacerthia amaurotis_White-browed Foliage-gleaner
Leistes superciliaris_White-browed Meadowlark
Falco femoralis_Aplomado Falcon
Contopus cinereus_Tropical Pewee
Pipraeidea melanonota_Fawn-breasted Tanager
Drymophila squamata_Scaled Antbird
Terenura maculata_Streak-capped Antwren
Xiphocolaptes albicollis_White-throated Woodcreeper
Hemitriccus orbitatus_Eye-ringed Tody-Tyrant
Poecilotriccus plumbeiceps_Ochre-faced Tody-Flycatcher
Arundinicola leucocephala_White-headed Marsh Tyrant
Ramphastos dicolorus_Red-breasted Toucan
Arremon semitorquatus_Half-collared Sparrow
Falco peregrinus_Peregrine Falcon
Phylloscartes difficilis_Serra do Mar Tyrannulet
Nyctidromus albicollis_Common Pauraque
Buteogallus meridionalis_Savanna Hawk
Phyllomyias griseocapilla_Gray-capped Tyrannulet
Thlypopsis pyrrhocoma_Chestnut-headed Tanager
Stephanophorus diadematus_Diademed Tanager
Psittacara leucophthalmus_White-eyed Parakeet
Melanerpes flavifrons_Yellow-fronted Woodpecker
Ictinia plumbea_Plumbeous Kite
Sporophila pileata_Pearly-bellied Seedeater
Actitis macularius_Spotted Sandpiper
Charadrius collaris_Collared Plover
Myrmotherula axillaris_White-flanked Antwren
Plegadis chihi_White-faced Ibis
Megascops choliba_Tropical Screech-Owl
Hypoedaleus guttatus_Spot-backed Antshrike
Buteo brachyurus_Short-tailed Hawk
Phaethornis ruber_Reddish Hermit
Carpornis cucullata_Hooded Berryeater
Falco sparverius_American Kestrel
Thamnophilus ruficapillus_Rufous-capped Antshrike
Haplospiza unicolor_Uniform Finch
Hemitriccus diops_Drab-breasted Pygmy-Tyrant
Cyanerpes cyaneus_Red-legged Honeycreeper
Serpophaga nigricans_Sooty Tyrannulet
Chamaeza meruloides_Such's Antthrush
Myiozetetes cayanensis_Rusty-margined Flycatcher
Gubernetes yetapa_Streamer-tailed Tyrant
Chloroceryle amazona_Amazon Kingfisher
Drymophila ochropyga_Ochre-rumped Antbird
Dendrocolaptes platyrostris_Planalto Woodcreeper
Myiobius barbatus_Whiskered Flycatcher
Capsiempis flaveola_Yellow Tyrannulet
Calidris melanotos_Pectoral Sandpiper
Tyto alba_Barn Owl
Lepidocolaptes squamatus_Scaled Woodcreeper
Anthracothorax nigricollis_Black-throated Mango
Pteroglossus bailloni_Saffron Toucanet
Nyctibius griseus_Common Potoo
Chionomesa lactea_Sapphire-spangled Emerald
Haematopus palliatus_American Oystercatcher
Mustelirallus albicollis_Ash-throated Crake
Spizaetus tyrannus_Black Hawk-Eagle
Syndactyla rufosuperciliata_Buff-browed Foliage-gleaner
Phaethornis squalidus_Dusky-throated Hermit
Heliobletus contaminatus_Sharp-billed Treehunter
Laterallus melanophaius_Rufous-sided Crake
Melanerpes candidus_White Woodpecker
Xenops minutus_Plain Xenops
Herpetotheres cachinnans_Laughing Falcon
Pionopsitta pileata_Pileated Parrot
Grallaria varia_Variegated Antpitta
Mackenziaena severa_Tufted Antshrike
Cissopis leverianus_Magpie Tanager
Chaetura cinereiventris_Gray-rumped Swift
Micrastur ruficollis_Barred Forest-Falcon
Pheugopedius genibarbis_Moustached Wren
Elaenia parvirostris_Small-billed Elaenia
Geotrygon montana_Ruddy Quail-Dove
Saltator maxillosus_Thick-billed Saltator
Psilorhamphus guttatus_Spotted Bamboowren
Emberizoides herbicola_Wedge-tailed Grass-Finch
Eleoscytalopus indigoticus_White-breasted Tapaculo
Rostrhamus sociabilis_Snail Kite
Harpagus diodon_Rufous-thighed Kite
Micrastur semitorquatus_Collared Forest-Falcon
Busarellus nigricollis_Black-collared Hawk
Streptoprocne biscutata_Biscutate Swift
Tangara cyanoventris_Gilt-edged Tanager
Formicarius colma_Rufous-capped Antthrush
Aramus guarauna_Limpkin
Pandion haliaetus_Osprey
Schistochlamys ruficapillus_Cinnamon Tanager
Odontophorus capueira_Spot-winged Wood-Quail
Tachycineta leucorrhoa_White-rumped Swallow
Phyllomyias burmeisteri_Rough-legged Tyrannulet
Accipiter bicolor_Bicolored Hawk
Muscipipra vetula_Shear-tailed Gray Tyrant
Phacellodomus rufifrons_Rufous-fronted Thornbird
Spinus magellanicus_Hooded Siskin
Turdus subalaris_Blacksmith Thrush
Elaenia mesoleuca_Olivaceous Elaenia
Sirystes sibilator_Sibilant Sirystes
Dryocopus lineatus_Lineated Woodpecker
Paroaria dominicana_Red-cowled Cardinal
Donacobius atricapilla_Black-capped Donacobius
Asio clamator_Striped Owl
Hemithraupis flavicollis_Yellow-backed Tanager
Ixobrychus exilis_Least Bittern
Columbina minuta_Plain-breasted Ground Dove
Asemospiza fuliginosa_Sooty Grassquit
Jabiru mycteria_Jabiru
Phaethornis pretrei_Planalto Hermit
Sternula superciliaris_Yellow-billed Tern
Microspingus lateralis_Buff-throated Warbling Finch
Strix hylophila_Rusty-barred Owl
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Conirostrum bicolor_Bicolored Conebill
Pachyramphus viridis_Green-backed Becard
Pyrocephalus rubinus_Vermilion Flycatcher
Pseudoleistes guirahuro_Yellow-rumped Marshbird
Syrigma sibilatrix_Whistling Heron
Cariama cristata_Red-legged Seriema
Merulaxis ater_Slaty Bristlefront
Chloroceryle americana_Green Kingfisher
Phimosus infuscatus_Bare-faced Ibis
Dendrocygna viduata_White-faced Whistling-Duck
Tigrisoma lineatum_Rufescent Tiger-Heron
Crypturellus tataupa_Tataupa Tinamou
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Phyllomyias virescens_Greenish Tyrannulet
Parabuteo unicinctus_Harris's Hawk
Asthenes moreirae_Itatiaia Spinetail
Oxyruncus cristatus_Sharpbill
Alopochelidon fucata_Tawny-headed Swallow
Campylorhamphus falcularius_Black-billed Scythebill
Colaptes melanochloros_Green-barred Woodpecker
Ciccaba virgata_Mottled Owl
Parabuteo leucorrhous_White-rumped Hawk
Penelope superciliaris_Rusty-margined Guan
Malacoptila striata_Crescent-chested Puffbird
Sporophila angolensis_Chestnut-bellied Seed-Finch
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Ramphocaenus melanurus_Long-billed Gnatwren
Pulsatrix koeniswaldiana_Tawny-browed Owl
Nemosia pileata_Hooded Tanager
Orchesticus abeillei_Brown Tanager
Pluvialis squatarola_Black-bellied Plover
Phacellodomus ferrugineigula_Orange-breasted Thornbird
Laterallus leucopyrrhus_Red-and-white Crake
Phaetusa simplex_Large-billed Tern
Molothrus oryzivorus_Giant Cowbird
Piranga flava_Hepatic Tanager
Circus buffoni_Long-winged Harrier
Tityra cayana_Black-tailed Tityra
Biatas nigropectus_White-bearded Antshrike
Sporophila frontalis_Buffy-fronted Seedeater
Anumbius annumbi_Firewood-gatherer
Tringa solitaria_Solitary Sandpiper
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Anabacerthia lichtensteini_Ochre-breasted Foliage-gleaner
Claravis pretiosa_Blue Ground Dove
Thlypopsis sordida_Orange-headed Tanager
Pachyramphus marginatus_Black-capped Becard
Anthus hellmayri_Hellmayr's Pipit
Sporophila leucoptera_White-bellied Seedeater
Anurolimnas viridis_Russet-crowned Crake
Falco rufigularis_Bat Falcon
Myrmoderus loricatus_White-bibbed Antbird
Cyanoloxia brissonii_Ultramarine Grosbeak
Leptodon cayanensis_Gray-headed Kite
Lipaugus ater_Black-and-gold Cotinga
Sicalis luteola_Grassland Yellow-Finch
Schistochlamys melanopis_Black-faced Tanager
Myiopagis caniceps_Gray Elaenia
Cichlocolaptes leucophrus_Pale-browed Treehunter
Campephilus robustus_Robust Woodpecker
Tachybaptus dominicus_Least Grebe
Stilpnia peruviana_Black-backed Tanager
Myiobius atricaudus_Black-tailed Flycatcher
Riparia riparia_Bank Swallow
Cnemotriccus fuscatus_Fuscous Flycatcher
Elaenia sordida_Small-headed Elaenia
Embernagra platensis_Great Pampa-Finch
Phaeomyias murina_Mouse-colored Tyrannulet
Mesembrinibis cayennensis_Green Ibis
Cochlearius cochlearius_Boat-billed Heron
Coryphospingus pileatus_Pileated Finch
Accipiter striatus_Sharp-shinned Hawk
Geranospiza caerulescens_Crane Hawk
Formicivora serrana_Serra Antwren
Myiarchus tyrannulus_Brown-crested Flycatcher
Heliothryx auritus_Black-eared Fairy
Chordeiles nacunda_Nacunda Nighthawk
Hydropsalis torquata_Scissor-tailed Nightjar
Triclaria malachitacea_Blue-bellied Parrot
Megascops atricapilla_Black-capped Screech-Owl
Myiothlypis leucoblephara_White-browed Warbler
Piculus flavigula_Yellow-throated Woodpecker
Calidris alba_Sanderling
Elanus leucurus_White-tailed Kite
Piprites chloris_Wing-barred Piprites
Nystalus chacuru_White-eared Puffbird
Amazona vinacea_Vinaceous-breasted Parrot
Chlorestes cyanus_White-chinned Sapphire
Phacellodomus erythrophthalmus_Orange-eyed Thornbird
Platyrinchus leucoryphus_Russet-winged Spadebill
Gallinago paraguaiae_Paraguayan Snipe
Chondrohierax uncinatus_Hook-billed Kite
Trogon rufus_Black-throated Trogon
Sporophila falcirostris_Temminck's Seedeater
Pseudocolopteryx sclateri_Crested Doradito
Rhytipterna simplex_Grayish Mourner
Icterus pyrrhopterus_Variable Oriole
Donacospiza albifrons_Long-tailed Reed Finch
Nyctanassa violacea_Yellow-crowned Night-Heron
Columbina picui_Picui Ground Dove
Glaucis hirsutus_Rufous-breasted Hermit
Euphonia chalybea_Green-throated Euphonia
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Phylloscartes oustaleti_Oustalet's Tyrannulet
Tinamus solitarius_Solitary Tinamou
Pteroglossus aracari_Black-necked Aracari
Tachycineta albiventer_White-winged Swallow
Podilymbus podiceps_Pied-billed Grebe
Elaenia spectabilis_Large Elaenia
Primolius maracana_Blue-winged Macaw
Euphonia xanthogaster_Orange-bellied Euphonia
Tityra inquisitor_Black-crowned Tityra
Sporophila nigricollis_Yellow-bellied Seedeater
Atticora tibialis_White-thighed Swallow
Ramphotrigon megacephalum_Large-headed Flatbill
Corythopis delalandi_Southern Antpipit
Pyroderus scutatus_Red-ruffed Fruitcrow
Sporophila collaris_Rusty-collared Seedeater
Galbula ruficauda_Rufous-tailed Jacamar
Lipaugus lanioides_Cinnamon-vented Piha
Spizaetus melanoleucus_Black-and-white Hawk-Eagle
Coccyzus melacoryphus_Dark-billed Cuckoo
Petrochelidon pyrrhonota_Cliff Swallow
Accipiter superciliosus_Tiny Hawk
Nyctiphrynus ocellatus_Ocellated Poorwill
Setopagis parvula_Little Nightjar
Chlorophonia cyanocephala_Golden-rumped Euphonia
Crypturellus parvirostris_Small-billed Tinamou
Diopsittaca nobilis_Red-shouldered Macaw
Chamaeza campanisona_Short-tailed Antthrush
Synallaxis frontalis_Sooty-fronted Spinetail
Falco deiroleucus_Orange-breasted Falcon
Theristicus caudatus_Buff-necked Ibis
Coccyzus americanus_Yellow-billed Cuckoo
Ciccaba huhula_Black-banded Owl
Buteo nitidus_Gray-lined Hawk
Sporophila bouvreuil_Copper Seedeater
Ramphastos toco_Toco Toucan
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Nengetus cinereus_Gray Monjita
Coccyzus euleri_Pearly-breasted Cuckoo
Hylocharis sapphirina_Rufous-throated Sapphire
Antrostomus rufus_Rufous Nightjar
Dendrocygna bicolor_Fulvous Whistling-Duck
Colibri serrirostris_White-vented Violetear
Arenaria interpres_Ruddy Turnstone
Myrmotherula minor_Salvadori's Antwren
Asio stygius_Stygian Owl
Neopelma aurifrons_Wied's Tyrant-Manakin
Tyrannus albogularis_White-throated Kingbird
Thalasseus sandvicensis_Sandwich Tern
Tringa semipalmata_Willet
Rallus longirostris_Mangrove Rail
Elaenia albiceps_White-crested Elaenia
Nonnula rubecula_Rusty-breasted Nunlet
Agelasticus cyanopus_Unicolored Blackbird
Icterus jamacaii_Campo Troupial
Polytmus guainumbi_White-tailed Goldenthroat
Buteo albonotatus_Zone-tailed Hawk
Touit melanonotus_Brown-backed Parrotlet
Amazona rhodocorytha_Red-browed Parrot
Columbina squammata_Scaled Dove
Amazona aestiva_Turquoise-fronted Parrot
Caryothraustes canadensis_Yellow-green Grosbeak
Amazona farinosa_Mealy Parrot
Chordeiles minor_Common Nighthawk
Eupsittula aurea_Peach-fronted Parakeet
Mionectes oleagineus_Ochre-bellied Flycatcher
Synallaxis albescens_Pale-breasted Spinetail
Pitangus lictor_Lesser Kiskadee
Touit surdus_Golden-tailed Parrotlet
Chordeiles acutipennis_Lesser Nighthawk
Spizaetus ornatus_Ornate Hawk-Eagle
Iodopleura pipra_Buff-throated Purpletuft
Crypturellus soui_Little Tinamou
Cercomacra brasiliana_Rio de Janeiro Antbird
Patagioenas speciosa_Scaled Pigeon
Gallinago undulata_Giant Snipe
Thalasseus maximus_Royal Tern
Fluvicola albiventer_Black-backed Water-Tyrant
Drymophila rubricollis_Bertoni's Antbird
Chamaeza ruficauda_Rufous-tailed Antthrush
Laterallus exilis_Gray-breasted Crake
Bubo virginianus_Great Horned Owl
Notharchus swainsoni_Buff-bellied Puffbird
Pyrrhura leucotis_Maroon-faced Parakeet
Pyrrhura cruentata_Ochre-marked Parakeet
Pseudopipra pipra_White-crowned Manakin
Glaucidium minutissimum_Least Pygmy-Owl
Neopelma chrysolophum_Serra do Mar Tyrant-Manakin
Drymophila malura_Dusky-tailed Antbird
Hylophilus amaurocephalus_Gray-eyed Greenlet
Xolmis irupero_White Monjita
Sporophila plumbea_Plumbeous Seedeater
Dysithamnus xanthopterus_Rufous-backed Antvireo
Crypturellus noctivagus_Yellow-legged Tinamou
Nyctibius aethereus_Long-tailed Potoo
Myrmotherula unicolor_Unicolored Antwren
Thalassarche melanophris_Black-browed Albatross
Taraba major_Great Antshrike
Myiarchus tuberculifer_Dusky-capped Flycatcher
Tangara mexicana_Turquoise Tanager
Chelidoptera tenebrosa_Swallow-winged Puffbird
Rhynchotus rufescens_Red-winged Tinamou
Anhima cornuta_Horned Screamer
Harpagus bidentatus_Double-toothed Kite
Tolmomyias poliocephalus_Gray-crowned Flycatcher
Chroicocephalus cirrocephalus_Gray-hooded Gull
Schiffornis turdina_Brown-winged Schiffornis
Mycteria americana_Wood Stork
Nyctibius grandis_Great Potoo
Buteogallus urubitinga_Great Black Hawk
Ornithion inerme_White-lored Tyrannulet
Ceratopipra rubrocapilla_Red-headed Manakin
Gelochelidon nilotica_Gull-billed Tern
Elaenia cristata_Plain-crested Elaenia
Formicivora grisea_White-fringed Antwren
Jacamaralcyon tridactyla_Three-toed Jacamar
Zenaida auriculata_Eared Dove
Crypturellus variegatus_Variegated Tinamou
Carpornis melanocephala_Black-headed Berryeater
Dendroplex picus_Straight-billed Woodcreeper
Arremon taciturnus_Pectoral Sparrow
Sporophila albogularis_White-throated Seedeater
Neothraupis fasciata_White-banded Tanager
Numenius phaeopus_Whimbrel
Pionus menstruus_Blue-headed Parrot
Myiothlypis rivularis_Riverbank Warbler
Cichlopsis leucogenys_Rufous-brown Solitaire
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Nothura maculosa_Spotted Nothura
Columbina passerina_Common Ground Dove
Ortalis araucuan_East Brazilian Chachalaca
Campylorhynchus turdinus_Thrush-like Wren
Myrmoderus ruficauda_Scalloped Antbird
Myiopagis viridicata_Greenish Elaenia
Saltatricula atricollis_Black-throated Saltator
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Asio flammeus_Short-eared Owl
Chlorestes notata_Blue-chinned Sapphire
Porphyriops melanops_Spot-flanked Gallinule
Attila spadiceus_Bright-rumped Attila
Sterna hirundo_Common Tern
Turdus fumigatus_Cocoa Thrush
Nyctibius leucopterus_White-winged Potoo
Progne subis_Purple Martin
Cacicus cela_Yellow-rumped Cacique
Suiriri suiriri_Suiriri Flycatcher
Hirundo rustica_Barn Swallow
Nothura boraquira_White-bellied Nothura
Elaenia chiriquensis_Lesser Elaenia
Sporophila hypoxantha_Tawny-bellied Seedeater
Rhynchocyclus olivaceus_Olivaceous Flatbill
Campephilus melanoleucos_Crimson-crested Woodpecker
Buteo swainsoni_Swainson's Hawk
Schoeniophylax phryganophilus_Chotoy Spinetail
Dryobates affinis_Red-stained Woodpecker
Phacellodomus ruber_Greater Thornbird
Synallaxis cinerascens_Gray-bellied Spinetail
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Sicalis citrina_Stripe-tailed Yellow-Finch
Glyphorynchus spirurus_Wedge-billed Woodcreeper
Cyanocorax chrysops_Plush-crested Jay
Saltator coerulescens_Blue-gray Saltator
Chiroxiphia pareola_Blue-backed Manakin
Conopias trivirgatus_Three-striped Flycatcher
Pardirallus sanguinolentus_Plumbeous Rail
Lipaugus vociferans_Screaming Piha
Ardenna grisea_Sooty Shearwater
Calidris canutus_Red Knot
Amaurolimnas concolor_Uniform Crake
Rhea americana_Greater Rhea
Aratinga auricapillus_Golden-capped Parakeet
Dryobates spilogaster_White-spotted Woodpecker
Calidris himantopus_Stilt Sandpiper
Dromococcyx pavoninus_Pavonine Cuckoo
Polioptila dumicola_Masked Gnatcatcher
