Vanellus chilensis_Southern Lapwing
Bubulcus ibis_Cattle Egret
Limosa haemastica_Hudsonian Godwit
Geositta cunicularia_Common Miner
Serpophaga subcristata_White-crested Tyrannulet
Pardirallus sanguinolentus_Plumbeous Rail
Calidris fuscicollis_White-rumped Sandpiper
Mareca sibilatrix_Chiloe Wigeon
Tringa flavipes_Lesser Yellowlegs
Podilymbus podiceps_Pied-billed Grebe
Hirundo rustica_Barn Swallow
Tachycineta leucopyga_Chilean Swallow
Progne tapera_Brown-chested Martin
Serpophaga nigricans_Sooty Tyrannulet
Colaptes campestris_Campo Flicker
Cygnus melancoryphus_Black-necked Swan
Columba livia_Rock Pigeon
Parabuteo unicinctus_Harris's Hawk
Tringa melanoleuca_Greater Yellowlegs
Falco femoralis_Aplomado Falcon
Charadrius modestus_Rufous-chested Dotterel
Tachuris rubrigastra_Many-colored Rush Tyrant
Asio flammeus_Short-eared Owl
Syrigma sibilatrix_Whistling Heron
Cistothorus platensis_Grass Wren
Geranoaetus polyosoma_Variable Hawk
Cinclodes fuscus_Buff-winged Cinclodes
Cyanoliseus patagonus_Burrowing Parakeet
Coragyps atratus_Black Vulture
Podiceps occipitalis_Silvery Grebe
Tyrannus savana_Fork-tailed Flycatcher
Setophaga pitiayumi_Tropical Parula
Charadrius collaris_Collared Plover
Calidris bairdii_Baird's Sandpiper
Circus buffoni_Long-winged Harrier
Paroaria coronata_Red-crested Cardinal
Spatula cyanoptera_Cinnamon Teal
Rhynchotus rufescens_Red-winged Tinamou
Progne elegans_Southern Martin
Phoenicopterus chilensis_Chilean Flamingo
Spheniscus magellanicus_Magellanic Penguin
Colaptes melanochloros_Green-barred Woodpecker
Porphyriops melanops_Spot-flanked Gallinule
Tyto alba_Barn Owl
Mimus triurus_White-banded Mockingbird
Machetornis rixosa_Cattle Tyrant
Gelochelidon nilotica_Gull-billed Tern
Sporophila caerulescens_Double-collared Seedeater
Chroicocephalus cirrocephalus_Gray-hooded Gull
Ardenna grisea_Sooty Shearwater
Chauna torquata_Southern Screamer
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Anumbius annumbi_Firewood-gatherer
Pluvialis dominica_American Golden-Plover
Nothura maculosa_Spotted Nothura
Pluvialis squatarola_Black-bellied Plover
Rauenia bonariensis_Blue-and-yellow Tanager
Rhea americana_Greater Rhea
Progne chalybea_Gray-breasted Martin
Sterna hirundo_Common Tern
Oreopholus ruficollis_Tawny-throated Dotterel
Turdus falcklandii_Austral Thrush
Diuca diuca_Diuca Finch
Chlorostilbon lucidus_Glittering-bellied Emerald
Thalassarche melanophris_Black-browed Albatross
Systellura longirostris_Band-winged Nightjar
Acridotheres cristatellus_Crested Myna
Asio clamator_Striped Owl
Charadrius semipalmatus_Semipalmated Plover
Asthenes pyrrholeuca_Sharp-billed Canastero
Platalea ajaja_Roseate Spoonbill
Phalaropus tricolor_Wilson's Phalarope
Nothura darwinii_Darwin's Nothura
Elaenia parvirostris_Small-billed Elaenia
Anthus furcatus_Short-billed Pipit
Stercorarius antarcticus_Brown Skua
Sturnus vulgaris_European Starling
Molothrus rufoaxillaris_Screaming Cowbird
Rynchops niger_Black Skimmer
Aramides cajaneus_Gray-cowled Wood-Rail
Chloephaga picta_Upland Goose
Phimosus infuscatus_Bare-faced Ibis
Anthus hellmayri_Hellmayr's Pipit
Leucophaeus scoresbii_Dolphin Gull
Phytotoma rutila_White-tipped Plantcutter
Xolmis irupero_White Monjita
Saltator aurantiirostris_Golden-billed Saltator
Elaenia albiceps_White-crested Elaenia
Megascops choliba_Tropical Screech-Owl
Leptasthenura platensis_Tufted Tit-Spinetail
Eudromia elegans_Elegant Crested-Tinamou
Haematopus leucopodus_Magellanic Oystercatcher
Leptasthenura aegithaloides_Plain-mantled Tit-Spinetail
Butorides striata_Striated Heron
Serpophaga griseicapilla_Straneck's Tyrannulet
Mimus patagonicus_Patagonian Mockingbird
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Hylocharis chrysura_Gilded Hummingbird
Turdus amaurochalinus_Creamy-bellied Thrush
Dendrocygna viduata_White-faced Whistling-Duck
Cranioleuca pyrrhophia_Stripe-crowned Spinetail
Asthenes baeri_Short-billed Canastero
Leistes superciliaris_White-browed Meadowlark
Calidris canutus_Red Knot
Ammodramus humeralis_Grassland Sparrow
Anairetes parulus_Tufted Tit-Tyrant
Turdus chiguanco_Chiguanco Thrush
Tigrisoma lineatum_Rufescent Tiger-Heron
Tachycineta leucorrhoa_White-rumped Swallow
Theristicus melanopis_Black-faced Ibis
Limnoctites sulphuriferus_Sulphur-bearded Reedhaunter
Ixobrychus involucris_Stripe-backed Bittern
Carduelis carduelis_European Goldfinch
Bubo virginianus_Great Horned Owl
Geranoaetus albicaudatus_White-tailed Hawk
Hydropsalis torquata_Scissor-tailed Nightjar
Upucerthia dumetaria_Scale-throated Earthcreeper
Stercorarius parasiticus_Parasitic Jaeger
Dryobates mixtus_Checkered Woodpecker
Suiriri suiriri_Suiriri Flycatcher
Calidris melanotos_Pectoral Sandpiper
Rhinocrypta lanceolata_Crested Gallito
Riparia riparia_Bank Swallow
Donacospiza albifrons_Long-tailed Reed Finch
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Pseudocolopteryx flaviventris_Warbling Doradito
Jacana jacana_Wattled Jacana
Buteo swainsoni_Swainson's Hawk
Phacellodomus striaticollis_Freckle-breasted Thornbird
Gallinago paraguaiae_Paraguayan Snipe
Petrochelidon pyrrhonota_Cliff Swallow
Icterus pyrrhopterus_Variable Oriole
Haematopus ater_Blackish Oystercatcher
Thamnophilus ruficapillus_Rufous-capped Antshrike
Alopochelidon fucata_Tawny-headed Swallow
Polystictus pectoralis_Bearded Tachuri
Knipolegus aterrimus_White-winged Black-Tyrant
Mycteria americana_Wood Stork
Megaceryle torquata_Ringed Kingfisher
Rhopospina fruticeti_Mourning Sierra Finch
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Drymornis bridgesii_Scimitar-billed Woodcreeper
Myiophobus fasciatus_Bran-colored Flycatcher
Myiodynastes maculatus_Streaked Flycatcher
Tarphonomus certhioides_Chaco Earthcreeper
Synallaxis spixi_Spix's Spinetail
Limnornis curvirostris_Curve-billed Reedhaunter
Gallinula galeata_Common Gallinule
Poospiza nigrorufa_Black-and-rufous Warbling Finch
Sternula superciliaris_Yellow-billed Tern
Amazonetta brasiliensis_Brazilian Teal
Rostrhamus sociabilis_Snail Kite
Chloroceryle amazona_Amazon Kingfisher
Calidris subruficollis_Buff-breasted Sandpiper
Pandion haliaetus_Osprey
Spartonoica maluroides_Bay-capped Wren-Spinetail
Polioptila dumicola_Masked Gnatcatcher
Myiarchus swainsoni_Swainson's Flycatcher
Basileuterus culicivorus_Golden-crowned Warbler
Coccyzus melacoryphus_Dark-billed Cuckoo
Schoeniophylax phryganophilus_Chotoy Spinetail
Chloris chloris_European Greenfinch
Knipolegus hudsoni_Hudson's Black-Tyrant
Stigmatura budytoides_Greater Wagtail-Tyrant
Aramus guarauna_Limpkin
Actitis macularius_Spotted Sandpiper
Spinus barbatus_Black-chinned Siskin
Pachyramphus polychopterus_White-winged Becard
Bartramia longicauda_Upland Sandpiper
Sublegatus modestus_Southern Scrub-Flycatcher
Thraupis sayaca_Sayaca Tanager
Leptotila verreauxi_White-tipped Dove
Limnoctites rectirostris_Straight-billed Reedhaunter
Dendrocygna bicolor_Fulvous Whistling-Duck
Paroaria capitata_Yellow-billed Cardinal
Puffinus puffinus_Manx Shearwater
Anairetes flavirostris_Yellow-billed Tit-Tyrant
Picumnus cirratus_White-barred Piculet
Synallaxis frontalis_Sooty-fronted Spinetail
Chrysomus ruficapillus_Chestnut-capped Blackbird
Calidris himantopus_Stilt Sandpiper
Gallinago magellanica_Magellanic Snipe
Chordeiles nacunda_Nacunda Nighthawk
Agelasticus cyanopus_Unicolored Blackbird
Synallaxis albescens_Pale-breasted Spinetail
Cyanoloxia glaucocaerulea_Glaucous-blue Grosbeak
Pipraeidea melanonota_Fawn-breasted Tanager
Psittacara leucophthalmus_White-eyed Parakeet
Aramides ypecaha_Giant Wood-Rail
Chloroceryle americana_Green Kingfisher
Geothlypis aequinoctialis_Masked Yellowthroat
Phylloscartes ventralis_Mottle-cheeked Tyrannulet
Lophonetta specularioides_Crested Duck
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Amblyramphus holosericeus_Scarlet-headed Blackbird
Porphyrio martinica_Purple Gallinule
Vireo chivi_Chivi Vireo
Setopagis parvula_Little Nightjar
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Nengetus cinereus_Gray Monjita
Thectocercus acuticaudatus_Blue-crowned Parakeet
Arenaria interpres_Ruddy Turnstone
Piranga flava_Hepatic Tanager
Stephanophorus diadematus_Diademed Tanager
Pseudoseisura lophotes_Brown Cacholote
Cyanoloxia brissonii_Ultramarine Grosbeak
Brotogeris chiriri_Yellow-chevroned Parakeet
Daption capense_Cape Petrel
Spiziapteryx circumcincta_Spot-winged Falconet
Accipiter striatus_Sharp-shinned Hawk
Porzana spiloptera_Dot-winged Crake
Cyclarhis gujanensis_Rufous-browed Peppershrike
Nothoprocta cinerascens_Brushland Tinamou
Anhinga anhinga_Anhinga
Laterallus leucopyrrhus_Red-and-white Crake
Syndactyla rufosuperciliata_Buff-browed Foliage-gleaner
Microspingus torquatus_Ringed Warbling Finch
Microspingus cabanisi_Gray-throated Warbling Finch
Lochmias nematura_Sharp-tailed Streamcreeper
Anthus lutescens_Yellowish Pipit
Laterallus melanophaius_Rufous-sided Crake
Thamnophilus caerulescens_Variable Antshrike
Tringa solitaria_Solitary Sandpiper
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Pardirallus maculatus_Spotted Rail
Dryobates spilogaster_White-spotted Woodpecker
Diomedea exulans_Wandering Albatross
Gnorimopsar chopi_Chopi Blackbird
Saltator coerulescens_Blue-gray Saltator
Thinocorus rumicivorus_Least Seedsnipe
Volatinia jacarina_Blue-black Grassquit
Asthenes hudsoni_Hudson's Canastero
Penelope obscura_Dusky-legged Guan
Phacellodomus sibilatrix_Little Thornbird
Pyrrhura frontalis_Maroon-bellied Parakeet
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Theristicus caerulescens_Plumbeous Ibis
Numenius phaeopus_Whimbrel
Lathrotriccus euleri_Euler's Flycatcher
Stercorarius pomarinus_Pomarine Jaeger
Tachyeres patachonicus_Flying Steamer-Duck
Stilpnia preciosa_Chestnut-backed Tanager
Saltator similis_Green-winged Saltator
Heliobletus contaminatus_Sharp-billed Treehunter
Picumnus nebulosus_Mottled Piculet
Lepidocolaptes falcinellus_Scalloped Woodcreeper
Conopophaga lineata_Rufous Gnateater
Fregata magnificens_Magnificent Frigatebird
Phaetusa simplex_Large-billed Tern
Xanthopsar flavus_Saffron-cowled Blackbird
Buteogallus meridionalis_Savanna Hawk
