Gymnorhina tibicen_Australian Magpie
Melanodryas cucullata_Hooded Robin
Pomatostomus superciliosus_White-browed Babbler
Cacomantis flabelliformis_Fan-tailed Cuckoo
Philemon corniculatus_Noisy Friarbird
Anthus novaeseelandiae_Australasian Pipit
Porphyrio melanotus_Australasian Swamphen
Aegotheles cristatus_Australian Owlet-nightjar
Accipiter cirrocephalus_Collared Sparrowhawk
Lophochroa leadbeateri_Pink Cockatoo
Pelecanus conspicillatus_Australian Pelican
Himantopus leucocephalus_Pied Stilt
Pomatostomus temporalis_Gray-crowned Babbler
Corvus mellori_Little Raven
Gallinula tenebrosa_Dusky Moorhen
Podargus strigoides_Tawny Frogmouth
Ninox boobook_Southern Boobook
Tribonyx ventralis_Black-tailed Nativehen
Vanellus tricolor_Banded Lapwing
Turdus merula_Eurasian Blackbird
Threskiornis molucca_Australian Ibis
Chrysococcyx osculans_Black-eared Cuckoo
Accipiter fasciatus_Brown Goshawk
Artamus cinereus_Black-faced Woodswallow
Sugomel nigrum_Black Honeyeater
Eurostopodus argus_Spotted Nightjar
Cygnus atratus_Black Swan
Ardea alba_Great Egret
Pomatostomus ruficeps_Chestnut-crowned Babbler
Nesoptilotis leucotis_White-eared Honeyeater
Malurus splendens_Splendid Fairywren
Daphoenositta chrysoptera_Varied Sittella
Mirafra javanica_Australasian Bushlark
Falco peregrinus_Peregrine Falcon
Chlidonias hybrida_Whiskered Tern
Biziura lobata_Musk Duck
Acanthiza reguloides_Buff-rumped Thornbill
Plegadis falcinellus_Glossy Ibis
Synoicus ypsilophorus_Brown Quail
Falcunculus frontatus_Crested Shrike-tit
Tyto alba_Barn Owl
Purnella albifrons_White-fronted Honeyeater
Stizoptera bichenovii_Double-barred Finch
Dendrocygna eytoni_Plumed Whistling-Duck
Circus approximans_Swamp Harrier
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Zosterops lateralis_Silvereye
Phalacrocorax carbo_Great Cormorant
Coracina papuensis_White-bellied Cuckooshrike
Polytelis swainsonii_Superb Parrot
Oriolus sagittatus_Olive-backed Oriole
Certhionyx variegatus_Pied Honeyeater
Ardea intermedia_Intermediate Egret
Merops ornatus_Rainbow Bee-eater
Ptilotula ornata_Yellow-plumed Honeyeater
Pachycephala inornata_Gilbert's Whistler
Hylacola cauta_Shy Heathwren
Coturnix pectoralis_Stubble Quail
Strepera graculina_Pied Currawong
Tadorna tadornoides_Australian Shelduck
Hydroprogne caspia_Caspian Tern
Chroicocephalus novaehollandiae_Silver Gull
Ninox connivens_Barking Owl
Platycercus elegans_Crimson Rosella
Pachycephala pectoralis_Golden Whistler
Zapornia pusilla_Baillon's Crake
Eopsaltria australis_Eastern Yellow Robin
Pyrrholaemus sagittatus_Speckled Warbler
Columba livia_Rock Pigeon
Anas castanea_Chestnut Teal
Acridotheres tristis_Common Myna
Gelochelidon nilotica_Gull-billed Tern
Apus pacificus_Pacific Swift
Geopelia humeralis_Bar-shouldered Dove
Drymodes brunneopygia_Southern Scrub-Robin
Calidris acuminata_Sharp-tailed Sandpiper
Cormobates leucophaea_White-throated Treecreeper
Haliaeetus leucogaster_White-bellied Sea-Eagle
Antigone rubicunda_Brolga
Grantiella picta_Painted Honeyeater
Anthochaera carunculata_Red Wattlebird
Caligavis chrysops_Yellow-faced Honeyeater
Podiceps cristatus_Great Crested Grebe
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Lichmera indistincta_Brown Honeyeater
Egretta garzetta_Little Egret
Turnix varius_Painted Buttonquail
Neochmia temporalis_Red-browed Firetail
Bubulcus ibis_Cattle Egret
Calyptorhynchus lathami_Glossy Black-Cockatoo
Melithreptus gularis_Black-chinned Honeyeater
Streptopelia chinensis_Spotted Dove
Glossopsitta concinna_Musk Lorikeet
Platycercus adscitus_Pale-headed Rosella
Zapornia tabuensis_Spotless Crake
Ptilotula fusca_Fuscous Honeyeater
Neophema pulchella_Turquoise Parrot
Hirundapus caudacutus_White-throated Needletail
Sericornis frontalis_White-browed Scrubwren
Trichoglossus moluccanus_Rainbow Lorikeet
Cisticola exilis_Golden-headed Cisticola
Eurystomus orientalis_Dollarbird
Ixobrychus dubius_Black-backed Bittern
Acanthiza lineata_Striated Thornbill
Anseranas semipalmata_Magpie Goose
Calidris ruficollis_Red-necked Stint
Acanthorhynchus tenuirostris_Eastern Spinebill
Melithreptus lunatus_White-naped Honeyeater
Cinclosoma castaneothorax_Chestnut-breasted Quail-thrush
Parvipsitta pusilla_Little Lorikeet
Lichenostomus melanops_Yellow-tufted Honeyeater
Tringa stagnatilis_Marsh Sandpiper
Tringa nebularia_Common Greenshank
Alisterus scapularis_Australian King-Parrot
Burhinus grallarius_Bush Thick-knee
Psophodes cristatus_Chirruping Wedgebill
Gallirallus philippensis_Buff-banded Rail
Cacatua tenuirostris_Long-billed Corella
Gallinago hardwickii_Latham's Snipe
Limosa lapponica_Bar-tailed Godwit
Scythrops novaehollandiae_Channel-billed Cuckoo
Strepera versicolor_Gray Currawong
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Pyrrholaemus brunneus_Redthroat
Calidris ferruginea_Curlew Sandpiper
Petroica boodang_Scarlet Robin
Arenaria interpres_Ruddy Turnstone
Pardalotus rubricatus_Red-browed Pardalote
Gerygone olivacea_White-throated Gerygone
Acanthiza pusilla_Brown Thornbill
Myiagra rubecula_Leaden Flycatcher
Tyto novaehollandiae_Australian Masked-Owl
Charadrius bicinctus_Double-banded Plover
Calidris melanotos_Pectoral Sandpiper
Petroica rosea_Rose Robin
Eudynamys orientalis_Pacific Koel
Ceyx azureus_Azure Kingfisher
Thalasseus bergii_Great Crested Tern
Polytelis anthopeplus_Regent Parrot
Numenius phaeopus_Whimbrel
Chlidonias leucopterus_White-winged Tern
Calidris canutus_Red Knot
Pluvialis fulva_Pacific Golden-Plover
Calidris alba_Sanderling
Pandion haliaetus_Osprey
Petroica phoenicea_Flame Robin
Tringa glareola_Wood Sandpiper
Corvus orru_Torresian Crow
Cacomantis variolosus_Brush Cuckoo
