Hemiprocne mystacea_Moustached Treeswift
Porphyrio melanotus_Australasian Swamphen
Tanysiptera sylvia_Buff-breasted Paradise-Kingfisher
Colluricincla megarhyncha_Arafura Shrikethrush
Egretta novaehollandiae_White-faced Heron
Centropus phasianinus_Pheasant Coucal
Calidris tenuirostris_Great Knot
Gerygone palpebrosa_Fairy Gerygone
Colluricincla harmonica_Gray Shrikethrush
Zapornia pusilla_Baillon's Crake
Phalacrocorax carbo_Great Cormorant
Pachycephala simplex_Gray Whistler
Tringa brevipes_Gray-tailed Tattler
Rhipidura rufiventris_Northern Fantail
Fregata minor_Great Frigatebird
Myzomela obscura_Dusky Myzomela
Ardea intermedia_Intermediate Egret
Mirafra javanica_Australasian Bushlark
Todiramphus macleayii_Forest Kingfisher
Artamus leucorynchus_White-breasted Woodswallow
Cacomantis variolosus_Brush Cuckoo
Esacus magnirostris_Beach Thick-knee
Monarcha frater_Black-winged Monarch
Calidris falcinellus_Broad-billed Sandpiper
Passer domesticus_House Sparrow
Chlidonias hybrida_Whiskered Tern
Petrochelidon nigricans_Tree Martin
Amaurornis moluccana_Pale-vented Bush-hen
Chlidonias leucopterus_White-winged Tern
Dicrurus bracteatus_Spangled Drongo
Philemon buceroides_Helmeted Friarbird
Probosciger aterrimus_Palm Cockatoo
Eurystomus orientalis_Dollarbird
Scythrops novaehollandiae_Channel-billed Cuckoo
Aviceda subcristata_Pacific Baza
Fulica atra_Eurasian Coot
Edolisoma tenuirostre_Common Cicadabird
Anas gracilis_Gray Teal
Pitta sordida_Hooded Pitta
Ninox connivens_Barking Owl
Hirundo tahitica_Pacific Swallow
Charadrius veredus_Oriental Plover
Himantopus leucocephalus_Pied Stilt
Gymnorhina tibicen_Australian Magpie
Coracina novaehollandiae_Black-faced Cuckooshrike
Thalasseus bengalensis_Lesser Crested Tern
Machaerirhynchus flaviventer_Yellow-breasted Boatbill
Gallinula tenebrosa_Dusky Moorhen
Neochmia phaeton_Crimson Finch
Gerygone chloronota_Green-backed Gerygone
Glareola maldivarum_Oriental Pratincole
Gallirallus philippensis_Buff-banded Rail
Haliastur indus_Brahminy Kite
Podargus ocellatus_Marbled Frogmouth
Accipiter fasciatus_Brown Goshawk
Tringa glareola_Wood Sandpiper
Sula sula_Red-footed Booby
Merops ornatus_Rainbow Bee-eater
Milvus migrans_Black Kite
Coracina papuensis_White-bellied Cuckooshrike
Cacomantis castaneiventris_Chestnut-breasted Cuckoo
Lalage leucomela_Varied Triller
Gelochelidon nilotica_Gull-billed Tern
Haematopus longirostris_Pied Oystercatcher
Motacilla cinerea_Gray Wagtail
Synoicus ypsilophorus_Brown Quail
Cincloramphus timoriensis_Tawny Grassbird
Microeca flavigaster_Lemon-bellied Flycatcher
Myiagra alecto_Shining Flycatcher
Cuculus optatus_Oriental Cuckoo
Charadrius leschenaultii_Greater Sand-Plover
Anhinga novaehollandiae_Australasian Darter
Ceyx azureus_Azure Kingfisher
Eudynamys orientalis_Pacific Koel
Poliolimnas cinereus_White-browed Crake
Sula leucogaster_Brown Booby
Merops philippinus_Blue-tailed Bee-eater
Saxicola caprata_Pied Bushchat
Limosa lapponica_Bar-tailed Godwit
Tyto alba_Barn Owl
Arenaria interpres_Ruddy Turnstone
Charadrius mongolus_Lesser Sand-Plover
Onychoprion anaethetus_Bridled Tern
Threskiornis molucca_Australian Ibis
Monarcha melanopsis_Black-faced Monarch
Actitis hypoleucos_Common Sandpiper
Ptilinopus magnificus_Wompoo Fruit-Dove
Philemon corniculatus_Noisy Friarbird
Motacilla tschutschensis_Eastern Yellow Wagtail
Anseranas semipalmata_Magpie Goose
Rallina tricolor_Red-necked Crake
Dacelo leachii_Blue-winged Kookaburra
Radjah radjah_Radjah Shelduck
Ardea alba_Great Egret
Numenius phaeopus_Whimbrel
Falco berigora_Brown Falcon
Pluvialis fulva_Pacific Golden-Plover
Apus pacificus_Pacific Swift
Geopelia placida_Peaceful Dove
Haliastur sphenurus_Whistling Kite
Ixobrychus flavicollis_Black Bittern
Falco peregrinus_Peregrine Falcon
Accipiter cirrocephalus_Collared Sparrowhawk
Phaethon lepturus_White-tailed Tropicbird
Symposiachrus trivirgatus_Spectacled Monarch
Caprimulgus macrurus_Large-tailed Nightjar
Chalcophaps longirostris_Pacific Emerald Dove
Tachybaptus novaehollandiae_Australasian Grebe
Antigone rubicunda_Brolga
Ninox boobook_Southern Boobook
Anthus novaeseelandiae_Australasian Pipit
Haliaeetus leucogaster_White-bellied Sea-Eagle
Dendrocygna eytoni_Plumed Whistling-Duck
Cacatua sanguinea_Little Corella
Calidris ruficollis_Red-necked Stint
Tringa stagnatilis_Marsh Sandpiper
Casuarius casuarius_Southern Cassowary
Pluvialis squatarola_Black-bellied Plover
Sternula albifrons_Little Tern
Ptiloprora perstriata_Gray-streaked Honeyeater
Zosterops atricapilla_Black-capped White-eye
Pandion haliaetus_Osprey
Hydroprogne caspia_Caspian Tern
Turdus poliocephalus_Island Thrush
Pitta versicolor_Noisy Pitta
Muscicapa griseisticta_Gray-streaked Flycatcher
Coracina longicauda_Hooded Cuckooshrike
Myiagra rubecula_Leaden Flycatcher
Bulweria bulwerii_Bulwer's Petrel
Tyto tenebricosa_Sooty Owl
Peltops montanus_Mountain Peltops
Tringa nebularia_Common Greenshank
Ifrita kowaldi_Blue-capped Ifrita
Todiramphus sanctus_Sacred Kingfisher
Sericornis papuensis_Papuan Scrubwren
Melithreptus albogularis_White-throated Honeyeater
Coracina lineata_Barred Cuckooshrike
Cicinnurus magnificus_Magnificent Bird-of-Paradise
Erythrura trichroa_Blue-faced Parrotfinch
Ptilorrhoa caerulescens_Blue Jewel-babbler
Talegalla jobiensis_Red-legged Brushturkey
Ptilorrhoa castanonota_Chestnut-backed Jewel-babbler
Ixobrychus sinensis_Yellow Bittern
Peneothello sigillata_White-winged Robin
Chroicocephalus novaehollandiae_Silver Gull
Columba vitiensis_Metallic Pigeon
Epimachus meyeri_Brown Sicklebill
Seleucidis melanoleucus_Twelve-wired Bird-of-Paradise
Sterna dougallii_Roseate Tern
Gallinago hardwickii_Latham's Snipe
Rhipidura threnothorax_Sooty Thicket-Fantail
Oriolus szalayi_Brown Oriole
Orthonyx novaeguineae_Papuan Logrunner
Edolisoma montanum_Black-bellied Cicadabird
Cacomantis leucolophus_White-crowned Koel
Centropus menbeki_Greater Black Coucal
Melidectes belfordi_Belford's Melidectes
Anous stolidus_Brown Noddy
Cinclosoma ajax_Painted Quail-thrush
Harpyopsis novaeguineae_New Guinea Eagle
Acrocephalus australis_Australian Reed Warbler
Corvus orru_Torresian Crow
Caligavis subfrenata_Black-throated Honeyeater
Ardenna carneipes_Flesh-footed Shearwater
Corvus tristis_Gray Crow
Oriolus sagittatus_Olive-backed Oriole
Sterna hirundo_Common Tern
Elanus caeruleus_Black-winged Kite
Drepanornis albertisi_Black-billed Sicklebill
Geopelia humeralis_Bar-shouldered Dove
Cisticola exilis_Golden-headed Cisticola
Grallina cyanoleuca_Magpie-lark
Limosa limosa_Black-tailed Godwit
Gallinago megala_Swinhoe's Snipe
Pachycare flavogriseum_Goldenface
Zapornia tabuensis_Spotless Crake
Pomatostomus temporalis_Gray-crowned Babbler
Melanorectes nigrescens_Black Pitohui
Rhipidura leucothorax_White-bellied Thicket-Fantail
Ninox theomacha_Papuan Boobook
Calidris ferruginea_Curlew Sandpiper
Melidora macrorrhina_Hook-billed Kingfisher
Amalocichla incerta_Lesser Ground-Robin
Crateroscelis murina_Rusty Mouse-Warbler
Burhinus grallarius_Bush Thick-knee
Oreocharis arfaki_Tit Berrypecker
Stercorarius pomarinus_Pomarine Jaeger
Calidris alba_Sanderling
Heteromyias albispecularis_Ashy Robin
Chrysococcyx basalis_Horsfield's Bronze-Cuckoo
Ptilorrhoa leucosticta_Spotted Jewel-babbler
Melampitta lugubris_Lesser Melampitta
Aleadryas rufinucha_Rufous-naped Bellbird
Onychoprion fuscatus_Sooty Tern
Gerygone levigaster_Mangrove Gerygone
Lorius lory_Black-capped Lory
Numenius madagascariensis_Far Eastern Curlew
Cincloramphus macrurus_Papuan Grassbird
Rhipidura atra_Black Fantail
Rhipidura brachyrhyncha_Dimorphic Fantail
Ardenna pacifica_Wedge-tailed Shearwater
Machaerirhynchus nigripectus_Black-breasted Boatbill
Malurus alboscapulatus_White-shouldered Fairywren
Poecilodryas hypoleuca_Black-sided Robin
Rhipidura rufifrons_Rufous Fantail
Circus approximans_Swamp Harrier
Myiagra cyanoleuca_Satin Flycatcher
Calidris acuminata_Sharp-tailed Sandpiper
Charmosyna papou_Papuan Lorikeet
Pachycephala soror_Sclater's Whistler
Sula dactylatra_Masked Booby
Eurostopodus mystacalis_White-throated Nightjar
Aprosmictus erythropterus_Red-winged Parrot
Xenus cinereus_Terek Sandpiper
Crateroscelis robusta_Mountain Mouse-Warbler
Peneothello cyanus_Blue-gray Robin
Myzomela rosenbergii_Red-collared Myzomela
Pachycephala schlegelii_Regent Whistler
Anous minutus_Black Noddy
Alcedo atthis_Common Kingfisher
Entomyzon cyanotis_Blue-faced Honeyeater
Hirundo rustica_Barn Swallow
Tyto novaehollandiae_Australian Masked-Owl
Tringa incana_Wandering Tattler
Lichmera indistincta_Brown Honeyeater
Melidectes rufocrissalis_Yellow-browed Melidectes
Rhipidura albolimbata_Friendly Fantail
Lalage tricolor_White-winged Triller
Microeca fascinans_Jacky-winter
Philemon citreogularis_Little Friarbird
Dacelo gaudichaud_Rufous-bellied Kookaburra
Spatula querquedula_Garganey
Acrocephalus orientalis_Oriental Reed Warbler
Pteridophora alberti_King-of-Saxony Bird-of-Paradise
Charadrius dubius_Little Ringed Plover
Epimachus fastosus_Black Sicklebill
Lophorina superba_Greater Lophorina
Lonchura castaneothorax_Chestnut-breasted Munia
Gerygone olivacea_White-throated Gerygone
Phalaropus lobatus_Red-necked Phalarope
Nettapus coromandelianus_Cotton Pygmy-Goose
Macropygia doreya_Sultan's Cuckoo-Dove
Calidris pugnax_Ruff
Calidris subminuta_Long-toed Stint
Ducula pistrinaria_Island Imperial-Pigeon
Ducula concinna_Elegant Imperial-Pigeon
Ptiloprora guisei_Rufous-backed Honeyeater
Cecropis daurica_Red-rumped Swallow
Pycnonotus aurigaster_Sooty-headed Bulbul
Cormobates placens_Papuan Treecreeper
Petrochelidon ariel_Fairy Martin
Anhinga melanogaster_Oriental Darter
Tachybaptus ruficollis_Little Grebe
Cuculus saturatus_Himalayan Cuckoo
Todiramphus chloris_Collared Kingfisher
Colluricincla rufogaster_Rufous Shrikethrush
Gallirallus torquatus_Barred Rail
Lewinia pectoralis_Lewin's Rail
Paradisaea minor_Lesser Bird-of-Paradise
Ducula bicolor_Pied Imperial-Pigeon
Ixobrychus dubius_Black-backed Bittern
Todiramphus sordidus_Torresian Kingfisher
Chalcophaps indica_Asian Emerald Dove
Ixobrychus cinnamomeus_Cinnamon Bittern
Otus magicus_Moluccan Scops-Owl
Aplonis mysolensis_Moluccan Starling
Limnodromus semipalmatus_Asian Dowitcher
Geopelia striata_Zebra Dove
Calidris canutus_Red Knot
Ducula pacifica_Pacific Imperial-Pigeon
Megapodius freycinet_Dusky Scrubfowl
Circus melanoleucos_Pied Harrier
Cecropis striolata_Striated Swallow
Streptopelia chinensis_Spotted Dove
Dicaeum hirundinaceum_Mistletoebird
Ardenna grisea_Sooty Shearwater
Macropygia mackinlayi_Mackinlay's Cuckoo-Dove
Aegotheles cristatus_Australian Owlet-nightjar
Eurostopodus argus_Spotted Nightjar
Cacomantis pallidus_Pallid Cuckoo
Butastur indicus_Gray-faced Buzzard
Ptilinopus solomonensis_Yellow-bibbed Fruit-Dove
Puffinus bailloni_Tropical Shearwater
Gygis alba_White Tern
Orthonyx temminckii_Australian Logrunner
Cicinnurus respublica_Wilson's Bird-of-Paradise
Paradisaea rubra_Red Bird-of-Paradise
Poodytes gramineus_Little Grassbird
Lanius cristatus_Brown Shrike
Stercorarius parasiticus_Parasitic Jaeger
Ardenna tenuirostris_Short-tailed Shearwater
Lonchura punctulata_Scaly-breasted Munia
Gallus gallus_Red Junglefowl
Megapodius eremita_Melanesian Scrubfowl
Mino kreffti_Long-tailed Myna
Geoffroyus heteroclitus_Singing Parrot
Ducula rubricera_Red-knobbed Imperial-Pigeon
Stercorarius longicaudus_Long-tailed Jaeger
Onychoprion lunatus_Gray-backed Tern
Todiramphus tristrami_Melanesian Kingfisher
Apus nipalensis_House Swift
Lonchura atricapilla_Chestnut Munia
Chroicocephalus ridibundus_Black-headed Gull
Calidris melanotos_Pectoral Sandpiper
Ardea purpurea_Purple Heron
Accipiter soloensis_Chinese Sparrowhawk
Zosterops atrifrons_Black-crowned White-eye
Gallinago stenura_Pin-tailed Snipe
Urodynamis taitensis_Long-tailed Koel
Taeniopygia guttata_Zebra Finch
Ptilinopus regina_Rose-crowned Fruit-Dove
