Acridotheres tristis_Common Myna
Rostratula benghalensis_Greater Painted-Snipe
Pluvialis squatarola_Black-bellied Plover
Dicrurus forficatus_Crested Drongo
Phoeniconaias minor_Lesser Flamingo
Hypsipetes madagascariensis_Malagasy Bulbul
Ardea purpurea_Purple Heron
Hirundo rustica_Barn Swallow
Copsychus albospecularis_Madagascar Magpie-Robin
Centropus toulou_Malagasy Coucal
Nycticorax nycticorax_Black-crowned Night-Heron
Chlidonias hybrida_Whiskered Tern
Neomixis tenella_Common Jery
Tyto alba_Barn Owl
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Sula dactylatra_Masked Booby
Hydroprogne caspia_Caspian Tern
Plegadis falcinellus_Glossy Ibis
Calidris alba_Sanderling
Coracopsis nigra_Lesser Vasa Parrot
Ixobrychus minutus_Little Bittern
Charadrius hiaticula_Common Ringed Plover
Upupa marginata_Madagascar Hoopoe
Ploceus sakalava_Sakalava Weaver
Newtonia brunneicauda_Common Newtonia
Phedina borbonica_Mascarene Martin
Zosterops maderaspatanus_Malagasy White-eye
Cisticola cherina_Madagascar Cisticola
Coua cristata_Crested Coua
Sterna hirundo_Common Tern
Anous tenuirostris_Lesser Noddy
Coturnix coturnix_Common Quail
Coturnix delegorguei_Harlequin Quail
Calidris minuta_Little Stint
Otus madagascariensis_Torotoroka Scops-Owl
Caprimulgus madagascariensis_Madagascar Nightjar
Coua gigas_Giant Coua
Eremopterix hova_Madagascar Lark
Athene superciliaris_White-browed Owl
Falco peregrinus_Peregrine Falcon
Zapornia pusilla_Baillon's Crake
Vanga curvirostris_Hook-billed Vanga
Agapornis canus_Gray-headed Lovebird
Neomixis striatigula_Stripe-throated Jery
Motacilla flaviventris_Madagascar Wagtail
Nesillas lantzii_Subdesert Brush-Warbler
Numenius arquata_Eurasian Curlew
Buteo brachypterus_Madagascar Buzzard
Coracina cinerea_Madagascar Cuckooshrike
Monticola sharpei_Forest Rock-Thrush
Bernieria madagascariensis_Long-billed Bernieria
Coua ruficeps_Red-capped Coua
Leptosomus discolor_Cuckoo-roller
Calicalicus madagascariensis_Red-tailed Vanga
Coua caerulea_Blue Coua
Ploceus nelicourvi_Nelicourvi Weaver
Atelornis pittoides_Pitta-like Ground-Roller
Nesillas typica_Malagasy Brush-Warbler
Newtonia archboldi_Archbold's Newtonia
Schetba rufa_Rufous Vanga
Coracopsis vasa_Greater Vasa Parrot
Cyanolanius madagascarinus_Blue Vanga
Mesitornis unicolor_Brown Mesite
Tylas eduardi_Tylas Vanga
Xenopirostris damii_Van Dam's Vanga
Coua coquereli_Coquerel's Coua
Mystacornis crossleyi_Crossley's Vanga
Bradypterus brunneus_Brown Emutail
Mesitornis variegatus_White-breasted Mesite
Newtonia amphichroa_Dark Newtonia
Xanthomixis zosterops_Spectacled Tetraka
Crossleyia xanthophrys_Yellow-browed Oxylabes
Coua reynaudii_Red-fronted Coua
Xenopirostris polleni_Pollen's Vanga
Oxylabes madagascariensis_White-throated Oxylabes
Cryptosylvicola randrianasoloi_Cryptic Warbler
Atelornis crossleyi_Rufous-headed Ground-Roller
Falculea palliata_Sickle-billed Vanga
Philepitta schlegeli_Schlegel's Asity
Sarothrura insularis_Madagascar Flufftail
Acrocephalus newtoni_Madagascar Swamp Warbler
Coua serriana_Red-breasted Coua
Otus rutilus_Madagascar Scops-Owl
Dryolimnas cuvieri_White-throated Rail
Gallus gallus_Red Junglefowl
Perdicula asiatica_Jungle Bush-Quail
Columba livia_Rock Pigeon
Lonchura punctulata_Scaly-breasted Munia
Pandion haliaetus_Osprey
