Coereba flaveola_Bananaquit
Phaeomyias murina_Mouse-colored Tyrannulet
Tersina viridis_Swallow Tanager
Limosa fedoa_Marbled Godwit
Stercorarius pomarinus_Pomarine Jaeger
Cardinalis phoeniceus_Vermilion Cardinal
Pyrocephalus rubinus_Vermilion Flycatcher
Sporophila minuta_Ruddy-breasted Seedeater
Piaya cayana_Squirrel Cuckoo
Phimosus infuscatus_Bare-faced Ibis
Calidris canutus_Red Knot
Myiozetetes cayanensis_Rusty-margined Flycatcher
Chlidonias niger_Black Tern
Setophaga pitiayumi_Tropical Parula
Gymnomystax mexicanus_Oriole Blackbird
Sula sula_Red-footed Booby
Chrysuronia oenone_Golden-tailed Sapphire
Picumnus squamulatus_Scaled Piculet
Contopus cinereus_Tropical Pewee
Xiphorhynchus susurrans_Cocoa Woodcreeper
Coryphospingus pileatus_Pileated Finch
Anthracothorax nigricollis_Black-throated Mango
Tolmomyias flaviventris_Yellow-breasted Flycatcher
Buteo nitidus_Gray-lined Hawk
Leiothlypis peregrina_Tennessee Warbler
Spinus psaltria_Lesser Goldfinch
Accipiter striatus_Sharp-shinned Hawk
Aramides cajaneus_Gray-cowled Wood-Rail
Pionus sordidus_Red-billed Parrot
Anhinga anhinga_Anhinga
Geranoaetus albicaudatus_White-tailed Hawk
Hypnelus ruficollis_Russet-throated Puffbird
Crypturellus soui_Little Tinamou
Megascops choliba_Tropical Screech-Owl
Chaetura brachyura_Short-tailed Swift
Margarops fuscatus_Pearly-eyed Thrasher
Tinamus tao_Gray Tinamou
Ara ararauna_Blue-and-yellow Macaw
Sakesphorus canadensis_Black-crested Antshrike
Arremonops conirostris_Black-striped Sparrow
Tachornis squamata_Fork-tailed Palm-Swift
Stilpnia cyanoptera_Black-headed Tanager
Elaenia parvirostris_Small-billed Elaenia
Basileuterus tristriatus_Three-striped Warbler
Patagioenas cayennensis_Pale-vented Pigeon
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Leptopogon superciliaris_Slaty-capped Flycatcher
Chrysomus icterocephalus_Yellow-hooded Blackbird
Sturnella magna_Eastern Meadowlark
Puffinus puffinus_Manx Shearwater
Crypturellus erythropus_Red-legged Tinamou
Parabuteo unicinctus_Harris's Hawk
Ramphocelus carbo_Silver-beaked Tanager
Fluvicola pica_Pied Water-Tyrant
Ramphocaenus melanurus_Long-billed Gnatwren
Contopus cooperi_Olive-sided Flycatcher
Elaenia frantzii_Mountain Elaenia
Stilpnia cayana_Burnished-buff Tanager
Campylorhamphus trochilirostris_Red-billed Scythebill
Geotrygon montana_Ruddy Quail-Dove
Protonotaria citrea_Prothonotary Warbler
Chionomesa fimbriata_Glittering-throated Emerald
Buteo brachyurus_Short-tailed Hawk
Chordeiles nacunda_Nacunda Nighthawk
Syrigma sibilatrix_Whistling Heron
Cnemotriccus fuscatus_Fuscous Flycatcher
Ixothraupis guttata_Speckled Tanager
Sporophila bouvronides_Lesson's Seedeater
Myiopagis gaimardii_Forest Elaenia
Lepidocolaptes lacrymiger_Montane Woodcreeper
Turdus fumigatus_Cocoa Thrush
Vireo leucophrys_Brown-capped Vireo
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Colaptes punctigula_Spot-breasted Woodpecker
Sclerurus albigularis_Gray-throated Leaftosser
Herpetotheres cachinnans_Laughing Falcon
Mycteria americana_Wood Stork
Turdus serranus_Glossy-black Thrush
Glaucis hirsutus_Rufous-breasted Hermit
Buteo albonotatus_Zone-tailed Hawk
Patagioenas leucocephala_White-crowned Pigeon
Pionus menstruus_Blue-headed Parrot
Molothrus oryzivorus_Giant Cowbird
Coccyzus melacoryphus_Dark-billed Cuckoo
Aramides axillaris_Rufous-necked Wood-Rail
Jacana jacana_Wattled Jacana
Myiarchus tuberculifer_Dusky-capped Flycatcher
Dryocopus lineatus_Lineated Woodpecker
Buteo jamaicensis_Red-tailed Hawk
Mionectes oleagineus_Ochre-bellied Flycatcher
Pachyramphus albogriseus_Black-and-white Becard
Stercorarius parasiticus_Parasitic Jaeger
Megaceryle torquata_Ringed Kingfisher
Myiarchus antillarum_Puerto Rican Flycatcher
Atalotriccus pilaris_Pale-eyed Pygmy-Tyrant
Chordeiles acutipennis_Lesser Nighthawk
Petrochelidon fulva_Cave Swallow
Pachyramphus rufus_Cinereous Becard
Elaenia chiriquensis_Lesser Elaenia
Onychoprion anaethetus_Bridled Tern
Ictinia plumbea_Plumbeous Kite
Tangara gyrola_Bay-headed Tanager
Buteogallus meridionalis_Savanna Hawk
Florisuga mellivora_White-necked Jacobin
Aeronautes montivagus_White-tipped Swift
Aglaiocercus kingii_Long-tailed Sylph
Icterus auricapillus_Orange-crowned Oriole
Dendrocincla fuliginosa_Plain-brown Woodcreeper
Colibri cyanotus_Lesser Violetear
Myrmotherula schisticolor_Slaty Antwren
Pheucticus chrysogaster_Golden Grosbeak
Tachycineta albiventer_White-winged Swallow
Lepidocolaptes souleyetii_Streak-headed Woodcreeper
Cyanocorax yncas_Green Jay
Sphenopsis frontalis_Oleaginous Hemispingus
Legatus leucophaius_Piratic Flycatcher
Sporathraupis cyanocephala_Blue-capped Tanager
Basileuterus culicivorus_Golden-crowned Warbler
Chloroceryle americana_Green Kingfisher
Empidonomus varius_Variegated Flycatcher
Spiza americana_Dickcissel
Turdus albicollis_White-necked Thrush
Buteogallus urubitinga_Great Black Hawk
Cyanoloxia brissonii_Ultramarine Grosbeak
Hemithraupis guira_Guira Tanager
Phaetusa simplex_Large-billed Tern
Sittasomus griseicapillus_Olivaceous Woodcreeper
Henicorhina leucophrys_Gray-breasted Wood-Wren
Onychoprion fuscatus_Sooty Tern
Ardea cocoi_Cocoi Heron
Columbina minuta_Plain-breasted Ground Dove
Pheugopedius mystacalis_Whiskered Wren
Chlorestes cyanus_White-chinned Sapphire
Xenops minutus_Plain Xenops
Pachyramphus polychopterus_White-winged Becard
Phasianus colchicus_Ring-necked Pheasant
Spatula clypeata_Northern Shoveler
Myioborus miniatus_Slate-throated Redstart
Cantorchilus leucotis_Buff-breasted Wren
Icterus galbula_Baltimore Oriole
Setophaga adelaidae_Adelaide's Warbler
Rhodinocichla rosea_Rosy Thrush-Tanager
Nyctidromus albicollis_Common Pauraque
Turdus flavipes_Yellow-legged Thrush
Melanerpes portoricensis_Puerto Rican Woodpecker
Aulacorhynchus sulcatus_Groove-billed Toucanet
Anas acuta_Northern Pintail
Pheucticus ludovicianus_Rose-breasted Grosbeak
Leptodon cayanensis_Gray-headed Kite
Myadestes ralloides_Andean Solitaire
Setophaga pensylvanica_Chestnut-sided Warbler
Nyctibius griseus_Common Potoo
Myiodynastes chrysocephalus_Golden-crowned Flycatcher
Colibri delphinae_Brown Violetear
Patagioenas subvinacea_Ruddy Pigeon
Phyllomyias griseiceps_Sooty-headed Tyrannulet
Phaethon aethereus_Red-billed Tropicbird
Mionectes olivaceus_Olive-striped Flycatcher
Accipiter bicolor_Bicolored Hawk
Sternula superciliaris_Yellow-billed Tern
Lophotriccus pileatus_Scale-crested Pygmy-Tyrant
Trogon collaris_Collared Trogon
Myiarchus venezuelensis_Venezuelan Flycatcher
Cacicus cela_Yellow-rumped Cacique
Chloroceryle amazona_Amazon Kingfisher
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Myiophobus flavicans_Flavescent Flycatcher
Bubo virginianus_Great Horned Owl
Progne subis_Purple Martin
Chlorophonia cyanea_Blue-naped Chlorophonia
Sayornis nigricans_Black Phoebe
Chaetura cinereiventris_Gray-rumped Swift
Petrochelidon pyrrhonota_Cliff Swallow
Steatornis caripensis_Oilbird
Diglossa sittoides_Rusty Flowerpiercer
Chondrohierax uncinatus_Hook-billed Kite
Heliodoxa leadbeateri_Violet-fronted Brilliant
Geothlypis aequinoctialis_Masked Yellowthroat
Elanoides forficatus_Swallow-tailed Kite
Spizaetus tyrannus_Black Hawk-Eagle
Drymophila klagesi_Klages's Antbird
Phaethornis striigularis_Stripe-throated Hermit
Spinus xanthogastrus_Yellow-bellied Siskin
Seiurus aurocapilla_Ovenbird
Cyanerpes caeruleus_Purple Honeycreeper
Zentrygon linearis_Lined Quail-Dove
Tityra cayana_Black-tailed Tityra
Geranospiza caerulescens_Crane Hawk
Pitangus lictor_Lesser Kiskadee
Arremon brunneinucha_Chestnut-capped Brushfinch
Zimmerius chrysops_Golden-faced Tyrannulet
Saltator orenocensis_Orinocan Saltator
Arremon schlegeli_Golden-winged Sparrow
Falco rufigularis_Bat Falcon
Capsiempis flaveola_Yellow Tyrannulet
Empidonax alnorum_Alder Flycatcher
Vireo olivaceus_Red-eyed Vireo
Dryobates kirkii_Red-rumped Woodpecker
Campylorhynchus nuchalis_Stripe-backed Wren
Ornithion brunneicapillus_Brown-capped Tyrannulet
Ciccaba virgata_Mottled Owl
Synallaxis cinnamomea_Stripe-breasted Spinetail
Penelope argyrotis_Band-tailed Guan
Crotophaga major_Greater Ani
Elanus leucurus_White-tailed Kite
Ammodramus humeralis_Grassland Sparrow
Coeligena coeligena_Bronzy Inca
Tyrannulus elatus_Yellow-crowned Tyrannulet
Arundinicola leucocephala_White-headed Marsh Tyrant
Schistochlamys melanopis_Black-faced Tanager
Patagioenas speciosa_Scaled Pigeon
Tigrisoma lineatum_Rufescent Tiger-Heron
Xiphocolaptes promeropirhynchus_Strong-billed Woodcreeper
Chlorostilbon gibsoni_Red-billed Emerald
Pyrrhura picta_Painted Parakeet
Geothlypis trichas_Common Yellowthroat
Dysithamnus mentalis_Plain Antvireo
Stilpnia cyanicollis_Blue-necked Tanager
Emberizoides herbicola_Wedge-tailed Grass-Finch
Taraba major_Great Antshrike
Leistes militaris_Red-breasted Meadowlark
Campephilus melanoleucos_Crimson-crested Woodpecker
Catharus aurantiirostris_Orange-billed Nightingale-Thrush
Sporophila angolensis_Chestnut-bellied Seed-Finch
Todus mexicanus_Puerto Rican Tody
Phacellodomus rufifrons_Rufous-fronted Thornbird
Manacus manacus_White-bearded Manakin
Touit batavicus_Lilac-tailed Parrotlet
