Acridotheres tristis_Common Myna
Cinnyris sovimanga_Souimanga Sunbird
Dicrurus forficatus_Crested Drongo
Centropus toulou_Malagasy Coucal
Terpsiphone mutata_Malagasy Paradise-Flycatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Phoeniconaias minor_Lesser Flamingo
Hirundo rustica_Barn Swallow
Sterna hirundo_Common Tern
Copsychus albospecularis_Madagascar Magpie-Robin
Calidris minuta_Little Stint
Plegadis falcinellus_Glossy Ibis
Larus dominicanus_Kelp Gull
Hydroprogne caspia_Caspian Tern
Neomixis tenella_Common Jery
Zosterops maderaspatanus_Malagasy White-eye
Coua cristata_Crested Coua
Upupa marginata_Madagascar Hoopoe
Ploceus sakalava_Sakalava Weaver
Otus madagascariensis_Torotoroka Scops-Owl
Athene superciliaris_White-browed Owl
Ixobrychus minutus_Little Bittern
Caprimulgus madagascariensis_Madagascar Nightjar
Cisticola cherina_Madagascar Cisticola
Newtonia brunneicauda_Common Newtonia
Coua gigas_Giant Coua
Vanga curvirostris_Hook-billed Vanga
Dryolimnas cuvieri_White-throated Rail
Eremopterix hova_Madagascar Lark
Neomixis striatigula_Stripe-throated Jery
Coua ruficeps_Red-capped Coua
Coturnix delegorguei_Harlequin Quail
Buteo brachypterus_Madagascar Buzzard
Coracina cinerea_Madagascar Cuckooshrike
Zapornia pusilla_Baillon's Crake
Coracopsis vasa_Greater Vasa Parrot
Leptosomus discolor_Cuckoo-roller
Nesillas lantzii_Subdesert Brush-Warbler
Motacilla flaviventris_Madagascar Wagtail
Cyanolanius madagascarinus_Blue Vanga
Falculea palliata_Sickle-billed Vanga
Newtonia archboldi_Archbold's Newtonia
Nesillas typica_Malagasy Brush-Warbler
Calicalicus madagascariensis_Red-tailed Vanga
Monticola sharpei_Forest Rock-Thrush
Coua coquereli_Coquerel's Coua
Xenopirostris damii_Van Dam's Vanga
Bradypterus brunneus_Brown Emutail
Ploceus nelicourvi_Nelicourvi Weaver
Bernieria madagascariensis_Long-billed Bernieria
Coua caerulea_Blue Coua
Schetba rufa_Rufous Vanga
Mesitornis unicolor_Brown Mesite
Mesitornis variegatus_White-breasted Mesite
Xanthomixis zosterops_Spectacled Tetraka
Philepitta schlegeli_Schlegel's Asity
Mystacornis crossleyi_Crossley's Vanga
Cryptosylvicola randrianasoloi_Cryptic Warbler
Xenopirostris polleni_Pollen's Vanga
Atelornis crossleyi_Rufous-headed Ground-Roller
Atelornis pittoides_Pitta-like Ground-Roller
Crossleyia xanthophrys_Yellow-browed Oxylabes
Tylas eduardi_Tylas Vanga
Otus rutilus_Madagascar Scops-Owl
Sarothrura insularis_Madagascar Flufftail
Newtonia amphichroa_Dark Newtonia
Coua serriana_Red-breasted Coua
Oxylabes madagascariensis_White-throated Oxylabes
Acrocephalus newtoni_Madagascar Swamp Warbler
Coua reynaudii_Red-fronted Coua
Numenius arquata_Eurasian Curlew
Perdicula asiatica_Jungle Bush-Quail
Gallus gallus_Red Junglefowl
Lonchura punctulata_Scaly-breasted Munia
Columba livia_Rock Pigeon
Ortygornis pondicerianus_Gray Francolin
Phasianus colchicus_Ring-necked Pheasant
Geopelia striata_Zebra Dove
Terpsiphone bourbonnensis_Mascarene Paradise-Flycatcher
Pycnonotus jocosus_Red-whiskered Bulbul
Puffinus bailloni_Tropical Shearwater
Pandion haliaetus_Osprey
Psittacula krameri_Rose-ringed Parakeet
