Pitangus sulphuratus_Great Kiskadee
Tachycineta albiventer_White-winged Swallow
Pheugopedius genibarbis_Moustached Wren
Trogon curucui_Blue-crowned Trogon
Myrmorchilus strigilatus_Stripe-backed Antbird
Gallinula galeata_Common Gallinule
Crotophaga major_Greater Ani
Synallaxis frontalis_Sooty-fronted Spinetail
Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant
Phaethornis pretrei_Planalto Hermit
Hemitriccus margaritaceiventer_Pearly-vented Tody-Tyrant
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Nannopterum brasilianum_Neotropic Cormorant
Megaceryle torquata_Ringed Kingfisher
Fluvicola albiventer_Black-backed Water-Tyrant
Sakesphorus cristatus_Silvery-cheeked Antshrike
Basileuterus culicivorus_Golden-crowned Warbler
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Galbula ruficauda_Rufous-tailed Jacamar
Chionomesa fimbriata_Glittering-throated Emerald
Amazonetta brasiliensis_Brazilian Teal
Porphyrio martinica_Purple Gallinule
Stigmatura napensis_Lesser Wagtail-Tyrant
Synallaxis scutata_Ochre-cheeked Spinetail
Sporophila albogularis_White-throated Seedeater
Crypturellus tataupa_Tataupa Tinamou
Melanerpes candidus_White Woodpecker
Haematopus palliatus_American Oystercatcher
Cacicus solitarius_Solitary Black Cacique
Formicivora melanogaster_Black-bellied Antwren
Rostrhamus sociabilis_Snail Kite
Elaenia spectabilis_Large Elaenia
Crypturellus parvirostris_Small-billed Tinamou
Ammodramus humeralis_Grassland Sparrow
Conirostrum bicolor_Bicolored Conebill
Tachybaptus dominicus_Least Grebe
Turdus amaurochalinus_Creamy-bellied Thrush
Aramus guarauna_Limpkin
Thamnophilus doliatus_Barred Antshrike
Mustelirallus erythrops_Paint-billed Crake
Dacnis cayana_Blue Dacnis
Falco sparverius_American Kestrel
Tigrisoma lineatum_Rufescent Tiger-Heron
Empidonomus varius_Variegated Flycatcher
Xolmis irupero_White Monjita
Tapera naevia_Striped Cuckoo
Dendrocygna viduata_White-faced Whistling-Duck
Arundinicola leucocephala_White-headed Marsh Tyrant
Myiarchus ferox_Short-crested Flycatcher
Aramides cajaneus_Gray-cowled Wood-Rail
Phacellodomus rufifrons_Rufous-fronted Thornbird
Conopophaga cearae_Ceara Gnateater
Gnorimopsar chopi_Chopi Blackbird
Suiriri suiriri_Suiriri Flycatcher
Myiarchus tyrannulus_Brown-crested Flycatcher
Formicivora grisea_White-fringed Antwren
Elaenia cristata_Plain-crested Elaenia
Nemosia pileata_Hooded Tanager
Milvago chimachima_Yellow-headed Caracara
Geranoaetus melanoleucus_Black-chested Buzzard-Eagle
Columbina minuta_Plain-breasted Ground Dove
Laterallus melanophaius_Rufous-sided Crake
Anthus lutescens_Yellowish Pipit
Charadrius semipalmatus_Semipalmated Plover
Himantopus mexicanus_Black-necked Stilt
Leucophaeus atricilla_Laughing Gull
Stelgidopteryx ruficollis_Southern Rough-winged Swallow
Myiopagis viridicata_Greenish Elaenia
Hapalocrex flaviventer_Yellow-breasted Crake
Xenopsaris albinucha_White-naped Xenopsaris
Hemitriccus striaticollis_Stripe-necked Tody-Tyrant
Mimus gilvus_Tropical Mockingbird
Chloroceryle americana_Green Kingfisher
Actitis macularius_Spotted Sandpiper
Dendrocygna bicolor_Fulvous Whistling-Duck
Charadrius collaris_Collared Plover
Chordeiles pusillus_Least Nighthawk
Megascops choliba_Tropical Screech-Owl
Campephilus melanoleucos_Crimson-crested Woodpecker
Myiodynastes maculatus_Streaked Flycatcher
Hydropsalis torquata_Scissor-tailed Nightjar
Chloroceryle amazona_Amazon Kingfisher
Rynchops niger_Black Skimmer
Polytmus guainumbi_White-tailed Goldenthroat
Schistochlamys ruficapillus_Cinnamon Tanager
Progne tapera_Brown-chested Martin
Pachyramphus polychopterus_White-winged Becard
Buteogallus meridionalis_Savanna Hawk
Schistochlamys melanopis_Black-faced Tanager
Conirostrum speciosum_Chestnut-vented Conebill
Piculus chrysochloros_Golden-green Woodpecker
Cariama cristata_Red-legged Seriema
Elaenia albiceps_White-crested Elaenia
Calidris pusilla_Semipalmated Sandpiper
Egretta caerulea_Little Blue Heron
Limnodromus griseus_Short-billed Dowitcher
Setophaga pitiayumi_Tropical Parula
Falco femoralis_Aplomado Falcon
Podilymbus podiceps_Pied-billed Grebe
Platyrinchus mystaceus_White-throated Spadebill
Tyrannus savana_Fork-tailed Flycatcher
Calidris himantopus_Stilt Sandpiper
Myiarchus swainsoni_Swainson's Flycatcher
Fregata magnificens_Magnificent Frigatebird
Buteo nitidus_Gray-lined Hawk
Molothrus rufoaxillaris_Screaming Cowbird
Cnemotriccus fuscatus_Fuscous Flycatcher
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Myiophobus fasciatus_Bran-colored Flycatcher
Phaeomyias murina_Mouse-colored Tyrannulet
Thlypopsis sordida_Orange-headed Tanager
Nyctidromus albicollis_Common Pauraque
Athene cunicularia_Burrowing Owl
Gampsonyx swainsonii_Pearl Kite
Thamnophilus torquatus_Rufous-winged Antshrike
Geranospiza caerulescens_Crane Hawk
Colaptes campestris_Campo Flicker
Sternula antillarum_Least Tern
Vireo chivi_Chivi Vireo
Pachyramphus viridis_Green-backed Becard
Sicalis luteola_Grassland Yellow-Finch
Nengetus cinereus_Gray Monjita
Cairina moschata_Muscovy Duck
Cacicus cela_Yellow-rumped Cacique
Herpetotheres cachinnans_Laughing Falcon
Nyctanassa violacea_Yellow-crowned Night-Heron
Penelope superciliaris_Rusty-margined Guan
Vanellus cayanus_Pied Lapwing
Setopagis parvula_Little Nightjar
Pachyramphus validus_Crested Becard
Amazona aestiva_Turquoise-fronted Parrot
Sporophila bouvreuil_Copper Seedeater
Leptotila rufaxilla_Gray-fronted Dove
Campylorhamphus trochilirostris_Red-billed Scythebill
Chiroxiphia pareola_Blue-backed Manakin
Sporophila nigricollis_Yellow-bellied Seedeater
Nyctibius griseus_Common Potoo
Sternula superciliaris_Yellow-billed Tern
Ardea cocoi_Cocoi Heron
Sublegatus modestus_Southern Scrub-Flycatcher
Geranoaetus albicaudatus_White-tailed Hawk
Tringa melanoleuca_Greater Yellowlegs
Dysithamnus mentalis_Plain Antvireo
Tringa flavipes_Lesser Yellowlegs
Parabuteo unicinctus_Harris's Hawk
Sittasomus griseicapillus_Olivaceous Woodcreeper
Elanus leucurus_White-tailed Kite
Arenaria interpres_Ruddy Turnstone
Streptoprocne biscutata_Biscutate Swift
Sporophila lineola_Lined Seedeater
Anhinga anhinga_Anhinga
Formicivora rufa_Rusty-backed Antwren
Coccyzus euleri_Pearly-breasted Cuckoo
Buteo brachyurus_Short-tailed Hawk
Columbina passerina_Common Ground Dove
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Chordeiles nacunda_Nacunda Nighthawk
Piranga flava_Hepatic Tanager
Phaetusa simplex_Large-billed Tern
Hirundo rustica_Barn Swallow
Anthracothorax nigricollis_Black-throated Mango
Buteogallus urubitinga_Great Black Hawk
Tringa solitaria_Solitary Sandpiper
Laterallus exilis_Gray-breasted Crake
Claravis pretiosa_Blue Ground Dove
Synallaxis albescens_Pale-breasted Spinetail
Chondrohierax uncinatus_Hook-billed Kite
Calidris minutilla_Least Sandpiper
Phaethornis ruber_Reddish Hermit
Calidris canutus_Red Knot
Brotogeris chiriri_Yellow-chevroned Parakeet
Antrostomus rufus_Rufous Nightjar
Buteo albonotatus_Zone-tailed Hawk
Ixobrychus exilis_Least Bittern
Tyto alba_Barn Owl
Cyanoloxia brissonii_Ultramarine Grosbeak
Sterna hirundo_Common Tern
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Hirundinea ferruginea_Cliff Flycatcher
Nycticorax nycticorax_Black-crowned Night-Heron
Numenius phaeopus_Whimbrel
Petrochelidon pyrrhonota_Cliff Swallow
Coccyzus melacoryphus_Dark-billed Cuckoo
Calidris alba_Sanderling
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Primolius maracana_Blue-winged Macaw
Rallus longirostris_Mangrove Rail
Sula sula_Red-footed Booby
Systellura longirostris_Band-winged Nightjar
Glaucis hirsutus_Rufous-breasted Hermit
Tachyphonus rufus_White-lined Tanager
Accipiter bicolor_Bicolored Hawk
Pluvialis squatarola_Black-bellied Plover
Porphyriops melanops_Spot-flanked Gallinule
Gallinago paraguaiae_Paraguayan Snipe
Nothura maculosa_Spotted Nothura
Falco peregrinus_Peregrine Falcon
Coccyzus americanus_Yellow-billed Cuckoo
Eupsittula aurea_Peach-fronted Parakeet
Chlorestes notata_Blue-chinned Sapphire
Sterna dougallii_Roseate Tern
Asio clamator_Striped Owl
Euphonia violacea_Violaceous Euphonia
Pluvialis dominica_American Golden-Plover
Charadrius wilsonia_Wilson's Plover
Calidris fuscicollis_White-rumped Sandpiper
Tringa semipalmata_Willet
Sterna paradisaea_Arctic Tern
Hydrobates leucorhous_Leach's Storm-Petrel
Pandion haliaetus_Osprey
Gelochelidon nilotica_Gull-billed Tern
Calidris melanotos_Pectoral Sandpiper
Accipiter striatus_Sharp-shinned Hawk
Pipra fasciicauda_Band-tailed Manakin
Thalasseus sandvicensis_Sandwich Tern
Pardirallus maculatus_Spotted Rail
Puffinus puffinus_Manx Shearwater
Selenidera gouldii_Gould's Toucanet
Mycteria americana_Wood Stork
Antilophia bokermanni_Araripe Manakin
Thalurania furcata_Fork-tailed Woodnymph
Zimmerius acer_Guianan Tyrannulet
Hemithraupis guira_Guira Tanager
Calonectris diomedea_Cory's Shearwater
Dendrocolaptes platyrostris_Planalto Woodcreeper
Phyllomyias fasciatus_Planalto Tyrannulet
Micrastur semitorquatus_Collared Forest-Falcon
Stercorarius parasiticus_Parasitic Jaeger
Ictinia plumbea_Plumbeous Kite
Ixobrychus involucris_Stripe-backed Bittern
Sclerurus scansor_Rufous-breasted Leaftosser
Onychoprion fuscatus_Sooty Tern
Cercomacroides laeta_Willis's Antbird
Egretta tricolor_Tricolored Heron
Cranioleuca semicinerea_Gray-headed Spinetail
Pulsatrix perspicillata_Spectacled Owl
Mustelirallus albicollis_Ash-throated Crake
Chaetura meridionalis_Sick's Swift
Rhynchotus rufescens_Red-winged Tinamou
Patagioenas cayennensis_Pale-vented Pigeon
Dryocopus lineatus_Lineated Woodpecker
Rhea americana_Greater Rhea
Tangara cyanocephala_Red-necked Tanager
Capsiempis flaveola_Yellow Tyrannulet
Amazona amazonica_Orange-winged Parrot
Procnias averano_Bearded Bellbird
Legatus leucophaius_Piratic Flycatcher
Limosa lapponica_Bar-tailed Godwit
Lathrotriccus euleri_Euler's Flycatcher
Platalea ajaja_Roseate Spoonbill
Myiopagis caniceps_Gray Elaenia
Xenops minutus_Plain Xenops
Herpsilochmus pectoralis_Pectoral Antwren
Chordeiles acutipennis_Lesser Nighthawk
Xenops rutilans_Streaked Xenops
Herpsilochmus frater_Rusty-winged Antwren
Diopsittaca nobilis_Red-shouldered Macaw
Elaenia chiriquensis_Lesser Elaenia
Thamnophilus caerulescens_Variable Antshrike
Theristicus caudatus_Buff-necked Ibis
Donacobius atricapilla_Black-capped Donacobius
Myiobius atricaudus_Black-tailed Flycatcher
Emberizoides herbicola_Wedge-tailed Grass-Finch
Cypsnagra hirundinacea_White-rumped Tanager
Ramphocaenus melanurus_Long-billed Gnatwren
Charitospiza eucosma_Coal-crested Finch
Loriotus cristatus_Flame-crested Tanager
Tersina viridis_Swallow Tanager
Chamaeza campanisona_Short-tailed Antthrush
Stercorarius pomarinus_Pomarine Jaeger
Spizaetus tyrannus_Black Hawk-Eagle
Anurolimnas viridis_Russet-crowned Crake
Micrastur ruficollis_Barred Forest-Falcon
Sporophila leucoptera_White-bellied Seedeater
Rhopospina caerulescens_Blue Finch
Harpagus diodon_Rufous-thighed Kite
Columba livia_Rock Pigeon
Thalasseus maximus_Royal Tern
Saltator maximus_Buff-throated Saltator
Leptodon cayanensis_Gray-headed Kite
Odontophorus capueira_Spot-winged Wood-Quail
Falco rufigularis_Bat Falcon
Elanoides forficatus_Swallow-tailed Kite
Manacus manacus_White-bearded Manakin
Hemitriccus griseipectus_White-bellied Tody-Tyrant
Stigmatura budytoides_Greater Wagtail-Tyrant
Asemospiza fuliginosa_Sooty Grassquit
Larus dominicanus_Kelp Gull
Eucometis penicillata_Gray-headed Tanager
Crypturellus noctivagus_Yellow-legged Tinamou
Cyanerpes cyaneus_Red-legged Honeycreeper
Megaxenops parnaguae_Great Xenops
Chrysuronia versicolor_Versicolored Emerald
Molothrus oryzivorus_Giant Cowbird
Turdus flavipes_Yellow-legged Thrush
Porphyrio flavirostris_Azure Gallinule
Saltatricula atricollis_Black-throated Saltator
Pygochelidon cyanoleuca_Blue-and-white Swallow
Amaurolimnas concolor_Uniform Crake
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Chlidonias niger_Black Tern
Myrmotherula axillaris_White-flanked Antwren
Myiozetetes cayanensis_Rusty-margined Flycatcher
Tachycineta leucorrhoa_White-rumped Swallow
Chordeiles minor_Common Nighthawk
Neothraupis fasciata_White-banded Tanager
Chlorestes cyanus_White-chinned Sapphire
Anous minutus_Black Noddy
Ornithion inerme_White-lored Tyrannulet
Picumnus pygmaeus_Spotted Piculet
Saltator similis_Green-winged Saltator
Psarocolius decumanus_Crested Oropendola
Attila spadiceus_Bright-rumped Attila
Ramphocelus carbo_Silver-beaked Tanager
Conopophaga melanops_Black-cheeked Gnateater
Hylopezus ochroleucus_White-browed Antpitta
Ortalis araucuan_East Brazilian Chachalaca
Ramphocelus bresilius_Brazilian Tanager
Geotrygon montana_Ruddy Quail-Dove
Sporophila angolensis_Chestnut-bellied Seed-Finch
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Gygis alba_White Tern
Patagioenas speciosa_Scaled Pigeon
Pyriglena leuconota_East Amazonian Fire-eye
Crypturellus soui_Little Tinamou
Thamnophilus aethiops_White-shouldered Antshrike
Riparia riparia_Bank Swallow
Pteroglossus inscriptus_Lettered Aracari
Thamnophilus palliatus_Chestnut-backed Antshrike
Rhytipterna simplex_Grayish Mourner
Asio flammeus_Short-eared Owl
Myiobius barbatus_Whiskered Flycatcher
Picumnus exilis_Golden-spangled Piculet
Heliothryx auritus_Black-eared Fairy
Trogon rufus_Black-throated Trogon
Synallaxis infuscata_Pinto's Spinetail
Tityra cayana_Black-tailed Tityra
Ciccaba virgata_Mottled Owl
Tyrannus albogularis_White-throated Kingbird
Mionectes oleagineus_Ochre-bellied Flycatcher
Turdus albicollis_White-necked Thrush
Geothlypis aequinoctialis_Masked Yellowthroat
Tangara velia_Opal-rumped Tanager
Chlorophanes spiza_Green Honeycreeper
Contopus cinereus_Tropical Pewee
Ceratopipra rubrocapilla_Red-headed Manakin
Sternula albifrons_Little Tern
