Caprimulgus nigriscapularis_Black-shouldered Nightjar
Himantopus himantopus_Black-winged Stilt
Tringa erythropus_Spotted Redshank
Saxicola rubetra_Whinchat
Dryoscopus gambensis_Northern Puffback
Merops hirundineus_Swallow-tailed Bee-eater
Charadrius hiaticula_Common Ringed Plover
Nycticorax nycticorax_Black-crowned Night-Heron
Burhinus capensis_Spotted Thick-knee
Anthus cervinus_Red-throated Pipit
Micronisus gabar_Gabar Goshawk
Cuculus canorus_Common Cuckoo
Stephanoaetus coronatus_Crowned Eagle
Halcyon leucocephala_Gray-headed Kingfisher
Merops pusillus_Little Bee-eater
Ptilopsis leucotis_Northern White-faced Owl
Mirafra rufocinnamomea_Flappet Lark
Pogoniulus chrysoconus_Yellow-fronted Tinkerbird
Clamator jacobinus_Pied Cuckoo
Falco tinnunculus_Eurasian Kestrel
Chloropicus goertae_African Gray Woodpecker
Cuculus gularis_African Cuckoo
Calidris ferruginea_Curlew Sandpiper
Cisticola natalensis_Croaking Cisticola
Acrocephalus schoenobaenus_Sedge Warbler
Tringa stagnatilis_Marsh Sandpiper
Numida meleagris_Helmeted Guineafowl
Sterna paradisaea_Arctic Tern
Phylloscopus bonelli_Western Bonelli's Warbler
Muscicapa striata_Spotted Flycatcher
Euplectes afer_Yellow-crowned Bishop
Nilaus afer_Brubru
Apalis flavida_Yellow-breasted Apalis
Plegadis falcinellus_Glossy Ibis
Pluvialis squatarola_Black-bellied Plover
Otus senegalensis_African Scops-Owl
Vanellus senegallus_Wattled Lapwing
Thalasseus sandvicensis_Sandwich Tern
Calidris pugnax_Ruff
Cinnyricinclus leucogaster_Violet-backed Starling
Streptopelia vinacea_Vinaceous Dove
Apus caffer_White-rumped Swift
Campethera cailliautii_Green-backed Woodpecker
Clamator glandarius_Great Spotted Cuckoo
Dicrurus divaricatus_Glossy-backed Drongo
Hydroprogne caspia_Caspian Tern
Bubo lacteus_Verreaux's Eagle-Owl
Acrocephalus arundinaceus_Great Reed Warbler
Cisticola cantans_Singing Cisticola
Lamprotornis caudatus_Long-tailed Glossy Starling
Acrocephalus scirpaceus_Eurasian Reed Warbler
Pachyphantes superciliosus_Compact Weaver
Cisticola marginatus_Winding Cisticola
Hippolais polyglotta_Melodious Warbler
Tchagra senegalus_Black-crowned Tchagra
Halcyon chelicuti_Striped Kingfisher
Lophoceros nasutus_African Gray Hornbill
Gymnoris dentata_Sahel Bush Sparrow
Ortygospiza atricollis_Quailfinch
Merops apiaster_European Bee-eater
Chlidonias leucopterus_White-winged Tern
Columba livia_Rock Pigeon
Upupa epops_Eurasian Hoopoe
Cisticola anonymus_Chattering Cisticola
Acrocephalus rufescens_Greater Swamp Warbler
Numenius arquata_Eurasian Curlew
Cisticola brachypterus_Siffling Cisticola
Ploceus luteolus_Little Weaver
Apus melba_Alpine Swift
Riparia riparia_Bank Swallow
Ploceus melanocephalus_Black-headed Weaver
Dendrocygna viduata_White-faced Whistling-Duck
Laniarius major_Tropical Boubou
Anthus similis_Long-billed Pipit
Columba larvata_Lemon Dove
Chalcomitra senegalensis_Scarlet-chested Sunbird
Indicator minor_Lesser Honeyguide
Riparia paludicola_Plain Martin
Sylvietta brachyura_Northern Crombec
Lagonosticta rubricata_African Firefinch
Columba guinea_Speckled Pigeon
Turtur abyssinicus_Black-billed Wood-Dove
Coracias abyssinicus_Abyssinian Roller
Guttera pucherani_Crested Guineafowl
Poicephalus senegalus_Senegal Parrot
Melocichla mentalis_Moustached Grass-Warbler
Quelea quelea_Red-billed Quelea
Muscicapa aquatica_Swamp Flycatcher
Eupodotis senegalensis_White-bellied Bustard
Vanellus tectus_Black-headed Lapwing
Iduna opaca_Western Olivaceous Warbler
Estrilda astrild_Common Waxbill
Oena capensis_Namaqua Dove
Lanius corvinus_Yellow-billed Shrike
Glaucidium perlatum_Pearl-spotted Owlet
Oriolus auratus_African Golden Oriole
Thamnolaea cinnamomeiventris_Mocking Cliff-Chat
Calidris alba_Sanderling
Larus fuscus_Lesser Black-backed Gull
Sternula albifrons_Little Tern
Merops bulocki_Red-throated Bee-eater
Buphagus africanus_Yellow-billed Oxpecker
Euplectes franciscanus_Northern Red Bishop
Circus pygargus_Montagu's Harrier
Gelochelidon nilotica_Gull-billed Tern
Vanellus spinosus_Spur-winged Lapwing
Calidris temminckii_Temminck's Stint
Lagonosticta senegala_Red-billed Firefinch
Glareola pratincola_Collared Pratincole
Tockus erythrorhynchus_Northern Red-billed Hornbill
Pytilia melba_Green-winged Pytilia
Cisticola aberrans_Rock-loving Cisticola
Sterna dougallii_Roseate Tern
Lamprotornis chloropterus_Lesser Blue-eared Starling
Acrocephalus baeticatus_African Reed Warbler
Curruca communis_Greater Whitethroat
Charadrius alexandrinus_Kentish Plover
Indicator indicator_Greater Honeyguide
Psittacula krameri_Rose-ringed Parakeet
Euodice cantans_African Silverbill
Alethe diademata_White-tailed Alethe
Luscinia megarhynchos_Common Nightingale
Circaetus gallicus_Short-toed Snake-Eagle
Colius striatus_Speckled Mousebird
Sporopipes frontalis_Speckle-fronted Weaver
Recurvirostra avosetta_Pied Avocet
Phoenicurus phoenicurus_Common Redstart
Passer domesticus_House Sparrow
Plocepasser superciliosus_Chestnut-crowned Sparrow-Weaver
Tringa totanus_Common Redshank
Circus macrourus_Pallid Harrier
Telophorus sulfureopectus_Sulphur-breasted Bushshrike
Ptilostomus afer_Piapiac
Platysteira concreta_Yellow-bellied Wattle-eye
Apalis cinerea_Gray Apalis
Cercotrichas galactotes_Rufous-tailed Scrub-Robin
Bubalornis albirostris_White-billed Buffalo-Weaver
Limosa lapponica_Bar-tailed Godwit
Hieraaetus pennatus_Booted Eagle
Apalis sharpii_Sharpe's Apalis
Calidris canutus_Red Knot
Caprimulgus natalensis_Swamp Nightjar
Spatula querquedula_Garganey
Zosterops senegalensis_Northern Yellow White-eye
Prionops plumatus_White Helmetshrike
Stercorarius parasiticus_Parasitic Jaeger
Cinnyris pulchellus_Beautiful Sunbird
Neocossyphus fraseri_Rufous Flycatcher-Thrush
Ptilopachus petrosus_Stone Partridge
Lamprotornis chalybaeus_Greater Blue-eared Starling
Cinnyris reichenowi_Northern Double-collared Sunbird
Oriolus oriolus_Eurasian Golden Oriole
Jynx torquilla_Eurasian Wryneck
Merops orientalis_Green Bee-eater
Ciconia nigra_Black Stork
Estrilda troglodytes_Black-rumped Waxbill
Oenanthe oenanthe_Northern Wheatear
Falco subbuteo_Eurasian Hobby
Haematopus ostralegus_Eurasian Oystercatcher
Glaucidium tephronotum_Red-chested Owlet
Ciconia ciconia_White Stork
Phoeniculus bollei_White-headed Woodhoopoe
Vidua chalybeata_Village Indigobird
Glaucestrilda caerulescens_Lavender Waxbill
Calonectris diomedea_Cory's Shearwater
Ploceus vitellinus_Vitelline Masked-Weaver
Anthus campestris_Tawny Pipit
Chroicocephalus ridibundus_Black-headed Gull
Bycanistes subcylindricus_Black-and-white-casqued Hornbill
Motacilla clara_Mountain Wagtail
Malaconotus blanchoti_Gray-headed Bushshrike
Estrilda nonnula_Black-crowned Waxbill
Uraeginthus bengalus_Red-cheeked Cordonbleu
Laniarius atroflavus_Yellow-breasted Boubou
