Gymnorhina tibicen_Australian Magpie
Poodytes gramineus_Little Grassbird
Sturnus vulgaris_European Starling
Dicaeum hirundinaceum_Mistletoebird
Chrysococcyx osculans_Black-eared Cuckoo
Lophochroa leadbeateri_Pink Cockatoo
Mirafra javanica_Australasian Bushlark
Falco peregrinus_Peregrine Falcon
Ninox boobook_Southern Boobook
Certhionyx variegatus_Pied Honeyeater
Accipiter fasciatus_Brown Goshawk
Circus approximans_Swamp Harrier
Phalacrocorax carbo_Great Cormorant
Podargus strigoides_Tawny Frogmouth
Eurostopodus argus_Spotted Nightjar
Himantopus leucocephalus_Pied Stilt
Artamus cyanopterus_Dusky Woodswallow
Chlidonias hybrida_Whiskered Tern
Melanodryas cucullata_Hooded Robin
Porphyrio melanotus_Australasian Swamphen
Threskiornis molucca_Australian Ibis
Acanthiza chrysorrhoa_Yellow-rumped Thornbill
Tyto alba_Barn Owl
Ardea alba_Great Egret
Gelochelidon nilotica_Gull-billed Tern
Sugomel nigrum_Black Honeyeater
Malurus splendens_Splendid Fairywren
Coturnix pectoralis_Stubble Quail
Chroicocephalus novaehollandiae_Silver Gull
Tadorna tadornoides_Australian Shelduck
Cygnus atratus_Black Swan
Hydroprogne caspia_Caspian Tern
Calidris acuminata_Sharp-tailed Sandpiper
Biziura lobata_Musk Duck
Melithreptus brevirostris_Brown-headed Honeyeater
Merops ornatus_Rainbow Bee-eater
Plegadis falcinellus_Glossy Ibis
Cacomantis flabelliformis_Fan-tailed Cuckoo
Dacelo novaeguineae_Laughing Kookaburra
Vanellus miles_Masked Lapwing
Daphoenositta chrysoptera_Varied Sittella
Plectorhyncha lanceolata_Striped Honeyeater
Chlamydera maculata_Spotted Bowerbird
Ardea intermedia_Intermediate Egret
Rhipidura albiscapa_Gray Fantail
Corvus mellori_Little Raven
Synoicus ypsilophorus_Brown Quail
Gallinula tenebrosa_Dusky Moorhen
Podiceps cristatus_Great Crested Grebe
Corcorax melanorhamphos_White-winged Chough
Gerygone fusca_Western Gerygone
Calyptorhynchus banksii_Red-tailed Black-Cockatoo
Turdus merula_Eurasian Blackbird
Egretta garzetta_Little Egret
Anas castanea_Chestnut Teal
Philemon citreogularis_Little Friarbird
Pachycephala inornata_Gilbert's Whistler
Pyrrholaemus brunneus_Redthroat
Zapornia pusilla_Baillon's Crake
Apus pacificus_Pacific Swift
Calidris ruficollis_Red-necked Stint
Manorina melanocephala_Noisy Miner
Antigone rubicunda_Brolga
Dendrocygna eytoni_Plumed Whistling-Duck
Aprosmictus erythropterus_Red-winged Parrot
Gallirallus philippensis_Buff-banded Rail
Tringa stagnatilis_Marsh Sandpiper
Pardalotus punctatus_Spotted Pardalote
Drymodes brunneopygia_Southern Scrub-Robin
Hylacola cauta_Shy Heathwren
Pomatostomus temporalis_Gray-crowned Babbler
Zapornia tabuensis_Spotless Crake
Pardalotus rubricatus_Red-browed Pardalote
Cacatua galerita_Sulphur-crested Cockatoo
Nesoptilotis leucotis_White-eared Honeyeater
Calidris ferruginea_Curlew Sandpiper
Tringa glareola_Wood Sandpiper
Entomyzon cyanotis_Blue-faced Honeyeater
Acanthiza nana_Yellow Thornbill
Tringa nebularia_Common Greenshank
Grantiella picta_Painted Honeyeater
Haliaeetus leucogaster_White-bellied Sea-Eagle
Strepera versicolor_Gray Currawong
Lichmera indistincta_Brown Honeyeater
Platycercus elegans_Crimson Rosella
Oriolus sagittatus_Olive-backed Oriole
Philemon corniculatus_Noisy Friarbird
Falcunculus frontatus_Crested Shrike-tit
Zosterops lateralis_Silvereye
Ninox connivens_Barking Owl
Chrysococcyx lucidus_Shining Bronze-Cuckoo
Actitis hypoleucos_Common Sandpiper
Coracina papuensis_White-bellied Cuckooshrike
Chlidonias leucopterus_White-winged Tern
Hirundapus caudacutus_White-throated Needletail
Burhinus grallarius_Bush Thick-knee
Bubulcus ibis_Cattle Egret
Acanthiza reguloides_Buff-rumped Thornbill
Streptopelia chinensis_Spotted Dove
Polytelis anthopeplus_Regent Parrot
Anthochaera carunculata_Red Wattlebird
Gliciphila melanops_Tawny-crowned Honeyeater
Cinclosoma castaneothorax_Chestnut-breasted Quail-thrush
Polytelis swainsonii_Superb Parrot
Arenaria interpres_Ruddy Turnstone
Limosa lapponica_Bar-tailed Godwit
Columba livia_Rock Pigeon
Turnix varius_Painted Buttonquail
Geopelia humeralis_Bar-shouldered Dove
Stizoptera bichenovii_Double-barred Finch
Calidris canutus_Red Knot
Pluvialis fulva_Pacific Golden-Plover
Melithreptus gularis_Black-chinned Honeyeater
Malurus cyaneus_Superb Fairywren
Pachycephala pectoralis_Golden Whistler
Acridotheres tristis_Common Myna
Charadrius veredus_Oriental Plover
Platycercus eximius_Eastern Rosella
Ixobrychus dubius_Black-backed Bittern
Numenius phaeopus_Whimbrel
Eopsaltria australis_Eastern Yellow Robin
Anseranas semipalmata_Magpie Goose
Tringa brevipes_Gray-tailed Tattler
Calidris tenuirostris_Great Knot
Parvipsitta porphyrocephala_Purple-crowned Lorikeet
Turnix maculosus_Red-backed Buttonquail
Charadrius bicinctus_Double-banded Plover
Glossopsitta concinna_Musk Lorikeet
Phaps elegans_Brush Bronzewing
Gallinago hardwickii_Latham's Snipe
Thalasseus bergii_Great Crested Tern
Calidris alba_Sanderling
Pachycephala fuliginosa_Western Whistler
Numenius madagascariensis_Far Eastern Curlew
Psophodes occidentalis_Chiming Wedgebill
Pyrrholaemus sagittatus_Speckled Warbler
Calidris melanotos_Pectoral Sandpiper
Cisticola exilis_Golden-headed Cisticola
Limosa limosa_Black-tailed Godwit
Tyto novaehollandiae_Australian Masked-Owl
Cacatua tenuirostris_Long-billed Corella
Sericornis frontalis_White-browed Scrubwren
Scythrops novaehollandiae_Channel-billed Cuckoo
Petroica boodang_Scarlet Robin
Haematopus fuliginosus_Sooty Oystercatcher
Lichenostomus cratitius_Purple-gaped Honeyeater
Pluvialis squatarola_Black-bellied Plover
Trichoglossus moluccanus_Rainbow Lorikeet
Eurystomus orientalis_Dollarbird
Strepera graculina_Pied Currawong
Ceyx azureus_Azure Kingfisher
Haematopus longirostris_Pied Oystercatcher
Pandion haliaetus_Osprey
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo
Charadrius leschenaultii_Greater Sand-Plover
Dendrocygna arcuata_Wandering Whistling-Duck
Limnodromus semipalmatus_Asian Dowitcher
Egretta sacra_Pacific Reef-Heron
Xenus cinereus_Terek Sandpiper
