Drepanis coccinea_Iiwi
Lanius borealis_Northern Shrike
Stercorarius parasiticus_Parasitic Jaeger
Psittacula krameri_Rose-ringed Parakeet
Bombycilla cedrorum_Cedar Waxwing
Anas wyvilliana_Hawaiian Duck
Gallinula galeata_Common Gallinule
Himantopus mexicanus_Black-necked Stilt
Plectrophenax nivalis_Snow Bunting
Chroicocephalus philadelphia_Bonaparte's Gull
Petrochelidon pyrrhonota_Cliff Swallow
Ardenna bulleri_Buller's Shearwater
Aythya affinis_Lesser Scaup
Spatula discors_Blue-winged Teal
Anous minutus_Black Noddy
Callipepla californica_California Quail
Limnodromus scolopaceus_Long-billed Dowitcher
Antigone canadensis_Sandhill Crane
Aythya collaris_Ring-necked Duck
Estrilda astrild_Common Waxbill
Cygnus buccinator_Trumpeter Swan
Gallus gallus_Red Junglefowl
Numenius phaeopus_Whimbrel
Copsychus malabaricus_White-rumped Shama
Calidris bairdii_Baird's Sandpiper
Accipiter striatus_Sharp-shinned Hawk
Gavia adamsii_Yellow-billed Loon
Certhia americana_Brown Creeper
Calidris ptilocnemis_Rock Sandpiper
Calidris melanotos_Pectoral Sandpiper
Buteo lagopus_Rough-legged Hawk
Mimus polyglottos_Northern Mockingbird
Larus glaucoides_Iceland Gull
Cygnus columbianus_Tundra Swan
Spizelloides arborea_American Tree Sparrow
Mareca penelope_Eurasian Wigeon
Contopus sordidulus_Western Wood-Pewee
Padda oryzivora_Java Sparrow
Anser canagicus_Emperor Goose
Dryobates villosus_Hairy Woodpecker
Accipiter gentilis_Northern Goshawk
Euodice cantans_African Silverbill
Agelaius phoeniceus_Red-winged Blackbird
Phoebastria immutabilis_Laysan Albatross
Aethia pusilla_Least Auklet
Actitis macularius_Spotted Sandpiper
Meleagris gallopavo_Wild Turkey
Calcarius lapponicus_Lapland Longspur
Alauda arvensis_Eurasian Skylark
Limnodromus griseus_Short-billed Dowitcher
Molothrus ater_Brown-headed Cowbird
Pandion haliaetus_Osprey
Patagioenas fasciata_Band-tailed Pigeon
Hirundo rustica_Barn Swallow
Larus hyperboreus_Glaucous Gull
Sturnus vulgaris_European Starling
Setophaga townsendi_Townsend's Warbler
Chasiempis sclateri_Kauai Elepaio
Ortygornis pondicerianus_Gray Francolin
Tyto alba_Barn Owl
Chasiempis sandwichensis_Hawaii Elepaio
Ardenna pacifica_Wedge-tailed Shearwater
Chaetura vauxi_Vaux's Swift
Euphagus carolinus_Rusty Blackbird
Sicalis flaveola_Saffron Finch
Calidris pusilla_Semipalmated Sandpiper
Pluvialis dominica_American Golden-Plover
Riparia riparia_Bank Swallow
Larus schistisagus_Slaty-backed Gull
Myadestes obscurus_Omao
Dendragapus fuliginosus_Sooty Grouse
Aythya americana_Redhead
Magumma parva_Anianiau
Ardea herodias_Great Blue Heron
Lagopus lagopus_Willow Ptarmigan
Bubo virginianus_Great Horned Owl
Loxops mana_Hawaii Creeper
Ardea alba_Great Egret
Somateria spectabilis_King Eider
Aegolius funereus_Boreal Owl
Cathartes aura_Turkey Vulture
Buteo solitarius_Hawaiian Hawk
Charadrius vociferus_Killdeer
Picoides dorsalis_American Three-toed Woodpecker
Perisoreus canadensis_Canada Jay
Uria lomvia_Thick-billed Murre
Canachites canadensis_Spruce Grouse
Puffinus newelli_Newell's Shearwater
Loxops caeruleirostris_Akekee
Lophura leucomelanos_Kalij Pheasant
Surnia ulula_Northern Hawk Owl
Aythya valisineria_Canvasback
Hemignathus wilsoni_Akiapolaau
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Contopus cooperi_Olive-sided Flycatcher
Francolinus francolinus_Black Francolin
Limosa fedoa_Marbled Godwit
Loxops coccineus_Hawaii Akepa
Piranga ludoviciana_Western Tanager
Stercorarius maccormicki_South Polar Skua
Spinus tristis_American Goldfinch
Pternistis erckelii_Erckel's Francolin
Poecile hudsonicus_Boreal Chickadee
Limosa lapponica_Bar-tailed Godwit
Eremophila alpestris_Horned Lark
Calidris acuminata_Sharp-tailed Sandpiper
Motacilla tschutschensis_Eastern Yellow Wagtail
Empidonax alnorum_Alder Flycatcher
Lagopus muta_Rock Ptarmigan
Paroaria capitata_Yellow-billed Cardinal
Cinclus mexicanus_American Dipper
Aegolius acadicus_Northern Saw-whet Owl
Vireo cassinii_Cassin's Vireo
Larus californicus_California Gull
Vireo gilvus_Warbling Vireo
Aquila chrysaetos_Golden Eagle
Limosa haemastica_Hudsonian Godwit
Anser caerulescens_Snow Goose
Catharus minimus_Gray-cheeked Thrush
Pheucticus melanocephalus_Black-headed Grosbeak
Corvus brachyrhynchos_American Crow
Icteria virens_Yellow-breasted Chat
Crithagra mozambica_Yellow-fronted Canary
Acanthis hornemanni_Hoary Redpoll
