Catamenia homochroa_Paramo Seedeater
Cyclarhis gujanensis_Rufous-browed Peppershrike
Rhopospina fruticeti_Mourning Sierra Finch
Mecocerculus stictopterus_White-banded Tyrannulet
Asthenes flammulata_Many-striped Canastero
Setophaga petechia_Yellow Warbler
Pachyramphus albogriseus_Black-and-white Becard
Dryobates callonotus_Scarlet-backed Woodpecker
Calidris melanotos_Pectoral Sandpiper
Saltator aurantiirostris_Golden-billed Saltator
Ochthoeca cinnamomeiventris_Slaty-backed Chat-Tyrant
Doryfera ludovicae_Green-fronted Lancebill
Ardenna grisea_Sooty Shearwater
Dubusia taeniata_Buff-breasted Mountain Tanager
Phoenicopterus ruber_American Flamingo
Chroicocephalus serranus_Andean Gull
Thamnophilus bernardi_Collared Antshrike
Geocerthia serrana_Striated Earthcreeper
Cacicus chrysonotus_Mountain Cacique
Progne chalybea_Gray-breasted Martin
Pipreola arcuata_Barred Fruiteater
Mecocerculus leucophrys_White-throated Tyrannulet
Andigena hypoglauca_Gray-breasted Mountain-Toucan
Zentrygon frenata_White-throated Quail-Dove
Sicalis uropygialis_Bright-rumped Yellow-Finch
Icterus mesomelas_Yellow-tailed Oriole
Charadrius collaris_Collared Plover
Diglossa caerulescens_Bluish Flowerpiercer
Kleinothraupis atropileus_Black-capped Hemispingus
Pterodroma phaeopygia_Galapagos Petrel
Arremon assimilis_Gray-browed Brushfinch
Aeronautes montivagus_White-tipped Swift
Streptoprocne zonaris_White-collared Swift
Conirostrum albifrons_Capped Conebill
Bolborhynchus orbygnesius_Andean Parakeet
Vanellus resplendens_Andean Lapwing
Ochthoeca oenanthoides_d'Orbigny's Chat-Tyrant
Turdus serranus_Glossy-black Thrush
Pseudocolaptes boissonneautii_Streaked Tuftedcheek
Myiothlypis luteoviridis_Citrine Warbler
Metriopelia melanoptera_Black-winged Ground Dove
Conirostrum sitticolor_Blue-backed Conebill
Atlapetes latinuchus_Yellow-breasted Brushfinch
Lophonetta specularioides_Crested Duck
Pachyramphus versicolor_Barred Becard
Vireo leucophrys_Brown-capped Vireo
Pipreola riefferii_Green-and-black Fruiteater
Phacellodomus dorsalis_Chestnut-backed Thornbird
Egretta tricolor_Tricolored Heron
Cnemoscopus rubrirostris_Gray-hooded Bush Tanager
Ochthoeca leucophrys_White-browed Chat-Tyrant
Spatula puna_Puna Teal
Thlypopsis superciliaris_Superciliaried Hemispingus
Buthraupis montana_Hooded Mountain Tanager
Lepidocolaptes souleyetii_Streak-headed Woodcreeper
Geospizopsis unicolor_Plumbeous Sierra Finch
Chaetura pelagica_Chimney Swift
Tringa solitaria_Solitary Sandpiper
Colaptes rivolii_Crimson-mantled Woodpecker
Chlorornis riefferii_Grass-green Tanager
Asthenes humilis_Streak-throated Canastero
Colaptes rupicola_Andean Flicker
Ochthoeca rufipectoralis_Rufous-breasted Chat-Tyrant
Asio flammeus_Short-eared Owl
Limosa fedoa_Marbled Godwit
Hirundo rustica_Barn Swallow
Ardea herodias_Great Blue Heron
Grallaria quitensis_Tawny Antpitta
Crotophaga ani_Smooth-billed Ani
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Lafresnaya lafresnayi_Mountain Velvetbreast
Cranioleuca antisiensis_Line-cheeked Spinetail
Thraupis episcopus_Blue-gray Tanager
Heliangelus amethysticollis_Amethyst-throated Sunangel
Lepidocolaptes lacrymiger_Montane Woodcreeper
Turdus nigriceps_Andean Slaty Thrush
Pharomachrus auriceps_Golden-headed Quetzal
Sporophila luctuosa_Black-and-white Seedeater
Riparia riparia_Bank Swallow
Metallura tyrianthina_Tyrian Metaltail
Margarornis squamiger_Pearled Treerunner
Anisognathus lacrymosus_Lacrimose Mountain Tanager
Vireo chivi_Chivi Vireo
Buteogallus meridionalis_Savanna Hawk
Incaspiza ortizi_Gray-winged Inca-Finch
Calidris canutus_Red Knot
Ochthoeca fumicolor_Brown-backed Chat-Tyrant
Ampelornis griseiceps_Gray-headed Antbird
Saltator nigriceps_Black-cowled Saltator
Tyrannus melancholicus_Tropical Kingbird
Ardenna bulleri_Buller's Shearwater
Cinclodes albiventris_Cream-winged Cinclodes
Leptasthenura pileata_Rusty-crowned Tit-Spinetail
Atlapetes leucopterus_White-winged Brushfinch
Scytalopus opacus_Paramo Tapaculo
Gallinago nobilis_Noble Snipe
Lesbia victoriae_Black-tailed Trainbearer
Leptotila verreauxi_White-tipped Dove
Caracara plancus_Crested Caracara
Penelope albipennis_White-winged Guan
Streptoprocne rutila_Chestnut-collared Swift
Thamnophilus zarumae_Chapman's Antshrike
Orochelidon murina_Brown-bellied Swallow
Trogon personatus_Masked Trogon
Hapaloptila castanea_White-faced Nunbird
Tangara vassorii_Blue-and-black Tanager
Dendrocygna bicolor_Fulvous Whistling-Duck
Grallaria andicolus_Stripe-headed Antpitta
Fregata minor_Great Frigatebird
Nyctidromus anthonyi_Scrub Nightjar
Pardirallus maculatus_Spotted Rail
Chaetocercus mulsant_White-bellied Woodstar
Contopus fumigatus_Smoke-colored Pewee
Rhynchospiza stolzmanni_Tumbes Sparrow
Poecilotriccus ruficeps_Rufous-crowned Tody-Flycatcher
Tangara nigroviridis_Beryl-spangled Tanager
Mionectes striaticollis_Streak-necked Flycatcher
Coccyzus melacoryphus_Dark-billed Cuckoo
Scytalopus unicolor_Unicolored Tapaculo
Ochthoeca pulchella_Golden-browed Chat-Tyrant
Anisognathus somptuosus_Blue-winged Mountain Tanager
Anisognathus igniventris_Scarlet-bellied Mountain Tanager
Pipreola intermedia_Band-tailed Fruiteater
Pseudospingus verticalis_Black-headed Hemispingus
Nephelomyias lintoni_Orange-banded Flycatcher
Grallaria gravesi_Chachapoyas Antpitta
Geositta punensis_Puna Miner
Asthenes griseomurina_Mouse-colored Thistletail
Diglossa brunneiventris_Black-throated Flowerpiercer
Phaethornis griseogularis_Gray-chinned Hermit
Buteogallus solitarius_Solitary Eagle
Anas flavirostris_Yellow-billed Teal
Arremon abeillei_Black-capped Sparrow
Myiarchus tuberculifer_Dusky-capped Flycatcher
Stercorarius longicaudus_Long-tailed Jaeger
Scytalopus parkeri_Chusquea Tapaculo
Phegornis mitchellii_Diademed Sandpiper-Plover
Grallaria saturata_Equatorial Antpitta
Atlapetes pallidinucha_Pale-naped Brushfinch
Boissonneaua matthewsii_Chestnut-breasted Coronet
Anas georgica_Yellow-billed Pintail
Chlorophonia pyrrhophrys_Chestnut-breasted Chlorophonia
Myiothlypis coronata_Russet-crowned Warbler
Coeligena lutetiae_Buff-winged Starfrontlet
Sterna paradisaea_Arctic Tern
Parabuteo leucorrhous_White-rumped Hawk
Clibanornis erythrocephalus_Henna-hooded Foliage-gleaner
Attagis gayi_Rufous-bellied Seedsnipe
