Fregata magnificens_Magnificent Frigatebird
Attila spadiceus_Bright-rumped Attila
Theristicus caudatus_Buff-necked Ibis
Leptotila verreauxi_White-tipped Dove
Zimmerius acer_Guianan Tyrannulet
Micrastur ruficollis_Barred Forest-Falcon
Leptodon cayanensis_Gray-headed Kite
Chordeiles acutipennis_Lesser Nighthawk
Micrastur semitorquatus_Collared Forest-Falcon
Ardea cocoi_Cocoi Heron
Falco rufigularis_Bat Falcon
Dryocopus lineatus_Lineated Woodpecker
Jacana jacana_Wattled Jacana
Harpagus diodon_Rufous-thighed Kite
Megarynchus pitangua_Boat-billed Flycatcher
Amazona festiva_Festive Parrot
Egretta thula_Snowy Egret
Lathrotriccus euleri_Euler's Flycatcher
Chrysuronia versicolor_Versicolored Emerald
Columba livia_Rock Pigeon
Leucophaeus atricilla_Laughing Gull
Herpetotheres cachinnans_Laughing Falcon
Spizaetus tyrannus_Black Hawk-Eagle
Calidris temminckii_Temminck's Stint
Saltator maximus_Buff-throated Saltator
Pulsatrix perspicillata_Spectacled Owl
Thamnophilus doliatus_Barred Antshrike
Hemithraupis guira_Guira Tanager
Tachyphonus rufus_White-lined Tanager
Sternula superciliaris_Yellow-billed Tern
Camptostoma obsoletum_Southern Beardless-Tyrannulet
Sternula albifrons_Little Tern
Cecropis daurica_Red-rumped Swallow
Thraupis palmarum_Palm Tanager
Colonia colonus_Long-tailed Tyrant
Tringa solitaria_Solitary Sandpiper
Buteogallus urubitinga_Great Black Hawk
Thalurania furcata_Fork-tailed Woodnymph
Chloroceryle inda_Green-and-rufous Kingfisher
Crypturellus erythropus_Red-legged Tinamou
Colinus cristatus_Crested Bobwhite
Amazona amazonica_Orange-winged Parrot
Egretta caerulea_Little Blue Heron
Cymbilaimus lineatus_Fasciated Antshrike
Chloroceryle aenea_American Pygmy Kingfisher
Ramphocaenus melanurus_Long-billed Gnatwren
Tolmomyias sulphurescens_Yellow-olive Flycatcher
Progne tapera_Brown-chested Martin
Buteo nitidus_Gray-lined Hawk
Lurocalis semitorquatus_Short-tailed Nighthawk
Tachycineta albiventer_White-winged Swallow
Pseudastur albicollis_White Hawk
Trogon melanurus_Black-tailed Trogon
Patagioenas cayennensis_Pale-vented Pigeon
Troglodytes aedon_House Wren
Molothrus oryzivorus_Giant Cowbird
Microrhopias quixensis_Dot-winged Antwren
Chlorestes cyanus_White-chinned Sapphire
Mustelirallus albicollis_Ash-throated Crake
Myrmeciza longipes_White-bellied Antbird
Psarocolius decumanus_Crested Oropendola
Euphonia violacea_Violaceous Euphonia
Henicorhina leucosticta_White-breasted Wood-Wren
Charadrius collaris_Collared Plover
Campephilus melanoleucos_Crimson-crested Woodpecker
Granatellus pelzelni_Rose-breasted Chat
Trogon rufus_Black-throated Trogon
Crotophaga ani_Smooth-billed Ani
Donacobius atricapilla_Black-capped Donacobius
Leptopogon amaurocephalus_Sepia-capped Flycatcher
Phaeomyias murina_Mouse-colored Tyrannulet
Tityra semifasciata_Masked Tityra
Megaceryle torquata_Ringed Kingfisher
Pachysylvia muscicapina_Buff-cheeked Greenlet
Patagioenas speciosa_Scaled Pigeon
Thraupis episcopus_Blue-gray Tanager
Trogon violaceus_Guianan Trogon
Tityra inquisitor_Black-crowned Tityra
Xenops minutus_Plain Xenops
Tersina viridis_Swallow Tanager
Jabiru mycteria_Jabiru
Polioptila plumbea_Tropical Gnatcatcher
Ceratopipra erythrocephala_Golden-headed Manakin
Melanerpes cruentatus_Yellow-tufted Woodpecker
Tapera naevia_Striped Cuckoo
Automolus ochrolaemus_Buff-throated Foliage-gleaner
Eurypyga helias_Sunbittern
Turdus leucomelas_Pale-breasted Thrush
Terenotriccus erythrurus_Ruddy-tailed Flycatcher
Platyrinchus coronatus_Golden-crowned Spadebill
Brachygalba lugubris_Brown Jacamar
Myiodynastes maculatus_Streaked Flycatcher
Ictinia plumbea_Plumbeous Kite
Egretta tricolor_Tricolored Heron
Amazona ochrocephala_Yellow-crowned Parrot
Buteo brachyurus_Short-tailed Hawk
Florisuga mellivora_White-necked Jacobin
Elaenia ruficeps_Rufous-crowned Elaenia
Pyrrhura picta_Painted Parakeet
Rynchops niger_Black Skimmer
Ciccaba virgata_Mottled Owl
Dromococcyx pavoninus_Pavonine Cuckoo
Legatus leucophaius_Piratic Flycatcher
Loriotus luctuosus_White-shouldered Tanager
Heliornis fulica_Sungrebe
Elanoides forficatus_Swallow-tailed Kite
Brotogeris chrysoptera_Golden-winged Parakeet
Mionectes oleagineus_Ochre-bellied Flycatcher
Sclerurus rufigularis_Short-billed Leaftosser
Anous stolidus_Brown Noddy
Synallaxis gujanensis_Plain-crowned Spinetail
Myrmotherula axillaris_White-flanked Antwren
Dendrocincla fuliginosa_Plain-brown Woodcreeper
Corapipo gutturalis_White-throated Manakin
Arundinicola leucocephala_White-headed Marsh Tyrant
Elaenia chiriquensis_Lesser Elaenia
Crypturellus soui_Little Tinamou
Sporophila angolensis_Chestnut-bellied Seed-Finch
Geranoaetus albicaudatus_White-tailed Hawk
Spizaetus ornatus_Ornate Hawk-Eagle
Tyrannus albogularis_White-throated Kingbird
Nyctidromus albicollis_Common Pauraque
Mesembrinibis cayennensis_Green Ibis
Patagioenas subvinacea_Ruddy Pigeon
Ramphastos tucanus_White-throated Toucan
Capito niger_Black-spotted Barbet
Penelope marail_Marail Guan
Buteogallus meridionalis_Savanna Hawk
Dendrexetastes rufigula_Cinnamon-throated Woodcreeper
Dendroplex picus_Straight-billed Woodcreeper
Rupornis magnirostris_Roadside Hawk
Psittacara leucophthalmus_White-eyed Parakeet
Isleria guttata_Rufous-bellied Antwren
Cypsnagra hirundinacea_White-rumped Tanager
Nyctibius griseus_Common Potoo
Cantorchilus leucotis_Buff-breasted Wren
Ibycter americanus_Red-throated Caracara
Cacicus solitarius_Solitary Black Cacique
Campephilus rubricollis_Red-necked Woodpecker
Vireo chivi_Chivi Vireo
Paroaria gularis_Red-capped Cardinal
Topaza pella_Crimson Topaz
Querula purpurata_Purple-throated Fruitcrow
Notharchus macrorhynchos_Guianan Puffbird
Harpagus bidentatus_Double-toothed Kite
Cyanerpes caeruleus_Purple Honeycreeper
Cyphorhinus arada_Musician Wren
Thamnophilus amazonicus_Amazonian Antshrike
Myrmotherula surinamensis_Guianan Streaked-Antwren
Turdus albicollis_White-necked Thrush
Myiopagis gaimardii_Forest Elaenia
Piaya cayana_Squirrel Cuckoo
Heliomaster longirostris_Long-billed Starthroat
Myiophobus fasciatus_Bran-colored Flycatcher
Opisthocomus hoazin_Hoatzin
Chloroceryle amazona_Amazon Kingfisher
Xiphorhynchus pardalotus_Chestnut-rumped Woodcreeper
Pionus fuscus_Dusky Parrot
Mionectes macconnelli_McConnell's Flycatcher
Tangara chilensis_Paradise Tanager
Spizaetus melanoleucus_Black-and-white Hawk-Eagle
Dendrocolaptes picumnus_Black-banded Woodcreeper
Glaucidium hardyi_Amazonian Pygmy-Owl
Ramphocelus carbo_Silver-beaked Tanager
Pyrilia caica_Caica Parrot
Cercomacroides tyrannina_Dusky Antbird
Hydropsalis torquata_Scissor-tailed Nightjar
Chondrohierax uncinatus_Hook-billed Kite
Odontophorus gujanensis_Marbled Wood-Quail
Ramphastos vitellinus_Channel-billed Toucan
Bucco tamatia_Spotted Puffbird
Selenidera piperivora_Guianan Toucanet
Cairina moschata_Muscovy Duck
Pachyramphus rufus_Cinereous Becard
Nyctibius grandis_Great Potoo
Ara ararauna_Blue-and-yellow Macaw
Saltator grossus_Slate-colored Grosbeak
Dryobates cassini_Golden-collared Woodpecker
Cyanocorax cayanus_Cayenne Jay
Platalea ajaja_Roseate Spoonbill
Capsiempis flaveola_Yellow Tyrannulet
Tunchiornis ochraceiceps_Tawny-crowned Greenlet
Todirostrum pictum_Painted Tody-Flycatcher
Ara severus_Chestnut-fronted Macaw
Calidris fuscicollis_White-rumped Sandpiper
Emberizoides herbicola_Wedge-tailed Grass-Finch
Tyrannus savana_Fork-tailed Flycatcher
Synallaxis albescens_Pale-breasted Spinetail
Machaeropterus pyrocephalus_Fiery-capped Manakin
Empidonomus varius_Variegated Flycatcher
Formicivora grisea_White-fringed Antwren
Lophostrix cristata_Crested Owl
Vireolanius leucotis_Slaty-capped Shrike-Vireo
Loriotus cristatus_Flame-crested Tanager
Molothrus bonariensis_Shiny Cowbird
Mycteria americana_Wood Stork
Sturnella magna_Eastern Meadowlark
Ara chloropterus_Red-and-green Macaw
Tolmomyias assimilis_Yellow-margined Flycatcher
Myiarchus ferox_Short-crested Flycatcher
Onychorhynchus coronatus_Royal Flycatcher
Icterus cayanensis_Epaulet Oriole
Sporophila lineola_Lined Seedeater
Myiarchus tyrannulus_Brown-crested Flycatcher
Gallinago paraguaiae_Paraguayan Snipe
Anthracothorax nigricollis_Black-throated Mango
Automolus rufipileatus_Chestnut-crowned Foliage-gleaner
Conirostrum speciosum_Chestnut-vented Conebill
Phaethornis superciliosus_Long-tailed Hermit
Tachornis squamata_Fork-tailed Palm-Swift
Anhima cornuta_Horned Screamer
Corythopis torquatus_Ringed Antpipit
Manacus manacus_White-bearded Manakin
Euphonia chrysopasta_Golden-bellied Euphonia
Hydropsalis maculicaudus_Spot-tailed Nightjar
Daptrius ater_Black Caracara
Tringa melanoleuca_Greater Yellowlegs
Myiornis ecaudatus_Short-tailed Pygmy-Tyrant
Dacnis cayana_Blue Dacnis
Conirostrum bicolor_Bicolored Conebill
Chordeiles pusillus_Least Nighthawk
Busarellus nigricollis_Black-collared Hawk
Lepidocolaptes albolineatus_Guianan Woodcreeper
Eupsittula aurea_Peach-fronted Parakeet
Myrmotherula menetriesii_Gray Antwren
Perissocephalus tricolor_Capuchinbird
Crypturellus undulatus_Undulated Tinamou
Pteroglossus aracari_Black-necked Aracari
Pithys albifrons_White-plumed Antbird
Gymnopithys rufigula_Rufous-throated Antbird
Monasa atra_Black Nunbird
Antrostomus rufus_Rufous Nightjar
Platyrinchus platyrhynchos_White-crested Spadebill
Crypturellus cinereus_Cinereous Tinamou
Calidris pusilla_Semipalmated Sandpiper
Phaetusa simplex_Large-billed Tern
Crotophaga major_Greater Ani
Deroptyus accipitrinus_Red-fan Parrot
Megascops choliba_Tropical Screech-Owl
Euphonia cayennensis_Golden-sided Euphonia
Conopias trivirgatus_Three-striped Flycatcher
Chlorophanes spiza_Green Honeycreeper
Hylophylax naevius_Spot-backed Antbird
Rhytipterna simplex_Grayish Mourner
Herpsilochmus stictocephalus_Todd's Antwren
Piculus flavigula_Yellow-throated Woodpecker
Cercomacra cinerascens_Gray Antbird
Chloroceryle americana_Green Kingfisher
Pachyramphus surinamus_Glossy-backed Becard
Cnemotriccus fuscatus_Fuscous Flycatcher
Phaethornis bourcieri_Straight-billed Hermit
Jacamerops aureus_Great Jacamar
Actitis macularius_Spotted Sandpiper
Cyanoloxia rothschildii_Amazonian Grosbeak
Micrastur gilvicollis_Lined Forest-Falcon
Formicivora rufa_Rusty-backed Antwren
Sclateria naevia_Silvered Antbird
Rhynchotus rufescens_Red-winged Tinamou
Harpia harpyja_Harpy Eagle
Pachyramphus polychopterus_White-winged Becard
Dendrocolaptes certhia_Amazonian Barred-Woodcreeper
Chlorestes notata_Blue-chinned Sapphire
Helicolestes hamatus_Slender-billed Kite
Celeus flavus_Cream-colored Woodpecker
Myiarchus swainsoni_Swainson's Flycatcher
Phoenicircus carnifex_Guianan Red-Cotinga
Sporophila plumbea_Plumbeous Seedeater
Pitangus lictor_Lesser Kiskadee
Epinecrophylla gutturalis_Brown-bellied Stipplethroat
Galbula albirostris_Yellow-billed Jacamar
Glaucidium brasilianum_Ferruginous Pygmy-Owl
Elaenia flavogaster_Yellow-bellied Elaenia
Laniocera hypopyrra_Cinereous Mourner
Nemosia pileata_Hooded Tanager
Nyctipolus nigrescens_Blackish Nightjar
Falco femoralis_Aplomado Falcon
Pachyramphus minor_Pink-throated Becard
Gampsonyx swainsonii_Pearl Kite
Nyctanassa violacea_Yellow-crowned Night-Heron
Notharchus tectus_Pied Puffbird
Euchrepomis spodioptila_Ash-winged Antwren
Philydor pyrrhodes_Cinnamon-rumped Foliage-gleaner
Dryobates passerinus_Little Woodpecker
Piaya melanogaster_Black-bellied Cuckoo
Myrmotherula brachyura_Pygmy Antwren
Cacicus haemorrhous_Red-rumped Cacique
Frederickena viridis_Black-throated Antshrike
Chionomesa fimbriata_Glittering-throated Emerald
Schiffornis olivacea_Olivaceous Schiffornis
Geotrygon montana_Ruddy Quail-Dove
Campylopterus largipennis_Gray-breasted Sabrewing
Hypocnemoides melanopogon_Black-chinned Antbird
Ornithion inerme_White-lored Tyrannulet
Suiriri suiriri_Suiriri Flycatcher
Asio clamator_Striped Owl
Ciccaba huhula_Black-banded Owl
Anthus lutescens_Yellowish Pipit
Megascops watsonii_Tawny-bellied Screech-Owl
Pionus menstruus_Blue-headed Parrot
Thamnomanes ardesiacus_Dusky-throated Antshrike
Celeus undatus_Waved Woodpecker
Dendrocolaptes platyrostris_Planalto Woodcreeper
Tachyphonus phoenicius_Red-shouldered Tanager
Vanellus cayanus_Pied Lapwing
Xenopipo atronitens_Black Manakin
Petrochelidon pyrrhonota_Cliff Swallow
Thalasseus maximus_Royal Tern
Thamnophilus murinus_Mouse-colored Antshrike
Myrmoderus ferrugineus_Ferruginous-backed Antbird
Heliothryx auritus_Black-eared Fairy
Leptotila rufaxilla_Gray-fronted Dove
Xiphorhynchus guttatus_Buff-throated Woodcreeper
Ixothraupis punctata_Spotted Tanager
Tigrisoma lineatum_Rufescent Tiger-Heron
Formicarius colma_Rufous-capped Antthrush
Sakesphorus luctuosus_Glossy Antshrike
Ramphotrigon ruficauda_Rufous-tailed Flatbill
Diopsittaca nobilis_Red-shouldered Macaw
Tityra cayana_Black-tailed Tityra
Myrmotherula longipennis_Long-winged Antwren
Xiphorhynchus obsoletus_Striped Woodcreeper
Psarocolius viridis_Green Oropendola
Celeus elegans_Chestnut Woodpecker
Microbates collaris_Collared Gnatwren
Phaethornis ruber_Reddish Hermit
Calidris minutilla_Least Sandpiper
Pachyramphus castaneus_Chestnut-crowned Becard
Geranospiza caerulescens_Crane Hawk
Lanio fulvus_Fulvous Shrike-Tanager
Touit purpuratus_Sapphire-rumped Parrotlet
Ortalis motmot_Variable Chachalaca
Automolus infuscatus_Olive-backed Foliage-gleaner
Chaetura meridionalis_Sick's Swift
Cyanerpes cyaneus_Red-legged Honeycreeper
Sporophila nigricollis_Yellow-bellied Seedeater
Leucopternis melanops_Black-faced Hawk
Nengetus cinereus_Gray Monjita
Myiozetetes cayanensis_Rusty-margined Flycatcher
Neopelma pallescens_Pale-bellied Tyrant-Manakin
Chrysolampis mosquitus_Ruby-topaz Hummingbird
Eucometis penicillata_Gray-headed Tanager
Atticora fasciata_White-banded Swallow
Crypturellus parvirostris_Small-billed Tinamou
Circus buffoni_Long-winged Harrier
Hemitriccus zosterops_White-eyed Tody-Tyrant
Tringa semipalmata_Willet
Aramides cajaneus_Gray-cowled Wood-Rail
Gymnomystax mexicanus_Oriole Blackbird
Dendrocygna autumnalis_Black-bellied Whistling-Duck
Dacnis flaviventer_Yellow-bellied Dacnis
Dacnis lineata_Black-faced Dacnis
Bubo virginianus_Great Horned Owl
Conopias parvus_Yellow-throated Flycatcher
Buteo albonotatus_Zone-tailed Hawk
Charadrius semipalmatus_Semipalmated Plover
Chrysomus ruficapillus_Chestnut-capped Blackbird
Porphyrio martinica_Purple Gallinule
Hypocnemis cantator_Guianan Warbling-Antbird
Willisornis poecilinotus_Common Scale-backed Antbird
Tachybaptus dominicus_Least Grebe
Pachyramphus marginatus_Black-capped Becard
Geothlypis aequinoctialis_Masked Yellowthroat
Schistochlamys melanopis_Black-faced Tanager
Piprites chloris_Wing-barred Piprites
Crax alector_Black Curassow
Podilymbus podiceps_Pied-billed Grebe
Columbina minuta_Plain-breasted Ground Dove
Myiobius barbatus_Whiskered Flycatcher
Agelasticus cyanopus_Unicolored Blackbird
Ammodramus humeralis_Grassland Sparrow
Elaenia cristata_Plain-crested Elaenia
Asemospiza fuliginosa_Sooty Grassquit
Myiarchus tuberculifer_Dusky-capped Flycatcher
Pluvialis dominica_American Golden-Plover
Galbula dea_Paradise Jacamar
Arremon taciturnus_Pectoral Sparrow
Turdus fumigatus_Cocoa Thrush
Forpus xanthopterygius_Cobalt-rumped Parrotlet
Celeus torquatus_Ringed Woodpecker
Anurolimnas viridis_Russet-crowned Crake
Myrmothera campanisona_Thrush-like Antpitta
Saltator coerulescens_Blue-gray Saltator
Picumnus exilis_Golden-spangled Piculet
Rhytipterna immunda_Pale-bellied Mourner
Burhinus bistriatus_Double-striped Thick-knee
Thamnomanes caesius_Cinereous Antshrike
Tinamus major_Great Tinamou
Lamprospiza melanoleuca_Red-billed Pied Tanager
Piranga flava_Hepatic Tanager
Thamnophilus punctatus_Northern Slaty-Antshrike
Nannopterum brasilianum_Neotropic Cormorant
Tachyphonus surinamus_Fulvous-crested Tanager
Calidris melanotos_Pectoral Sandpiper
Pipra fasciicauda_Band-tailed Manakin
Xenops rutilans_Streaked Xenops
Tangara velia_Opal-rumped Tanager
Patagioenas plumbea_Plumbeous Pigeon
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Xipholena punicea_Pompadour Cotinga
Cranioleuca gutturata_Speckled Spinetail
Neothraupis fasciata_White-banded Tanager
Sterna paradisaea_Arctic Tern
Forpus passerinus_Green-rumped Parrotlet
Anhinga anhinga_Anhinga
Glaucis hirsutus_Rufous-breasted Hermit
Caryothraustes canadensis_Yellow-green Grosbeak
Thamnophilus nigrocinereus_Blackish-gray Antshrike
Colaptes punctigula_Spot-breasted Woodpecker
Rostrhamus sociabilis_Snail Kite
Tyranneutes virescens_Tiny Tyrant-Manakin
Nasica longirostris_Long-billed Woodcreeper
Selenidera gouldii_Gould's Toucanet
Mimus saturninus_Chalk-browed Mockingbird
Myrmelastes leucostigma_Spot-winged Antbird
Lepidocolaptes angustirostris_Narrow-billed Woodcreeper
Tringa flavipes_Lesser Yellowlegs
Campylorhamphus procurvoides_Curve-billed Scythebill
Casiornis rufus_Rufous Casiornis
Asio stygius_Stygian Owl
Ramphastos toco_Toco Toucan
Amazona farinosa_Mealy Parrot
Vireo gracilirostris_Noronha Vireo
Cyclarhis gujanensis_Rufous-browed Peppershrike
Chlidonias niger_Black Tern
Lophotriccus galeatus_Helmeted Pygmy-Tyrant
Ara macao_Scarlet Macaw
Myiothlypis rivularis_Riverbank Warbler
Chelidoptera tenebrosa_Swallow-winged Puffbird
Attila bolivianus_Dull-capped Attila
Myiozetetes luteiventris_Dusky-chested Flycatcher
Certhiaxis cinnamomeus_Yellow-chinned Spinetail
Columbina passerina_Common Ground Dove
Chiroxiphia pareola_Blue-backed Manakin
Philydor erythrocercum_Rufous-rumped Foliage-gleaner
Trogon viridis_Green-backed Trogon
Taraba major_Great Antshrike
Berlepschia rikeri_Point-tailed Palmcreeper
Pipra aureola_Crimson-hooded Manakin
Chaetura spinicaudus_Band-rumped Swift
Chlorostilbon mellisugus_Blue-tailed Emerald
Hylocharis sapphirina_Rufous-throated Sapphire
Myiobius atricaudus_Black-tailed Flycatcher
Zonotrichia capensis_Rufous-collared Sparrow
Spiza americana_Dickcissel
Buteogallus schistaceus_Slate-colored Hawk
Athene cunicularia_Burrowing Owl
Tyrannopsis sulphurea_Sulphury Flycatcher
Eupsittula pertinax_Brown-throated Parakeet
Orthopsittaca manilatus_Red-bellied Macaw
Momotus momota_Amazonian Motmot
Percnostola rufifrons_Black-headed Antbird
Himantopus mexicanus_Black-necked Stilt
Myiozetetes similis_Social Flycatcher
Limnodromus griseus_Short-billed Dowitcher
Coccycua minuta_Little Cuckoo
Myiopagis caniceps_Gray Elaenia
Brotogeris sanctithomae_Tui Parakeet
Lipaugus vociferans_Screaming Piha
Laterallus exilis_Gray-breasted Crake
Myiopagis flavivertex_Yellow-crowned Elaenia
Guira guira_Guira Cuckoo
Eupetomena macroura_Swallow-tailed Hummingbird
Setophaga pitiayumi_Tropical Parula
