Turdus migratorius_American Robin
Limosa fedoa_Marbled Godwit
Strix varia_Barred Owl
Pheucticus melanocephalus_Black-headed Grosbeak
Chlidonias niger_Black Tern
Leucophaeus pipixcan_Franklin's Gull
Archilochus alexandri_Black-chinned Hummingbird
Phalaropus lobatus_Red-necked Phalarope
Hydroprogne caspia_Caspian Tern
Limnodromus griseus_Short-billed Dowitcher
Dendragapus obscurus_Dusky Grouse
Calidris alpina_Dunlin
Lagopus lagopus_Willow Ptarmigan
Branta hutchinsii_Cackling Goose
Haemorhous cassinii_Cassin's Finch
Phasianus colchicus_Ring-necked Pheasant
Calidris alba_Sanderling
Buteo platypterus_Broad-winged Hawk
Surnia ulula_Northern Hawk Owl
Asio otus_Long-eared Owl
Setophaga magnolia_Magnolia Warbler
Setophaga striata_Blackpoll Warbler
Pluvialis squatarola_Black-bellied Plover
Meleagris gallopavo_Wild Turkey
Rallus limicola_Virginia Rail
Icterus bullockii_Bullock's Oriole
Archilochus colubris_Ruby-throated Hummingbird
Aegolius funereus_Boreal Owl
Botaurus lentiginosus_American Bittern
Progne subis_Purple Martin
Gavia stellata_Red-throated Loon
Mareca penelope_Eurasian Wigeon
Histrionicus histrionicus_Harlequin Duck
Pluvialis dominica_American Golden-Plover
Lagopus muta_Rock Ptarmigan
Falco mexicanus_Prairie Falcon
Mniotilta varia_Black-and-white Warbler
Melanerpes lewis_Lewis's Woodpecker
Sterna forsteri_Forster's Tern
Tympanuchus phasianellus_Sharp-tailed Grouse
Gavia pacifica_Pacific Loon
Recurvirostra americana_American Avocet
Gavia adamsii_Yellow-billed Loon
Zonotrichia querula_Harris's Sparrow
Sayornis phoebe_Eastern Phoebe
Seiurus aurocapilla_Ovenbird
Chondestes grammacus_Lark Sparrow
Anthus spragueii_Sprague's Pipit
Pheucticus ludovicianus_Rose-breasted Grosbeak
Icterus galbula_Baltimore Oriole
Sterna hirundo_Common Tern
Patagioenas fasciata_Band-tailed Pigeon
Aeronautes saxatalis_White-throated Swift
Callipepla californica_California Quail
Vireo solitarius_Blue-headed Vireo
Toxostoma rufum_Brown Thrasher
Setophaga palmarum_Palm Warbler
Larus glaucoides_Iceland Gull
Perdix perdix_Gray Partridge
Himantopus mexicanus_Black-necked Stilt
Calidris himantopus_Stilt Sandpiper
Salpinctes obsoletus_Rock Wren
Limosa haemastica_Hudsonian Godwit
Branta bernicla_Brant
Bartramia longicauda_Upland Sandpiper
Ammospiza leconteii_LeConte's Sparrow
Aechmophorus clarkii_Clark's Grebe
Ardea alba_Great Egret
Buteo regalis_Ferruginous Hawk
Centronyx bairdii_Baird's Sparrow
Sitta pygmaea_Pygmy Nuthatch
Dolichonyx oryzivorus_Bobolink
Arenaria interpres_Ruddy Turnstone
Ammodramus savannarum_Grasshopper Sparrow
Melanitta americana_Black Scoter
Geothlypis philadelphia_Mourning Warbler
