Corvus macrorhynchos_Large-billed Crow
Acridotheres burmannicus_Vinous-breasted Starling
Halcyon pileata_Black-capped Kingfisher
Pomatorhinus schisticeps_White-browed Scimitar-Babbler
Ploceus philippinus_Baya Weaver
Acrocephalus orientalis_Oriental Reed Warbler
Phylloscopus valentini_Bianchi's Warbler
Dryocopus javensis_White-bellied Woodpecker
Cyornis rubeculoides_Blue-throated Flycatcher
Pterorhinus chinensis_Black-throated Laughingthrush
Psittacula eupatria_Alexandrine Parakeet
Pycnonotus aurigaster_Sooty-headed Bulbul
Pericrocotus cantonensis_Brown-rumped Minivet
Ardeola grayii_Indian Pond-Heron
Hemiprocne coronata_Crested Treeswift
Oriolus chinensis_Black-naped Oriole
Psilopogon lineatus_Lineated Barbet
Anthus cervinus_Red-throated Pipit
Accipiter badius_Shikra
Zoothera aurea_White's Thrush
Glareola lactea_Small Pratincole
Schoeniparus rufogularis_Rufous-throated Fulvetta
Anthus richardi_Richard's Pipit
Tringa erythropus_Spotted Redshank
Horornis brunnescens_Hume's Bush Warbler
Phylloscopus borealis_Arctic Warbler
Bambusicola fytchii_Mountain Bamboo-Partridge
Turdus albocinctus_White-collared Blackbird
Corvus splendens_House Crow
Pandion haliaetus_Osprey
Tringa totanus_Common Redshank
Urosphena pallidipes_Pale-footed Bush Warbler
Lyncornis macrotis_Great Eared-Nightjar
Francolinus pintadeanus_Chinese Francolin
Gallicrex cinerea_Watercock
Turnix suscitator_Barred Buttonquail
Riparia riparia_Bank Swallow
Dinopium javanense_Common Flameback
Prinia atrogularis_Black-throated Prinia
Caprimulgus affinis_Savanna Nightjar
Kurochkinegramma hypogrammicum_Purple-naped Spiderhunter
Aceros nipalensis_Rufous-necked Hornbill
Urocissa erythroryncha_Red-billed Blue-Magpie
Sterna aurantia_River Tern
Cyornis whitei_Hill Blue Flycatcher
Hieraaetus pennatus_Booted Eagle
Phylloscopus omeiensis_Martens's Warbler
Parus cinereus_Cinereous Tit
Tarsiger cyanurus_Red-flanked Bluetail
Gracupica nigricollis_Black-collared Starling
Spodiopsar cineraceus_White-cheeked Starling
Lanius collurioides_Burmese Shrike
Otus sunia_Oriental Scops-Owl
Liocichla ripponi_Scarlet-faced Liocichla
Dicaeum agile_Thick-billed Flowerpecker
Batrachostomus hodgsoni_Hodgson's Frogmouth
Certhia manipurensis_Hume's Treecreeper
Cyornis concretus_White-tailed Flycatcher
Accipiter soloensis_Chinese Sparrowhawk
Pteruthius intermedius_Clicking Shrike-Babbler
Dicaeum chrysorrheum_Yellow-vented Flowerpecker
Oriolus tenuirostris_Slender-billed Oriole
Lanius sphenocercus_Chinese Gray Shrike
Gallinago megala_Swinhoe's Snipe
Recurvirostra avosetta_Pied Avocet
Falco peregrinus_Peregrine Falcon
Calidris ferruginea_Curlew Sandpiper
Phasianus colchicus_Ring-necked Pheasant
Phylloscopus chloronotus_Lemon-rumped Warbler
Acrocephalus concinens_Blunt-winged Warbler
Cinnyris jugularis_Olive-backed Sunbird
Turdus atrogularis_Black-throated Thrush
Circus spilonotus_Eastern Marsh-Harrier
Ketupa zeylonensis_Brown Fish-Owl
Alophoixus pallidus_Puff-throated Bulbul
Arborophila mandellii_Chestnut-breasted Partridge
Pica serica_Oriental Magpie
Phylloscopus proregulus_Pallas's Leaf Warbler
Helopsaltes certhiola_Pallas's Grasshopper Warbler
Glareola maldivarum_Oriental Pratincole
Anser anser_Graylag Goose
Tichodroma muraria_Wallcreeper
Carpodacus rubicilloides_Streaked Rosefinch
Prinia crinigera_Himalayan Prinia
Aquila nipalensis_Steppe Eagle
Numenius arquata_Eurasian Curlew
Dendrocopos macei_Fulvous-breasted Woodpecker
Iole propinqua_Gray-eyed Bulbul
Tyto alba_Barn Owl
Trochalopteron milnei_Red-tailed Laughingthrush
Numenius phaeopus_Whimbrel
Phylloscopus subaffinis_Buff-throated Warbler
Pterorhinus albogularis_White-throated Laughingthrush
Aquila chrysaetos_Golden Eagle
Chloris spinoides_Yellow-breasted Greenfinch
Grus nigricollis_Black-necked Crane
Chrysomma sinense_Yellow-eyed Babbler
Charadrius mongolus_Lesser Sand-Plover
Metopidius indicus_Bronze-winged Jacana
Cyanoderma ambiguum_Buff-chested Babbler
Carpodacus dubius_Chinese White-browed Rosefinch
Nettapus coromandelianus_Cotton Pygmy-Goose
Limosa limosa_Black-tailed Godwit
Alcedo meninting_Blue-eared Kingfisher
Malacocincla abbotti_Abbott's Babbler
Phylloscopus fuligiventer_Smoky Warbler
Brachypteryx hyperythra_Rusty-bellied Shortwing
Fringilla montifringilla_Brambling
Dendrocitta vagabunda_Rufous Treepie
Picoides tridactylus_Eurasian Three-toed Woodpecker
Tringa stagnatilis_Marsh Sandpiper
Emberiza godlewskii_Godlewski's Bunting
Erythrogenys mcclellandi_Spot-breasted Scimitar-Babbler
Falco columbarius_Merlin
Mergellus albellus_Smew
Anthus spinoletta_Water Pipit
Prinia flaviventris_Yellow-bellied Prinia
Phylloscopus schwarzi_Radde's Warbler
Halcyon coromanda_Ruddy Kingfisher
Larvivora cyane_Siberian Blue Robin
Lophophorus impejanus_Himalayan Monal
Pica bottanensis_Black-rumped Magpie
Ploceus manyar_Streaked Weaver
Bubo bubo_Eurasian Eagle-Owl
Cyanoderma rufifrons_Rufous-fronted Babbler
Podiceps nigricollis_Eared Grebe
Turdus mandarinus_Chinese Blackbird
Amandava amandava_Red Avadavat
Dryocopus martius_Black Woodpecker
Aythya marila_Greater Scaup
Anhinga melanogaster_Oriental Darter
Ptyonoprogne rupestris_Eurasian Crag-Martin
Calandrella dukhunensis_Mongolian Short-toed Lark
Locustella lanceolata_Lanceolated Warbler
Haliaeetus humilis_Lesser Fish-Eagle
Corvus dauuricus_Daurian Jackdaw
Haliaeetus ichthyaetus_Gray-headed Fish-Eagle
Acrocephalus bistrigiceps_Black-browed Reed Warbler
Brachypodius melanocephalos_Black-headed Bulbul
Poliolimnas cinereus_White-browed Crake
Synoicus chinensis_Blue-breasted Quail
Prunella fulvescens_Brown Accentor
Treron phoenicopterus_Yellow-footed Green-Pigeon
Loriculus vernalis_Vernal Hanging-Parrot
Clanga clanga_Greater Spotted Eagle
Leptopoecile sophiae_White-browed Tit-Warbler
Pitta moluccensis_Blue-winged Pitta
Acrocephalus agricola_Paddyfield Warbler
Corvus corax_Common Raven
Ianthocincla maxima_Giant Laughingthrush
Haliaeetus albicilla_White-tailed Eagle
Prunella rubeculoides_Robin Accentor
Poecile weigoldicus_Sichuan Tit
Ketupa ketupu_Buffy Fish-Owl
Nisaetus cirrhatus_Changeable Hawk-Eagle
Asio flammeus_Short-eared Owl
Columba livia_Rock Pigeon
Streptopelia decaocto_Eurasian Collared-Dove
Calidris ruficollis_Red-necked Stint
Iole viridescens_Olive Bulbul
Niltava vivida_Vivid Niltava
Hirundo smithii_Wire-tailed Swallow
Delichon urbicum_Common House-Martin
Ixobrychus flavicollis_Black Bittern
Athene brama_Spotted Owlet
Dendrocygna bicolor_Fulvous Whistling-Duck
