Vanellus chilensis_Southern Lapwing
Anthus hellmayri_Hellmayr's Pipit
Myiopsitta monachus_Monk Parakeet
Callipepla californica_California Quail
Progne elegans_Southern Martin
Gallinago magellanica_Magellanic Snipe
Pyrocephalus rubinus_Vermilion Flycatcher
Sicalis flaveola_Saffron Finch
Curaeus curaeus_Austral Blackbird
Sterna trudeaui_Snowy-crowned Tern
Plegadis chihi_White-faced Ibis
Agelaioides badius_Grayish Baywing
Pitangus sulphuratus_Great Kiskadee
Furnarius rufus_Rufous Hornero
Calidris alba_Sanderling
Cistothorus platensis_Grass Wren
Turdus chiguanco_Chiguanco Thrush
Asthenes modesta_Cordilleran Canastero
Charadrius modestus_Rufous-chested Dotterel
Hirundo rustica_Barn Swallow
Tyrannus savana_Fork-tailed Flycatcher
Calidris melanotos_Pectoral Sandpiper
Ochetorhynchus ruficaudus_Straight-billed Earthcreeper
Muscisaxicola maculirostris_Spot-billed Ground-Tyrant
Paroaria coronata_Red-crested Cardinal
Patagioenas picazuro_Picazuro Pigeon
Sterna hirundinacea_South American Tern
Phytotoma rara_Rufous-tailed Plantcutter
Gallinago paraguaiae_Paraguayan Snipe
Zenaida meloda_West Peruvian Dove
Oxyura ferruginea_Andean Duck
Asthenes anthoides_Austral Canastero
Columba livia_Rock Pigeon
Haematopus palliatus_American Oystercatcher
Thalasseus sandvicensis_Sandwich Tern
Sicalis lebruni_Patagonian Yellow-Finch
Spheniscus magellanicus_Magellanic Penguin
Megaceryle torquata_Ringed Kingfisher
Pluvialis dominica_American Golden-Plover
Stercorarius antarcticus_Brown Skua
Thalasseus maximus_Royal Tern
Riparia riparia_Bank Swallow
Charadrius collaris_Collared Plover
Guira guira_Guira Cuckoo
Progne tapera_Brown-chested Martin
Xolmis irupero_White Monjita
Rauenia bonariensis_Blue-and-yellow Tanager
Geositta antarctica_Short-billed Miner
Petrochelidon pyrrhonota_Cliff Swallow
Tyrannus melancholicus_Tropical Kingbird
Teledromas fuscus_Sandy Gallito
Colaptes melanochloros_Green-barred Woodpecker
Geospizopsis unicolor_Plumbeous Sierra Finch
Ardenna grisea_Sooty Shearwater
Haematopus leucopodus_Magellanic Oystercatcher
Haematopus ater_Blackish Oystercatcher
Porphyriops melanops_Spot-flanked Gallinule
Leucophaeus scoresbii_Dolphin Gull
Pseudoseisura lophotes_Brown Cacholote
Dryobates lignarius_Striped Woodpecker
Anairetes flavirostris_Yellow-billed Tit-Tyrant
Knipolegus hudsoni_Hudson's Black-Tyrant
Machetornis rixosa_Cattle Tyrant
Stigmatura budytoides_Greater Wagtail-Tyrant
Saltator aurantiirostris_Golden-billed Saltator
Calidris canutus_Red Knot
Patagioenas maculosa_Spot-winged Pigeon
Sephanoides sephaniodes_Green-backed Firecrown
Ixobrychus involucris_Stripe-backed Bittern
Serpophaga nigricans_Sooty Tyrannulet
Stercorarius parasiticus_Parasitic Jaeger
Upucerthia saturatior_Patagonian Forest Earthcreeper
Charadrius semipalmatus_Semipalmated Plover
Thinocorus orbignyianus_Gray-breasted Seedsnipe
Nothura darwinii_Darwin's Nothura
Patagioenas araucana_Chilean Pigeon
Thalassarche melanophris_Black-browed Albatross
Colaptes campestris_Campo Flicker
Molothrus rufoaxillaris_Screaming Cowbird
Scytalopus magellanicus_Magellanic Tapaculo
Campephilus magellanicus_Magellanic Woodpecker
Pteroptochos tarnii_Black-throated Huet-huet
Sicalis auriventris_Greater Yellow-Finch
Turdus amaurochalinus_Creamy-bellied Thrush
Drymornis bridgesii_Scimitar-billed Woodcreeper
Colorhamphus parvirostris_Patagonian Tyrant
Pluvialis squatarola_Black-bellied Plover
Serpophaga griseicapilla_Straneck's Tyrannulet
Cinclodes patagonicus_Dark-bellied Cinclodes
Pygarrhichas albogularis_White-throated Treerunner
Cranioleuca pyrrhophia_Stripe-crowned Spinetail
Rynchops niger_Black Skimmer
Enicognathus ferrugineus_Austral Parakeet
Attagis gayi_Rufous-bellied Seedsnipe
Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher
Sporophila caerulescens_Double-collared Seedeater
Melanodera xanthogramma_Yellow-bridled Finch
Aeronautes andecolus_Andean Swift
Nothura maculosa_Spotted Nothura
Phrygilus patagonicus_Patagonian Sierra Finch
Butorides striata_Striated Heron
Myiarchus swainsoni_Swainson's Flycatcher
Daption capense_Cape Petrel
Catamenia analis_Band-tailed Seedeater
Leucophaeus pipixcan_Franklin's Gull
Coryphospingus cucullatus_Red-crested Finch
Sylviorthorhynchus desmursii_Des Murs's Wiretail
Diomedea exulans_Wandering Albatross
Arenaria interpres_Ruddy Turnstone
Accipiter bicolor_Bicolored Hawk
Aphrastura spinicauda_Thorn-tailed Rayadito
Embernagra platensis_Great Pampa-Finch
Pyrope pyrope_Fire-eyed Diucon
Turdus rufiventris_Rufous-bellied Thrush
Numenius phaeopus_Whimbrel
Spinus magellanicus_Hooded Siskin
Puffinus puffinus_Manx Shearwater
Alopochelidon fucata_Tawny-headed Swallow
Nothoprocta cinerascens_Brushland Tinamou
Scelorchilus rubecula_Chucao Tapaculo
Gelochelidon nilotica_Gull-billed Tern
Cinclodes oustaleti_Gray-flanked Cinclodes
