Muscicapa sibirica_Dark-sided Flycatcher
Zapornia fusca_Ruddy-breasted Crake
Tringa totanus_Common Redshank
Gallicrex cinerea_Watercock
Leptocoma calcostetha_Copper-throated Sunbird
Aerodramus maximus_Black-nest Swiftlet
Halcyon coromanda_Ruddy Kingfisher
Treron olax_Little Green-Pigeon
Dicaeum agile_Thick-billed Flowerpecker
Cuculus lepidus_Sunda Cuckoo
Phylloscopus coronatus_Eastern Crowned Warbler
Geokichla citrina_Orange-headed Thrush
Gerygone sulphurea_Golden-bellied Gerygone
Dicaeum minullum_Plain Flowerpecker
Pitta sordida_Hooded Pitta
Lewinia striata_Slaty-breasted Rail
Muscicapa dauurica_Asian Brown Flycatcher
Ixobrychus cinnamomeus_Cinnamon Bittern
Cisticola juncidis_Zitting Cisticola
Dinopium javanense_Common Flameback
Centropus sinensis_Greater Coucal
Ficedula mugimaki_Mugimaki Flycatcher
Pelargopsis capensis_Stork-billed Kingfisher
Butastur indicus_Gray-faced Buzzard
Brachypteryx leucophris_Lesser Shortwing
Picus vittatus_Laced Woodpecker
Ardea purpurea_Purple Heron
Bulweria bulwerii_Bulwer's Petrel
Nisaetus cirrhatus_Changeable Hawk-Eagle
Hypothymis azurea_Black-naped Monarch
Accipiter gularis_Japanese Sparrowhawk
Helopsaltes certhiola_Pallas's Grasshopper Warbler
Streptopelia tranquebarica_Red Collared-Dove
Delichon dasypus_Asian House-Martin
Charadrius javanicus_Javan Plover
Chrysocolaptes guttacristatus_Greater Flameback
Horornis vulcanius_Sunda Bush Warbler
Sterna sumatrana_Black-naped Tern
Ixobrychus sinensis_Yellow Bittern
Terpsiphone affinis_Blyth's Paradise-Flycatcher
Lophotriorchis kienerii_Rufous-bellied Eagle
Pachycephala cinerea_Mangrove Whistler
Ardea cinerea_Gray Heron
Ducula lacernulata_Dark-backed Imperial-Pigeon
Hierococcyx fugax_Malaysian Hawk-Cuckoo
Alcedo meninting_Blue-eared Kingfisher
Lonchura maja_White-headed Munia
Pomatorhinus montanus_Chestnut-backed Scimitar-Babbler
Macropygia ruficeps_Little Cuckoo-Dove
Pericrocotus cinnamomeus_Small Minivet
Centropus bengalensis_Lesser Coucal
Anthus rufulus_Paddyfield Pipit
Ceyx erithaca_Black-backed Dwarf-Kingfisher
Corvus enca_Slender-billed Crow
Megapodius reinwardt_Orange-footed Scrubfowl
Hirundo rustica_Barn Swallow
